codice,simbolo,timeframe,motore,equivalenti,tenuta,intraday_only,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,start_hour,end_hour,max_bars,stop_atr,take_profit_atr,ptn_ly_yes,ptn_ly_no,ptn_sy_yes,ptn_sy_no,not_le_day,not_se_day,level_choice,level_shift_atr,ptn_dir_no,skip_day,bb_length,bb_num_devs,level_source,n_sess,lev_include_sess0,breakout_offset_atr,direction,trailing_stop,fast,slow,gradient_length,gradient_factor,daily_factor,entry_type,le_bar,lx_bar,se_bar,sx_bar,end_long,end_short,nhigh,nlow,channel_len,dvol_min,breakeven,long_offset_atr,short_offset_atr,vol_source,vol_mult,vol_mult_short,atr_len,momentum,le_day,lx_day,le_time,lx_time,se_day,sx_day,se_time,sx_time,entrata_inizio,s_n,s_anni,s_netto,s_lordo,s_costi,s_swap,s_avg,s_dd,s_vincenti,s_allo_stop,s_notti,s_long,s_barre,s_anni_neg,s_netto_anno,s_np_dd,b_n,b_anni,b_netto,b_lordo,b_costi,b_swap,b_avg,b_dd,b_vincenti,b_allo_stop,b_notti,b_long,b_barre,b_anni_neg,b_netto_anno,b_np_dd,tenuta_broker
BP-15M-BIAS-d2e4b2,BP,15m,BIAS,,del motore,,,,,,,,0.4,0.0,153.0,153.0,152.0,153.0,-1.0,0.0,,,,,,,,,,,,,,,,,,1.0,5.0,14.0,5.0,55.0,91.0,91.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,2727,13.19,22580.440000000002,36229.121499999994,13648.677,13.9497,8.280322698936562,6999.144099999997,47.524752475247524,32.78327832783278,0.0014668133480014668,0.0,50.0,2,1711.4558435360036,3.2261716114688954,206,0.98,4353.592899999999,5381.0223,1027.4298,3.4893,21.13394611650485,1553.996999999999,54.36893203883495,26.699029126213592,0.0048543689320388345,0.0,50.0,0,4441.75923666201,2.80154524107833,2.595310450712525
BP-15M-BOS-974b9e,BP,15m,BO_S,,intraday,1.0,55.0,56.0,52.0,11.0,13.0,0.0,0.8,0.0,,,,,,,,,53.0,-1.0,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2296,13.19,33038.1401,53710.5293,20672.3961,9192.6257,14.389433841463413,8294.94370000001,50.47909407665505,10.278745644599303,1.2343205574912892,48.649825783972126,44.0,4,2504.603709324408,3.982925176454176,143,0.95,1948.7448000000009,3226.5368,1277.7918000000002,566.9714,13.62758601398602,2244.0412000000006,51.048951048951054,9.79020979020979,1.2377622377622377,52.44755244755245,44.0,1,2057.1648502890184,0.8684086548856591,0.8213534311357856
BP-15M-LF-609b39,BP,15m,LF,,overnight 5 giornate,0.0,55.0,56.0,52.0,13.0,14.0,460.0,1.0,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,12.33,13218.9606,14352.486,1133.5263,873.5314999999999,254.21078076923078,2221.3051000000005,53.84615384615385,42.30769230769231,5.230769230769231,61.53846153846154,460.0,3,1071.748137436182,5.9509882726150485,3,0.27,165.6587,225.2305,59.5719,44.698,55.21956666666667,526.9528,66.66666666666666,33.33333333333333,5.0,66.66666666666666,460.0,1,611.1802037878788,0.31437104044233183,0.5702647687822755
BP-15M-LFHL-c6a4d3,BP,15m,LF_HL,,overnight 1 giornate,0.0,55.0,56.0,52.0,9.0,11.0,92.0,1.0,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,13.19,27609.082599999998,31581.618500000004,3972.5376,1872.5796,65.73591095238095,3966.6489999999976,55.23809523809524,6.428571428571428,1.3785714285714286,50.95238095238095,92.0,1,2093.8989658741693,6.960303924042691,17,0.82,-354.3943,-191.7192,162.67520000000002,78.1536,-20.846723529411765,1724.8678,41.17647058823529,5.88235294117647,1.411764705882353,41.17647058823529,92.0,1,-431.47506025,-0.20546171712406017,-0.20606297977221938
BP-15M-MAC-992e74,BP,15m,MAC,,del motore,,,,,,,,0.2,0.5,,,,,,,,,,,,,,,,,1.0,0.0,12.0,50.0,2.0,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,13.13,8064.531500000001,11130.350999999999,3065.8216999999995,535.8723,15.93780928853755,2383.2642000000014,35.77075098814229,46.24505928853755,0.35375494071146246,100.0,15.0,3,614.0442214665417,3.3838176648648504,52,0.79,-419.06959999999987,-134.1376000000001,284.93129999999996,26.5,-8.059030769230766,1018.5983,28.846153846153843,44.230769230769226,0.17307692307692307,100.0,14.5,1,-533.3281233449476,-0.41141792598711374,-0.8685500240865108
BP-15M-RBBM-8c9611,BP,15m,RBB_M,,intraday,1.0,3.0,56.0,52.0,-1.0,1.0,0.0,0.5,0.0,,,,,,,,,53.0,0.0,10.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,13.18,26578.341800000002,31232.290399999998,4653.9492,1714.008,45.20126156462585,5498.093800000002,47.61904761904761,37.58503401360544,0.8996598639455783,48.63945578231292,87.0,3,2016.1452424610593,4.834101193399063,38,0.92,2921.6092000000003,3244.7994,323.1909,134.4268,76.88445263157895,954.1367999999998,55.26315789473685,26.31578947368421,1.105263157894737,44.73684210526316,87.0,0,3185.426150149254,3.062044352549866,1.5799586671944736
BP-15M-RBBU-75b198,BP,15m,RBB_U,,overnight 10 giornate,0.0,,,,-1.0,9.0,920.0,0.2,0.0,152.0,153.0,152.0,153.0,,,,,,1.0,30.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258,13.19,27237.629799999995,42632.873999999996,15395.242599999998,9105.3684,21.651534022257547,13201.222100000017,10.174880763116057,89.5866454689984,2.231319554848967,48.569157392686805,27.0,3,2064.8701296077206,2.063265779006927,90,0.98,-3563.2449999999994,-2460.9314999999997,1102.3127,655.0115,-39.591611111111106,5257.6535,7.777777777777778,92.22222222222223,2.2333333333333334,48.888888888888886,37.5,1,-3645.5888970588226,-0.6777253388797871,-1.7655293884034262
BP-1H-BIASRT-8577be,BP,1h,BIAS_RT,,del motore,,,,,,,,0.9,1.7,153.0,153.0,152.0,153.0,-1.0,2.0,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,1.0,14.0,7.0,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,2051,13.19,20761.660099999994,31019.943900000002,10258.282299999997,3.4874,10.122701170160894,10243.897500000006,51.19453924914675,5.655777669429547,0.00048756704046806434,0.0,11.0,4,1574.257079411459,2.026734463127924,159,0.98,1195.3846000000003,1989.0995000000003,793.7151,3.4903,7.518142138364782,3066.3741000000005,52.20125786163522,1.8867924528301887,0.006289308176100629,0.0,12.0,1,1223.0090340336137,0.3898365173381813,0.7768801233473503
BP-1H-LF-65aab4,BP,1h,LF,,overnight 1 giornate,0.0,28.0,22.0,1.0,14.0,10.0,23.0,1.6,3.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,12.49,22316.7785,23563.582700000003,1246.8058999999998,596.8189,171.66752692307693,2230.148599999997,60.76923076923077,1.5384615384615385,1.4307692307692308,59.23076923076923,23.0,0,1787.152674221662,10.006857166378973,10,0.96,-298.64529999999996,-199.375,99.27029999999999,49.706199999999995,-29.864529999999995,763.0943,50.0,0.0,1.6,70.0,23.0,1,-312.55070436962745,-0.39136093664963817,-0.1748875229732396
BP-1H-LFHL-a6a2ea,BP,1h,LF_HL,,overnight 1 giornate,0.0,55.0,56.0,52.0,16.0,5.0,23.0,0.6,0.0,41.0,42.0,41.0,42.0,2.0,2.0,2.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,13.1,26570.388899999998,29482.415699999998,2912.0256000000004,1182.0602,76.79303150289017,3003.007800000014,53.46820809248555,27.167630057803464,1.0549132947976878,50.0,23.0,2,2027.7548152371498,8.847925370023972,30,0.9,-390.85339999999997,-159.79919999999993,231.05419999999998,81.98780000000001,-13.028446666666666,2002.5142,50.0,30.0,0.8666666666666667,60.0,23.0,1,-433.9185542553191,-0.1951813375405777,-0.2139896554527829
