# Griglia grossa @BP 60m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 4/lato, orologio al minuto. Campione 2014-09-21 -> 2021-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;100;0;-1;0;2929;-8016.69;22386.19;0.97;2606;-38255.81;40899.44;0.82;0
1;100;0;-1;1;1621;-21654.38;24131.19;0.85;1469;-25578.13;28458.75;0.79;1
1;100;0;-1;2;1622;19420.69;7878.69;1.14;1469;-11042.88;16054.94;0.91;1
1;100;0;21;0;2916;-5514.25;21556.38;0.98;2582;-33121;36894.13;0.84;1
1;100;0;21;1;1621;-18437.38;21043.5;0.87;1469;-19960.13;25197.25;0.84;2
1;100;0;21;2;1622;20689.63;8205.75;1.15;1469;-13641.38;16647.63;0.89;0
1;100;200;-1;0;3237;-23572.5;26311.69;0.9;2906;-29535.94;33925.38;0.86;0
1;100;200;-1;1;1621;-21770.19;23258.19;0.82;1469;-20748.75;22367;0.81;0
1;100;200;-1;2;1622;-8581.56;12969.56;0.93;1469;-14761.63;15762;0.86;0
1;100;200;21;0;3228;-24340.88;27028.25;0.89;2892;-29011.63;33174.13;0.86;0
1;100;200;21;1;1621;-21597.38;23085.38;0.82;1469;-20126.38;21983.63;0.81;0
1;100;200;21;2;1622;-8459.75;12869.88;0.93;1469;-15597;16457.13;0.85;0
1;100;400;-1;0;3154;-21741;26772.56;0.92;2790;-35346.19;37545.63;0.84;0
1;100;400;-1;1;1621;-24453.94;27551.19;0.82;1469;-16929.75;18457.75;0.86;1
1;100;400;-1;2;1622;324.06;7992.63;1;1469;-12108.94;14245.63;0.9;0
1;100;400;21;0;3128;-21169;26039.88;0.92;2759;-31120.13;34248.25;0.86;1
1;100;400;21;1;1621;-22663;25771;0.84;1469;-13453.25;16587.13;0.89;2
1;100;400;21;2;1622;-85.38;8164;1;1469;-14069.5;15928.75;0.88;0
1;100;800;-1;0;3005;-18924.75;28904.63;0.93;2641;-36215.25;39525.69;0.83;0
1;100;800;-1;1;1621;-20845.81;23615.63;0.85;1469;-25447.75;29207;0.79;1
1;100;800;-1;2;1622;9069;7724.19;1.07;1469;-9926.63;15588.13;0.92;1
1;100;800;21;0;2976;-11038.63;24143.75;0.96;2608;-32059;36693.13;0.85;1
1;100;800;21;1;1621;-17500.5;20412.25;0.88;1469;-19972.63;26271;0.84;2
1;100;800;21;2;1622;8626.5;8013;1.06;1469;-11922;15704.5;0.9;0
1;100;1600;-1;0;2934;-14232.75;23365.25;0.94;2609;-36195.88;38839.5;0.83;0
1;100;1600;-1;1;1621;-21240.31;23717.13;0.85;1469;-25978.81;28859.44;0.79;1
1;100;1600;-1;2;1622;13644.94;7878.69;1.1;1469;-10370.88;15382.94;0.92;1
1;100;1600;21;0;2919;-10510.75;22030.13;0.96;2585;-30751.25;34524.38;0.85;1
1;100;1600;21;1;1621;-17925.5;21311;0.87;1469;-20375.75;25612.88;0.83;2
1;100;1600;21;2;1622;14624;8205.75;1.11;1469;-12812;15818.25;0.9;0
1;200;0;-1;0;2652;-36101.94;38947.25;0.89;2287;-31652.69;32264.56;0.88;0
1;200;0;-1;1;1621;-30564.31;34019.06;0.86;1469;-32017.75;35896.56;0.82;1
1;200;0;-1;2;1621;10395.63;12996.63;1.05;1469;-4797.19;13965.31;0.97;1
1;200;0;21;0;2622;-29984.19;33749.44;0.91;2256;-23707.38;24503.75;0.91;0
1;200;0;21;1;1621;-21358.63;29722.88;0.9;1469;-21068.25;30181.13;0.88;2
1;200;0;21;2;1621;8230.69;14884.69;1.04;1469;-6725.13;14230.88;0.96;2
1;200;200;-1;0;3189;-41251.63;43010.75;0.87;2811;-41966.06;44879.38;0.85;0
1;200;200;-1;1;1621;-24954;26266;0.85;1469;-27457.13;29746.81;0.82;0
1;200;200;-1;2;1621;-8185.19;14161.31;0.95;1469;-10467.06;13745.13;0.93;0
1;200;200;21;0;3164;-39848.94;41983.19;0.87;2775;-37820;40530.13;0.86;0
1;200;200;21;1;1621;-24028;25409.75;0.86;1469;-25592.63;28303.88;0.83;0
1;200;200;21;2;1621;-8733.69;14395.81;0.95;1469;-11952;14972.63;0.92;0
1;200;400;-1;0;2996;-50896.81;55367.44;0.86;2568;-40686.5;42350.5;0.86;0
1;200;400;-1;1;1621;-31273.06;34502.81;0.85;1469;-23671.38;26213.38;0.87;1
1;200;400;-1;2;1621;-5172.56;13409.19;0.97;1469;-5860.81;12961.25;0.97;1
1;200;400;21;0;2944;-46396.44;51475.94;0.87;2516;-34788.63;36885.25;0.87;0
1;200;400;21;1;1621;-26248;30455.13;0.87;1469;-16287;22919.5;0.91;2
1;200;400;21;2;1621;-7234.31;14299.44;0.96;1469;-8139.5;14411.25;0.95;1
1;200;800;-1;0;2743;-42385.25;48749.81;0.88;2338;-33307.06;34182;0.88;0
1;200;800;-1;1;1621;-31217.5;33626.75;0.86;1469;-31570.75;36073.44;0.83;1
1;200;800;-1;2;1621;3389.81;12238.25;1.02;1469;-6243.25;14224.25;0.96;1
1;200;800;21;0;2702;-34657.94;41758.06;0.9;2296;-27746.75;28555.25;0.89;0
1;200;800;21;1;1621;-23798;28116.63;0.89;1469;-21073.88;31008;0.88;2
1;200;800;21;2;1621;668.81;13808.63;1;1469;-7607;13681;0.96;1
1;200;1600;-1;0;2656;-38555.31;42530.94;0.89;2292;-29228.06;29839.94;0.89;0
1;200;1600;-1;1;1621;-27286.69;33036.88;0.88;1469;-31458.5;35337.31;0.83;1
1;200;1600;-1;2;1621;4498;12996.63;1.02;1469;-3194.44;13644.75;0.98;2
1;200;1600;21;0;2625;-34346.94;38004.69;0.9;2261;-21100.5;21896.88;0.92;0
1;200;1600;21;1;1621;-20498;28962.88;0.91;1469;-20589.5;29702.38;0.89;2
1;200;1600;21;2;1621;2165.06;14884.69;1.01;1469;-4955.13;13809.13;0.97;2
1;400;0;-1;0;2161;-18469.88;29211.88;0.95;1829;2726.69;14654.38;1.01;3
1;400;0;-1;1;1621;-34305.38;39875.19;0.88;1469;-30677.19;31156.88;0.86;0
1;400;0;-1;2;1621;19756.44;12005.38;1.07;1469;5874.13;12850.31;1.03;3
1;400;0;21;0;2133;-13328.44;28079.19;0.96;1808;5277.88;12667;1.02;3
1;400;0;21;1;1621;-22439.25;29511.63;0.92;1469;-15047;21575.88;0.93;2
1;400;0;21;2;1621;11991.94;14600.19;1.05;1469;-4653.88;17446.5;0.98;2
1;400;200;-1;0;2992;-28441.31;33220.69;0.92;2545;-23975.56;27798.13;0.91;0
1;400;200;-1;1;1621;-30309.69;31638.88;0.86;1469;-30816.13;32616;0.83;0
1;400;200;-1;2;1621;1600.5;8053;1.01;1469;-2582.63;12693.63;0.98;1
1;400;200;21;0;2939;-31998.94;36598.69;0.91;2492;-24135.38;27958.25;0.91;0
1;400;200;21;1;1621;-27291.13;28657.13;0.87;1469;-25408.25;28377.63;0.86;0
1;400;200;21;2;1621;-581.81;8103.13;1;1469;-9070.75;16524.75;0.95;1
1;400;400;-1;0;2627;-36445.56;43003;0.9;2177;-11482.88;20470.06;0.96;2
1;400;400;-1;1;1621;-33431;38586.38;0.87;1469;-27038.63;27642;0.87;0
1;400;400;-1;2;1621;3569.63;10564;1.01;1469;4261.06;12331.38;1.02;2
1;400;400;21;0;2560;-35569.44;42445.31;0.9;2124;-10450.75;18759.75;0.96;2
