# Griglia grossa @CL 30m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 0/lato, orologio al minuto. Campione 2016-06-09 -> 2023-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;150;0;-1;0;3248;-105227.6;112801.2;0.77;1831;-44336;59676.8;0.82;1
1;150;0;-1;1;1692;-48440;67670;0.8;950;-10500;15390;0.92;0
1;150;0;-1;2;1694;-56219.2;59772.8;0.76;950;-47505.6;55056.8;0.64;1
1;150;0;21;0;3232;-89570;96830;0.8;1818;-37830;55920;0.85;1
1;150;0;21;1;1688;-51990;69070;0.78;945;-15450;18740;0.88;1
1;150;0;21;2;1688;-33120;37170;0.86;945;-33900;44530;0.74;1
1;150;300;-1;0;3385;-85480;88090;0.77;1900;-44150;44450;0.78;0
1;150;300;-1;1;1692;-37040;37720;0.8;950;-25540;26110;0.75;0
1;150;300;-1;2;1694;-62420;64220;0.67;950;-20910;21950;0.79;1
1;150;300;21;0;3374;-87360;89970;0.76;1890;-43710;44010;0.79;0
1;150;300;21;1;1688;-36830;37510;0.8;945;-25530;26100;0.75;0
1;150;300;21;2;1688;-63450;65250;0.67;945;-20030;21500;0.8;1
1;150;600;-1;0;3377;-124512;128042;0.71;1900;-52783.2;55003.2;0.78;0
1;150;600;-1;1;1692;-57620;58820;0.74;950;-26710;28030;0.78;0
1;150;600;-1;2;1694;-72966.4;75516.4;0.67;950;-23160;25240;0.8;0
1;150;600;21;0;3366;-125000;128530;0.71;1890;-49850;52070;0.79;0
1;150;600;21;1;1688;-57980;59180;0.73;945;-26610;27930;0.78;0
1;150;600;21;2;1688;-73770;76320;0.66;945;-22730;25240;0.81;0
1;150;1200;-1;0;3351;-111164.8;114434.8;0.76;1889;-39454.4;41704.4;0.84;0
1;150;1200;-1;1;1692;-55130;61250;0.76;950;-27440;29810;0.79;0
1;150;1200;-1;2;1694;-56846.8;59696.8;0.75;950;-23725.2;28178.8;0.81;1
1;150;1200;21;0;3330;-103650;107000;0.77;1877;-35380;37630;0.86;0
1;150;1200;21;1;1688;-53990;59770;0.77;945;-27290;29660;0.79;0
1;150;1200;21;2;1688;-51260;54110;0.78;945;-20520;25710;0.84;2
1;150;2500;-1;0;3281;-112590.8;124557.6;0.75;1847;-50541.2;59554.8;0.8;1
1;150;2500;-1;1;1692;-51210;65450;0.78;950;-16070;22670;0.88;0
1;150;2500;-1;2;1694;-71472.4;74906;0.7;950;-46034;51291.2;0.65;1
1;150;2500;21;0;3265;-99540;111510;0.78;1833;-44810;53850;0.82;1
1;150;2500;21;1;1688;-52890;66090;0.78;945;-18760;24490;0.86;0
1;150;2500;21;2;1688;-53990;57910;0.77;945;-36010;45500;0.73;1
1;300;0;-1;0;3042;-135986;141230.4;0.82;1759;-64710;77564.8;0.85;1
1;300;0;-1;1;1692;-48960;62180;0.88;950;-8800;24820;0.96;1
1;300;0;-1;2;1694;-107336.8;109384;0.74;950;-60019.6;75078;0.75;0
1;300;0;21;0;3016;-87580;96010;0.88;1743;-43540;61990;0.9;2
1;300;0;21;1;1688;-57830;71510;0.86;945;-9470;26410;0.96;1
1;300;0;21;2;1688;-51980;57230;0.87;945;-33300;51730;0.86;2
1;300;300;-1;0;3382;-61788.8;65338.8;0.88;1900;-52593.2;53193.2;0.83;0
1;300;300;-1;1;1692;-26120;29850;0.9;950;-22670;23600;0.85;0
1;300;300;-1;2;1694;-60906.4;64766.4;0.79;950;-20850;26120;0.86;1
1;300;300;21;0;3370;-61260;64810;0.89;1890;-52820;53420;0.83;0
1;300;300;21;1;1688;-25740;29170;0.9;945;-21440;22040;0.86;0
1;300;300;21;2;1688;-60710;64570;0.79;945;-20120;25520;0.87;1
1;300;600;-1;0;3346;-148648.4;151348.4;0.79;1897;-49806;52506;0.87;0
1;300;600;-1;1;1692;-60820;62020;0.83;950;-14750;17330;0.92;1
1;300;600;-1;2;1694;-92483.6;96973.6;0.75;950;-23246.4;30613.2;0.88;1
1;300;600;21;0;3326;-132360;135060;0.81;1884;-51240;53940;0.87;0
1;300;600;21;1;1688;-59880;61080;0.83;945;-13880;16240;0.93;1
1;300;600;21;2;1688;-87460;91950;0.76;945;-22880;30160;0.88;1
1;300;1200;-1;0;3246;-116975.2;131288.8;0.84;1865;-55036.4;58326.4;0.87;0
1;300;1200;-1;1;1692;-47460;49530;0.88;950;-18200;29020;0.92;2
1;300;1200;-1;2;1694;-79014;87134.4;0.8;950;-26829.2;39247.6;0.88;1
1;300;1200;21;0;3208;-87540;101890;0.88;1851;-44970;48260;0.9;0
1;300;1200;21;1;1688;-47660;49810;0.88;945;-17790;28030;0.92;2
1;300;1200;21;2;1688;-58220;67170;0.85;945;-18550;35120;0.92;2
1;300;2500;-1;0;3099;-124767.6;135871.6;0.83;1790;-67149.6;83423.2;0.85;1
1;300;2500;-1;1;1692;-43060;61260;0.89;950;-16640;26920;0.93;2
1;300;2500;-1;2;1694;-106979.6;110806.8;0.74;950;-47607.2;62254.4;0.8;1
1;300;2500;21;0;3071;-88200;103690;0.88;1773;-51690;69440;0.88;1
