# Griglia grossa @FESX 240m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed FTMO, spread peggiore fra FTMO, swap peggiore fra FTMO, commissione 0/lato, orologio al minuto. Campione 2022-01-01 -> 2025-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;150;0;-1;0;1196;-17388.32;20521.75;0.86;618;-2365.8;7827.05;0.96;2
1;150;0;-1;1;754;-11698.72;12915.45;0.85;381;3335.98;3216.96;1.09;3
1;150;0;-1;2;766;-12920.56;16329.7;0.84;370;-4864.96;9104.55;0.87;1
1;150;0;21;0;1256;-22727.41;24442.94;0.82;682;-1099.11;8267.22;0.98;1
1;150;0;21;1;768;-6345.68;9801.62;0.92;416;3157.76;3564.31;1.08;2
1;150;0;21;2;773;-17435.91;18495.52;0.79;394;-5497.4;8408.57;0.86;0
1;150;350;-1;0;1332;-17712.48;18267.8;0.86;685;-5971.56;7291.84;0.91;0
1;150;350;-1;1;779;-11206.87;13065.26;0.86;412;-37.24;4787.54;1;2
1;150;350;-1;2;775;-16555.97;16851.96;0.79;388;-7868.03;8496.29;0.79;0
1;150;350;21;0;1358;-21453.12;22982.44;0.84;736;-7392.55;9511.4;0.89;0
1;150;350;21;1;781;-7007.92;9594.36;0.91;427;-757.1;5072.69;0.98;2
1;150;350;21;2;778;-17161.99;17466.09;0.78;401;-8667.31;9332.71;0.78;0
1;150;650;-1;0;1234;-10397.14;19438.25;0.92;640;-4735.92;6505.89;0.92;1
1;150;650;-1;1;758;-11074.93;12707.45;0.86;390;2940.14;3206.91;1.08;3
1;150;650;-1;2;771;-11680.01;15979.35;0.86;379;-8020.96;9471.86;0.79;0
1;150;650;21;0;1276;-20737.99;24423.27;0.84;699;-2028.09;7812.09;0.97;1
1;150;650;21;1;771;-7354.87;11141.54;0.9;420;3645.47;3495.33;1.09;2
1;150;650;21;2;773;-15845.59;18641.49;0.81;397;-6797.14;8460.14;0.83;0
1;150;1250;-1;0;1201;-13944.8;21262.02;0.89;626;-1939.66;8077.29;0.97;2
1;150;1250;-1;1;754;-11705.94;12922.67;0.85;381;4095.43;3216.96;1.11;3
1;150;1250;-1;2;768;-11008.14;15759.14;0.87;374;-5261.09;9457.4;0.86;1
1;150;1250;21;0;1259;-20500.91;23964.54;0.84;686;608.7;7575.04;1.01;1
1;150;1250;21;1;768;-6558.98;10014.92;0.91;416;4373.16;3564.31;1.11;3
1;150;1250;21;2;773;-15622.51;18073.52;0.81;395;-4792.87;7995.65;0.88;0
1;150;2500;-1;0;1196;-17388.32;20521.75;0.86;618;1025.13;7827.05;1.02;3
1;150;2500;-1;1;754;-11698.72;12915.45;0.85;381;6726.91;3216.96;1.18;4
1;150;2500;-1;2;766;-12920.56;16329.7;0.84;371;-5277.36;9104.55;0.86;1
1;150;2500;21;0;1256;-22727.41;24442.94;0.82;682;-378.91;8329.62;0.99;2
1;150;2500;21;1;768;-6345.68;9801.62;0.92;416;6590.36;3564.31;1.16;4
1;150;2500;21;2;773;-17435.91;18495.52;0.79;394;-5559.8;8408.57;0.86;0
1;350;0;-1;0;950;-15302.55;17209.04;0.89;495;-6852.12;7478.09;0.9;0
1;350;0;-1;1;740;-18584.82;19745.94;0.83;354;-1336.65;5202.58;0.97;2
1;350;0;-1;2;743;-5636.65;16092.35;0.95;343;-11025.05;13607.98;0.79;1
1;350;0;21;0;967;-14361.65;18837.81;0.9;549;-6713.28;12455.61;0.92;1
1;350;0;21;1;743;-9726.2;14214.98;0.91;399;-3003.2;5643.4;0.95;1
1;350;0;21;2;745;-14906.83;20406.77;0.87;381;-10469.16;13260.37;0.82;2
1;350;350;-1;0;1067;-19038.89;19388.89;0.87;550;-16819.1;17784.33;0.78;0
1;350;350;-1;1;760;-18111.81;19929.2;0.83;380;-4538.39;6809.41;0.91;1
1;350;350;-1;2;755;-9708.9;18314.29;0.91;369;-12377.21;14089.04;0.76;0
1;350;350;21;0;1095;-18072.76;19259.11;0.88;624;-16540.77;18163.45;0.82;0
1;350;350;21;1;759;-9242.96;11982.43;0.91;417;-8123.99;10126.21;0.87;0
1;350;350;21;2;755;-11688.52;18262;0.89;389;-9203.74;11214.4;0.83;1
1;350;650;-1;0;982;-6449.67;14866.43;0.95;514;-10045.98;11191.22;0.86;1
1;350;650;-1;1;746;-17465.46;18643.41;0.84;362;-4466.33;6600.65;0.91;1
1;350;650;-1;2;745;-3366.47;14533.25;0.97;353;-9881.78;11444.17;0.81;1
1;350;650;21;0;995;-13913.64;19070.58;0.9;570;-7398.77;13134.07;0.92;1
1;350;650;21;1;746;-9897.84;15377.87;0.91;403;-3860.56;6975.52;0.94;2
