# Griglia grossa @FDAX 60m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;500;0;-1;0;2937;147303.73;125053.33;1.11;2731;-130602.54;188675.38;0.9;0
1;500;0;-1;1;1637;115897.98;76364.6;1.16;1443;-46191.68;84912.42;0.93;2
1;500;0;-1;2;1637;-9328.65;77901.23;0.99;1443;-110219.03;143099.57;0.84;1
1;500;0;21;0;2928;169144.62;97970.82;1.13;2720;-165447.45;207287.83;0.87;0
1;500;0;21;1;1635;171947.15;48602.92;1.24;1443;-69156.53;102794.61;0.9;2
1;500;0;21;2;1635;6085.9;82155.54;1.01;1443;-111705.28;142898.1;0.84;1
1;500;2500;-1;0;3190;60474.7;80493.9;1.05;2870;-87828.23;137831.26;0.93;1
1;500;2500;-1;1;1637;47891.08;44298.01;1.07;1443;-5981.18;38786.47;0.99;2
1;500;2500;-1;2;1637;-84725.27;106209.65;0.88;1443;-94368.78;119544.68;0.85;1
1;500;2500;21;0;3167;119437.68;61294.12;1.09;2862;-56593.77;114189.47;0.96;1
1;500;2500;21;1;1635;88693.4;34963.72;1.13;1443;7950.97;30937.18;1.01;2
1;500;2500;21;2;1635;-55797.85;81152.65;0.92;1443;-77810.28;104535.04;0.88;1
1;500;4500;-1;0;3053;115406.35;80771.69;1.09;2811;-35803.34;122689.85;0.97;1
1;500;4500;-1;1;1637;86284.33;66621.62;1.12;1443;-24878.33;96499.97;0.96;2
1;500;4500;-1;2;1637;-5640.52;64515.09;0.99;1443;-65304.53;104049.73;0.9;1
1;500;4500;21;0;3033;155530.57;66637.68;1.12;2796;-62977.91;139451.09;0.95;1
1;500;4500;21;1;1635;140005.9;45647.78;1.2;1443;-32529.03;87917.37;0.95;2
1;500;4500;21;2;1635;17838.9;61562.08;1.02;1443;-65237.78;94878.56;0.9;1
1;500;9000;-1;0;2952;155568.28;103849.48;1.12;2748;-126681.48;181058.85;0.9;0
1;500;9000;-1;1;1637;109530.13;76364.6;1.15;1443;-36288.18;80646.82;0.95;2
1;500;9000;-1;2;1637;-6059.52;63531.61;0.99;1443;-88059.03;126767.69;0.87;1
1;500;9000;21;0;2937;188750.98;78445.4;1.15;2735;-146666.85;185061.27;0.89;0
1;500;9000;21;1;1635;159382.15;49204.04;1.23;1443;-63626.53;87142.37;0.91;2
1;500;9000;21;2;1635;8328.4;63897.84;1.01;1443;-96372.78;121545.6;0.86;1
1;500;18000;-1;0;2938;166112;125053.33;1.13;2732;-130707.15;188779.99;0.9;0
1;500;18000;-1;1;1637;121269.33;76364.6;1.17;1443;-46191.68;84912.42;0.93;2
1;500;18000;-1;2;1637;-14665.77;77901.23;0.98;1443;-105171.16;143099.57;0.85;1
1;500;18000;21;0;2929;163741.16;97970.82;1.13;2720;-168142.45;209982.83;0.87;0
1;500;18000;21;1;1635;175232.15;48602.92;1.25;1443;-76041.53;102794.61;0.89;2
1;500;18000;21;2;1635;-3521.6;82155.54;1;1443;-106592.78;137785.6;0.85;1
1;1000;0;-1;0;2691;142950.29;127913.96;1.08;2562;-123643.12;177096.63;0.94;0
1;1000;0;-1;1;1637;62519.78;112692.08;1.05;1443;69473.47;102093.37;1.06;2
1;1000;0;-1;2;1637;-92866.77;126707.22;0.92;1443;-189248.41;210607.84;0.84;1
1;1000;0;21;0;2671;222147.59;59476.68;1.12;2535;-84679.85;130680.91;0.96;1
1;1000;0;21;1;1635;149396.9;65473.78;1.13;1443;29715.97;96874.95;1.03;2
1;1000;0;21;2;1635;-66261.85;106382.7;0.94;1443;-197170.28;216237.34;0.83;1
1;1000;2500;-1;0;3047;60127.76;86084.96;1.03;2818;-116099.91;170413.44;0.94;1
1;1000;2500;-1;1;1637;32345.08;71442.72;1.03;1443;53280.67;37253.06;1.05;3
1;1000;2500;-1;2;1637;-174334.15;180380.71;0.85;1443;-113636.03;137326.55;0.89;1
1;1000;2500;21;0;3012;149400.98;52038.42;1.08;2793;-85608.78;120117.12;0.96;1
1;1000;2500;21;1;1635;77410.4;55072.96;1.07;1443;42559.72;33178.72;1.04;2
1;1000;2500;21;2;1635;-138442.1;143635.08;0.88;1443;-114367.78;139113.84;0.89;1
1;1000;4500;-1;0;2844;159030.91;81564.35;1.08;2698;-15375.66;162157.52;0.99;2
1;1000;4500;-1;1;1637;50586.38;102251.08;1.04;1443;54293.97;116757.24;1.05;2
1;1000;4500;-1;2;1637;-90391.02;98642.39;0.92;1443;-91971.53;122909.38;0.92;1
1;1000;4500;21;0;2813;211853.77;53883.04;1.12;2669;-24730.99;134908.79;0.99;2
1;1000;4500;21;1;1635;124355.4;70328.38;1.11;1443;46090.97;97063.99;1.04;2
1;1000;4500;21;2;1635;-68130.35;83634.82;0.94;1443;-106977.78;138503.26;0.91;1
1;1000;9000;-1;0;2712;162547.01;106018.86;1.09;2587;-122983.35;174642.74;0.94;1
1;1000;9000;-1;1;1637;58223.48;112692.08;1.05;1443;54013.17;105535.07;1.05;2
1;1000;9000;-1;2;1637;-74686.52;93524.97;0.94;1443;-183222.53;201913.47;0.84;1
1;1000;9000;21;0;2686;248686.69;59476.68;1.14;2558;-92329.43;136842.69;0.95;1
1;1000;9000;21;1;1635;135486.9;75118.78;1.12;1443;25705.97;93592.45;1.02;2
1;1000;9000;21;2;1635;-59063.35;79445.78;0.95;1443;-189097.78;206822.34;0.84;1
1;1000;18000;-1;0;2692;142758.56;127913.96;1.08;2563;-119642.73;174088.36;0.94;0
1;1000;18000;-1;1;1637;67891.13;112692.08;1.06;1443;64157.32;102093.37;1.06;2
1;1000;18000;-1;2;1637;-98203.9;126707.22;0.92;1443;-184213.03;207014.17;0.84;1
1;1000;18000;21;0;2672;216244.13;59476.68;1.12;2535;-80749.85;126750.91;0.96;1
1;1000;18000;21;1;1635;152681.9;66118.78;1.14;1443;22830.97;96874.95;1.02;2
1;1000;18000;21;2;1635;-75869.35;106382.7;0.94;1443;-192057.78;211124.84;0.84;1
1;2500;0;-1;0;2139;339693.81;71708.58;1.17;2112;-72087.25;188654.45;0.97;2
1;2500;0;-1;1;1637;49864.23;117173.14;1.03;1443;170406.87;83843.01;1.09;2
1;2500;0;-1;2;1637;-100329.15;149597.49;0.94;1443;-256056.28;307394.3;0.87;1
1;2500;0;21;0;2112;430134.48;56848.96;1.23;2081;-28618.26;110096.8;0.99;3
1;2500;0;21;1;1635;153800.9;71274.36;1.09;1443;164161.72;61636.9;1.09;2
1;2500;0;21;2;1635;-100895.35;150715.9;0.94;1443;-240160.28;290180.36;0.88;1
1;2500;2500;-1;0;2645;169225.93;46238.71;1.08;2599;-132169.57;180124.97;0.95;0
1;2500;2500;-1;1;1637;-3746.67;90093.82;1;1443;111634.12;64751.88;1.07;2
1;2500;2500;-1;2;1637;-178646.02;197995.96;0.89;1443;-208120.53;266322.46;0.88;1
1;2500;2500;21;0;2593;258966.47;34416.68;1.12;2555;-46737.8;84987.18;0.98;1
1;2500;2500;21;1;1635;58701.9;65850.22;1.04;1443;119544.72;62546.26;1.08;2
1;2500;2500;21;2;1635;-172571.35;193152.41;0.89;1443;-178947.78;248966.16;0.89;1
1;2500;4500;-1;0;2355;307344.58;61791.47;1.14;2363;34955.52;109131.81;1.01;2
1;2500;4500;-1;1;1637;11517.78;110165;1.01;1443;154550.47;78945.91;1.09;2
1;2500;4500;-1;2;1637;-63834.52;105078.27;0.96;1443;-201750.66;248624.36;0.89;0
1;2500;4500;21;0;2307;451988.28;41222.38;1.23;2315;163375.85;66534.08;1.06;3
1;2500;4500;21;1;1635;110464.65;71493.3;1.07;1443;181075.47;49567.23;1.11;2
1;2500;4500;21;2;1635;-62456.85;104635.93;0.96;1443;-194675.28;250724.3;0.9;1
1;2500;9000;-1;0;2166;402736.09;74961.46;1.2;2155;-37172.25;171507.06;0.99;2
1;2500;9000;-1;1;1637;69698.53;123989.09;1.04;1443;147502.57;80804.51;1.08;2
1;2500;9000;-1;2;1637;-59155.27;112983.74;0.97;1443;-277729.66;306959.55;0.86;0
1;2500;9000;21;0;2133;508767.07;58554.18;1.27;2118;20613.72;127790.04;1.01;2
1;2500;9000;21;1;1635;151368.4;80919.36;1.09;1443;163139.22;58691.22;1.09;3
1;2500;9000;21;2;1635;-68365.1;113188.4;0.96;1443;-256587.78;289349.3;0.87;0
1;2500;18000;-1;0;2142;331809.38;71708.58;1.16;2112;-31471.5;181188.12;0.99;2
1;2500;18000;-1;1;1637;67043.28;117359.29;1.04;1443;178550.72;70383.01;1.1;2
1;2500;18000;-1;2;1637;-105666.27;149597.49;0.94;1443;-238955.53;301795.11;0.88;1
1;2500;18000;21;0;2115;422936.6;56848.96;1.22;2082;7045.78;109629.3;1;3
1;2500;18000;21;1;1635;167110.9;71919.36;1.1;1443;170274.22;54763.72;1.1;3
1;2500;18000;21;2;1635;-110502.85;150715.9;0.94;1443;-219287.78;290180.36;0.89;1
1;5000;0;-1;0;1788;207023.8;113989.43;1.1;1712;-72163.12;181935.84;0.97;2
1;5000;0;-1;1;1637;-57121.17;192357.12;0.97;1443;186354.27;102880.97;1.09;2
1;5000;0;-1;2;1637;-149817.9;179071.92;0.92;1443;-402408.91;409257.25;0.84;0
1;5000;0;21;0;1772;316776.88;80261.22;1.17;1700;-73796.25;147814.53;0.97;2
1;5000;0;21;1;1635;66803.15;119872.06;1.04;1443;216236.97;70923.92;1.11;4
1;5000;0;21;2;1635;-129367.1;157822;0.93;1443;-348795.53;370505.39;0.85;0
1;5000;2500;-1;0;2364;146458.54;52163.06;1.07;2319;-183982.77;248088.68;0.93;1
1;5000;2500;-1;1;1637;-92845.62;173705.21;0.95;1443;67258.02;68372;1.04;3
1;5000;2500;-1;2;1637;-223640.02;243250.46;0.87;1443;-337664.91;347106.84;0.83;0
1;5000;2500;21;0;2314;232963.06;49117.78;1.11;2273;-70553.58;146652.08;0.97;2
1;5000;2500;21;1;1635;4343.15;114474.56;1;1443;106762.22;76407.5;1.06;4
1;5000;2500;21;2;1635;-207000.85;226264.41;0.88;1443;-263985.53;298493.06;0.86;0
1;5000;4500;-1;0;2024;220320.01;70643.11;1.1;2003;-1687.48;117411.86;1;2
1;5000;4500;-1;1;1637;-56969.47;160873.12;0.97;1443;107891.47;114632.97;1.05;2
1;5000;4500;-1;2;1637;-124938.15;156291.92;0.94;1443;-348111.28;360421.9;0.85;0
1;5000;4500;21;0;1991;386291.39;50989.06;1.2;1972;110896.38;94848.66;1.04;2
1;5000;4500;21;1;1635;70906.9;120054.56;1.04;1443;177513.22;79000.84;1.09;3
1;5000;4500;21;2;1635;-97052.85;128209.1;0.95;1443;-305100.53;319648.13;0.86;0
1;5000;9000;-1;0;1818;240068.22;129023.84;1.12;1761;-80825.91;176047.65;0.97;2
1;5000;9000;-1;1;1637;-32777.82;190756.52;0.98;1443;106918.27;103337.41;1.05;2
1;5000;9000;-1;2;1637;-128451.77;165912.31;0.93;1443;-419490.66;426131.82;0.83;0
1;5000;9000;21;0;1796;395166.84;84621.6;1.21;1744;-38020.99;143491.87;0.99;2
1;5000;9000;21;1;1635;79993.15;129517.06;1.04;1443;177439.47;63391.45;1.09;4
1;5000;9000;21;2;1635;-117991.1;146981.94;0.94;1443;-365028.03;374558.69;0.84;0
1;5000;18000;-1;0;1791;222228.24;113989.43;1.11;1713;-41974.48;173020.86;0.98;2
1;5000;18000;-1;1;1637;-37442.12;192543.27;0.98;1443;162343.32;89617.12;1.08;2
1;5000;18000;-1;2;1637;-150650.02;179904.05;0.92;1443;-380660.28;387508.62;0.84;0
1;5000;18000;21;0;1776;321200.54;80261.22;1.17;1701;-79059.71;165420.49;0.97;2
1;5000;18000;21;1;1635;80113.15;120517.06;1.04;1443;200436.97;70923.92;1.1;4
1;5000;18000;21;2;1635;-134524.6;162979.5;0.93;1443;-323695.53;348052.89;0.86;0
1;8000;0;-1;0;1672;201380.18;80825.56;1.1;1540;-219094.3;337980.3;0.92;1
1;8000;0;-1;1;1637;-92298.12;224885.71;0.95;1443;215845.22;102013.64;1.1;2
1;8000;0;-1;2;1637;-184091.77;213345.8;0.91;1443;-456815.53;468475.25;0.82;0
1;8000;0;21;0;1667;308549.68;68822.64;1.17;1533;-119232.68;248013.86;0.95;1
1;8000;0;21;1;1635;60243.15;102328.95;1.03;1443;258229.72;78000.62;1.12;3
1;8000;0;21;2;1635;-131741.35;160196.25;0.93;1443;-382207.53;395460.09;0.84;0
1;8000;2500;-1;0;2265;161087.93;51911.37;1.08;2162;-136581.3;246173.8;0.95;2
1;8000;2500;-1;1;1637;-84727.32;152225.73;0.95;1443;50787.72;86059.57;1.03;2
1;8000;2500;-1;2;1637;-248348.02;267545.96;0.86;1443;-319111.28;372660.81;0.85;0
1;8000;2500;21;0;2221;239672.34;42772.78;1.12;2136;6373.44;128101.28;1;2
1;8000;2500;21;1;1635;15983.15;94507.06;1.01;1443;108784.97;87330;1.06;3
1;8000;2500;21;2;1635;-211573.35;231081.91;0.88;1443;-240287.53;306332.39;0.88;1
1;8000;4500;-1;0;1920;227445.8;76454.14;1.11;1833;14340.85;139366.51;1.01;1
1;8000;4500;-1;1;1637;-82952.37;187496.81;0.96;1443;131851.52;104253.81;1.06;2
1;8000;4500;-1;2;1637;-142077.4;173431.17;0.93;1443;-355004.16;372941.72;0.85;0
1;8000;4500;21;0;1893;396877.97;42143.94;1.21;1814;140876.06;85709.84;1.06;3
