# Griglia grossa @FDAX 240m Breakout di sessione, motore nudo (pattern spenti, nessun filtro orario), 200 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
sessions;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;1000;0;-1;0;1902;70065.96;123836.55;1.05;1739;-156467.32;168181.96;0.88;1
1;1000;0;21;0;1886;111887.34;90183.47;1.09;1724;-135968.92;167421.59;0.9;1
1;1000;2500;-1;0;1946;3325.07;111167.28;1;1768;-75738.91;92346.87;0.94;2
1;1000;2500;21;0;1929;32494.59;90318.16;1.03;1754;-70932.72;92362.94;0.94;2
1;1000;4500;-1;0;1925;23951.8;104667.6;1.02;1757;12092.16;108682.72;1.01;2
1;1000;4500;21;0;1907;59701.98;77042.76;1.05;1743;18729.85;113153.92;1.01;3
1;1000;9000;-1;0;1909;76385.59;122256.17;1.06;1745;-112465.88;147514.04;0.92;2
1;1000;9000;21;0;1893;120474.25;89710.97;1.09;1729;-99560.47;143251.04;0.93;2
1;1000;18000;-1;0;1902;55208.58;123836.55;1.04;1739;-137467.32;156550.55;0.9;1
1;1000;18000;21;0;1886;100842.09;90183.47;1.08;1724;-116968.92;157448.54;0.91;1
1;2500;0;-1;0;1807;7095.36;87086.43;1;1658;-114479.91;143044.73;0.94;1
1;2500;0;21;0;1787;104347.86;72850.62;1.06;1643;-87642.83;137712.06;0.96;2
1;2500;2500;-1;0;1858;-9617.81;92671.1;0.99;1710;-44298.4;102163.13;0.98;2
1;2500;2500;21;0;1837;53377.38;64758.56;1.03;1696;-13740.61;75292.96;0.99;2
1;2500;4500;-1;0;1833;22847.5;75498.7;1.01;1690;68604.95;74663.82;1.03;3
1;2500;4500;21;0;1811;106036.62;78010.25;1.06;1672;98680.08;74064.76;1.05;3
1;2500;9000;-1;0;1815;26140.15;83265.88;1.01;1668;-128457.53;162340.2;0.94;1
1;2500;9000;21;0;1795;125747.55;73413.88;1.07;1651;-92147.26;142381.11;0.95;1
1;2500;18000;-1;0;1807;-209.52;87086.43;1;1658;-106922.03;135486.86;0.95;1
1;2500;18000;21;0;1787;93302.61;72850.62;1.05;1643;-73750.33;125709.88;0.96;2
1;5000;0;-1;0;1657;-178137.37;267436.34;0.91;1550;-184687.3;190150.72;0.92;0
1;5000;0;21;0;1636;-5720.51;113209.01;1;1528;-170062.08;196855.46;0.92;1
1;5000;2500;-1;0;1720;-150200.03;217821.79;0.92;1615;-122065.53;181579.88;0.94;1
1;5000;2500;21;0;1696;-39974.59;122134.67;0.98;1592;-77190.67;142952.12;0.96;1
1;5000;4500;-1;0;1687;-137650.17;218291.88;0.93;1587;-10344.5;99885.03;1;2
1;5000;4500;21;0;1662;11801.58;102272.13;1.01;1560;34920.2;87732.45;1.02;2
1;5000;9000;-1;0;1665;-151245.2;243292.01;0.92;1560;-240263.18;245726.59;0.9;0
1;5000;9000;21;0;1644;17472.69;109731.51;1.01;1536;-202529.01;223197.39;0.91;1
1;5000;18000;-1;0;1657;-185442.25;274741.21;0.91;1550;-185870.58;191333.99;0.92;0
1;5000;18000;21;0;1636;-16765.76;115556.89;0.99;1528;-152514.58;179307.96;0.93;1
1;8000;0;-1;0;1584;-194793.07;284346.05;0.9;1448;-346650.01;354921.76;0.86;0
1;8000;0;21;0;1575;-8780.93;99807.55;1;1430;-308474.98;332625.41;0.86;0
1;8000;2500;-1;0;1651;-142349.29;216590.54;0.92;1522;-201730.32;257105.03;0.9;1
1;8000;2500;21;0;1639;-19326.59;113827.55;0.99;1510;-149710.43;208357.09;0.92;1
1;8000;4500;-1;0;1615;-149299.95;223032.66;0.92;1491;-105345.64;151977.88;0.95;2
1;8000;4500;21;0;1601;8373.42;83559.57;1;1470;-25699.63;106636.21;0.99;2
1;8000;9000;-1;0;1592;-149380.9;241681.72;0.92;1460;-410114.68;416209.23;0.83;0
1;8000;9000;21;0;1583;30662.27;93618.95;1.02;1439;-344117.87;358485.94;0.85;0
1;8000;18000;-1;0;1584;-202097.94;291650.92;0.9;1448;-344833.28;353105.03;0.86;0
1;8000;18000;21;0;1575;-19826.18;110852.8;0.99;1430;-287927.48;312077.91;0.87;0
