half,seed,p,trades,net,dd,pf,avg
campione,1001,0.58455,1575,-94544.25,158508.99,0.94,-60.03
campione,1002,0.58455,1555,-29877.8,108976.96,0.98,-19.21
campione,1003,0.58455,1585,22843.4,89292.12,1.02,14.41
campione,1004,0.58455,1574,-146655.79,256999.74,0.9,-93.17
campione,1005,0.58455,1574,-30194.89,182982.9,0.98,-19.18
campione,1006,0.58455,1577,-141201.17,207194.7,0.91,-89.54
campione,1007,0.58455,1577,-121226.42,171733.16,0.92,-76.87
campione,1008,0.58455,1569,-41906.24,68911.2,0.97,-26.71
campione,1009,0.58455,1596,-114237.16,245797.42,0.92,-71.58
campione,1010,0.58455,1606,-54536.76,120461.52,0.96,-33.96
campione,1011,0.58455,1562,-160764.77,173568.45,0.89,-102.92
campione,1012,0.58455,1582,-127091.22,172126.94,0.92,-80.34
campione,1013,0.58455,1557,-149951.97,153921.63,0.9,-96.31
campione,1014,0.58455,1588,135622.77,55001.94,1.1,85.4
campione,1015,0.58455,1591,-200242.36,220645.52,0.87,-125.86
campione,1016,0.58455,1572,-48259.12,186033.16,0.97,-30.7
campione,1017,0.58455,1574,49116.46,75011.06,1.03,31.2
campione,1018,0.58455,1558,-6308.18,87257.42,1,-4.05
campione,1019,0.58455,1601,-102314.21,135252.41,0.93,-63.91
campione,1020,0.58455,1584,-125940.39,149497.72,0.92,-79.51
campione,1021,0.58455,1563,-16565.48,173426.8,0.99,-10.6
campione,1022,0.58455,1571,-106783.16,161434.52,0.93,-67.97
campione,1023,0.58455,1580,-112047.05,117383.79,0.92,-70.92
campione,1024,0.58455,1576,-57095.84,178711.74,0.96,-36.23
campione,1025,0.58455,1571,-216480.66,241360.96,0.85,-137.8
campione,1026,0.58455,1578,46390.12,56677.74,1.03,29.4
campione,1027,0.58455,1586,-198452.81,208266.03,0.87,-125.13
campione,1028,0.58455,1584,-43453.14,123725.98,0.97,-27.43
campione,1029,0.58455,1592,-132188.32,154377.22,0.91,-83.03
campione,1030,0.58455,1581,-59877.76,114982.32,0.96,-37.87
campione,1031,0.58455,1587,-126623.52,197986.5,0.92,-79.79
campione,1032,0.58455,1592,50406.93,137004.46,1.04,31.66
campione,1033,0.58455,1590,-122256.4,155266.28,0.92,-76.89
campione,1034,0.58455,1595,-19656.45,116180.62,0.99,-12.32
campione,1035,0.58455,1578,52882.62,66510.22,1.04,33.51
campione,1036,0.58455,1593,-141509.28,209718.5,0.91,-88.83
campione,1037,0.58455,1587,-153584.15,199668.23,0.9,-96.78
campione,1038,0.58455,1575,-175307.38,300917.76,0.88,-111.31
campione,1039,0.58455,1575,-201089.5,246542.14,0.87,-127.68
campione,1040,0.58455,1580,-22659.3,137331.3,0.98,-14.34
campione,1041,0.58455,1563,-123575.48,176146.22,0.92,-79.06
campione,1042,0.58455,1560,124682.4,64211.56,1.09,79.92
campione,1043,0.58455,1608,-165771.18,224220.02,0.89,-103.09
campione,1044,0.58455,1593,-112574.28,179217.98,0.92,-70.67
campione,1045,0.58455,1586,-108925.06,194830.54,0.93,-68.68
campione,1046,0.58455,1573,-324328.93,326134.51,0.79,-206.18
campione,1047,0.58455,1585,1884.8,150912.07,1,1.19
campione,1048,0.58455,1551,-39195.06,131806.31,0.97,-25.27
campione,1049,0.58455,1577,-106268.92,180973,0.93,-67.39
campione,1050,0.58455,1577,23828.58,128435.54,1.02,15.11
campione,1051,0.58455,1568,80279.72,67145.78,1.06,51.2
campione,1052,0.58455,1577,-46624.17,118425.2,0.97,-29.57
campione,1053,0.58455,1552,-229267.17,241338.61,0.85,-147.72
campione,1054,0.58455,1579,40239.16,72809.86,1.03,25.48
campione,1055,0.58455,1578,-19798.48,100471.85,0.99,-12.55
campione,1056,0.58455,1574,71906.46,85059.14,1.05,45.68
campione,1057,0.58455,1577,-83123.92,191163.44,0.94,-52.71
campione,1058,0.58455,1566,48469.14,58693.9,1.04,30.95
campione,1059,0.58455,1581,-121147.76,167355.9,0.92,-76.63
campione,1060,0.58455,1571,-52068.16,113762.62,0.96,-33.14
campione,1061,0.58455,1602,-130390.42,196105.98,0.91,-81.39
campione,1062,0.58455,1573,-103051.68,143258.69,0.93,-65.51
campione,1063,0.58455,1573,77524.92,62689.8,1.06,49.28
campione,1064,0.58455,1588,86500.52,76702.82,1.06,54.47
campione,1065,0.58455,1561,69276.19,58174.06,1.05,44.38
campione,1066,0.58455,1572,82095.88,72966.54,1.06,52.22
campione,1067,0.58455,1574,-9286.04,141338.82,0.99,-5.9
campione,1068,0.58455,1580,-40826.8,115188.72,0.97,-25.84
campione,1069,0.58455,1586,-210007.56,259547.92,0.86,-132.41
campione,1070,0.58455,1575,-72237,144944.02,0.95,-45.86
campione,1071,0.58455,1586,134809.94,83864.22,1.1,85
campione,1072,0.58455,1578,-78779.63,132293.87,0.95,-49.92
campione,1073,0.58455,1576,116724.42,73523.16,1.09,74.06
campione,1074,0.58455,1592,24844.18,87306.84,1.02,15.61
campione,1075,0.58455,1585,-133531.6,168310.28,0.91,-84.25
campione,1076,0.58455,1582,-119858.72,134459.44,0.92,-75.76
campione,1077,0.58455,1580,-254104.05,292769.19,0.84,-160.83
campione,1078,0.58455,1583,98397.57,58495.4,1.07,62.16
campione,1079,0.58455,1564,-88993.94,138534.64,0.94,-56.9
campione,1080,0.58455,1592,-3570.82,106914.72,1,-2.24
campione,1081,0.58455,1595,-182541.58,218357.4,0.88,-114.45
campione,1082,0.58455,1559,-12587.02,72506.46,0.99,-8.07
campione,1083,0.58455,1584,-84198.14,178487.98,0.94,-53.16
campione,1084,0.58455,1567,-20045.67,103608.67,0.99,-12.79
campione,1085,0.58455,1577,-168206.42,211729.86,0.89,-106.66
campione,1086,0.58455,1574,57196.71,95637.99,1.04,36.34
campione,1087,0.58455,1589,-90230.69,103045.77,0.94,-56.78
campione,1088,0.58455,1584,-126085.64,156908.46,0.92,-79.6
campione,1089,0.58455,1592,-183755.82,253939.7,0.88,-115.42
campione,1090,0.58455,1596,-149369.66,203940.96,0.9,-93.59
