# Griglia grossa @FDAX 240m Reversal Bollinger mirrored, motore nudo (pattern spenti, nessun filtro orario), 150 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
bbLength;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
10;1000;0;-1;0;1431;-111874.26;133748.86;0.89;1306;-1856.52;89839.57;1;2
10;1000;0;21;0;1416;-102666.19;131362.43;0.89;1290;5313.4;82745.79;1.01;1
10;1000;2500;-1;0;1543;-163031.07;180889.37;0.84;1410;-94155.39;115302.24;0.9;0
10;1000;2500;21;0;1513;-139174.7;154293.19;0.86;1385;-71957.91;96827.21;0.92;0
10;1000;4500;-1;0;1470;-114267.15;139749.92;0.89;1355;-54422.56;85706.68;0.95;1
10;1000;4500;21;0;1444;-86075.53;118214.27;0.91;1333;-38703.32;76186.87;0.96;2
10;1000;9000;-1;0;1433;-92551.87;129016.86;0.91;1314;-18804.73;98497.99;0.98;2
10;1000;9000;21;0;1417;-84392.66;127479.5;0.91;1296;-4109.91;83108.41;1;2
10;1000;18000;-1;0;1431;-111874.26;133748.86;0.89;1308;12328.52;89839.57;1.01;2
10;1000;18000;21;0;1416;-102666.19;131362.43;0.89;1292;33923.61;82745.79;1.04;1
10;2500;0;-1;0;1356;-168172.19;185871.6;0.88;1234;-205417.58;250917.14;0.87;1
10;2500;0;21;0;1347;-181756.24;205566.2;0.86;1227;-144934.95;211802.39;0.9;1
10;2500;2500;-1;0;1509;-294769.67;306866.34;0.79;1383;-137960.57;181136.83;0.91;0
10;2500;2500;21;0;1478;-251415.07;264694.85;0.81;1358;-82636.57;134116.28;0.94;1
10;2500;4500;-1;0;1406;-189723.1;212250.82;0.87;1308;-217563.86;238116.6;0.86;0
10;2500;4500;21;0;1383;-162368.07;203955.02;0.88;1286;-165777.58;194492.63;0.89;0
10;2500;9000;-1;0;1359;-153803.19;173986.38;0.89;1247;-184276.46;214653.29;0.88;1
10;2500;9000;21;0;1348;-160345.4;196156.61;0.88;1236;-132438.41;188728.16;0.91;1
10;2500;18000;-1;0;1356;-168355.23;186054.64;0.88;1236;-191232.55;253119.64;0.88;1
10;2500;18000;21;0;1347;-181756.24;205566.2;0.86;1229;-116324.74;213760.93;0.92;1
10;5000;0;-1;0;1338;-221806.08;242701.99;0.86;1205;-108047.59;240907.74;0.94;1
10;5000;0;21;0;1331;-233175.41;260832.15;0.84;1199;-41134.94;170221.13;0.97;1
10;5000;2500;-1;0;1497;-389584.86;399425.61;0.76;1373;-190574.87;237668.95;0.89;0
10;5000;2500;21;0;1468;-321348.17;332534.85;0.79;1348;-103598.25;166511.23;0.93;0
10;5000;4500;-1;0;1389;-262805.9;287017.39;0.83;1291;-232033.93;251559.71;0.87;0
10;5000;4500;21;0;1368;-223308.49;264465.29;0.85;1269;-135196.37;167465.09;0.92;0
10;5000;9000;-1;0;1341;-207952.41;236402.25;0.87;1221;-144763.71;217111.21;0.92;1
10;5000;9000;21;0;1332;-209169.68;250748.18;0.86;1211;-72304.5;161245.33;0.96;1
