# Griglia grossa @FDAX 240m Volatility breakout (range d1), motore nudo (pattern spenti, nessun filtro orario), 600 combinazioni.
# volMultTenths e' un intero da dividere per 10: il valore passato alla classe e' volMultTenths/10.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 19.23/lato, orologio al minuto. Campione 2014-07-18 -> 2021-01-01, fuori campione -> 2026-09-01.
volMultTenths;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
5;1000;0;-1;0;1242;65600.16;74885.34;1.08;1104;50222.19;53594.04;1.06;2
5;1000;0;-1;1;724;50628.29;42306.77;1.11;622;9927.91;39308.75;1.02;3
5;1000;0;-1;2;685;18041.78;37878.07;1.04;614;-24678.19;64716.29;0.95;1
5;1000;0;21;0;1227;80007.86;63105.23;1.1;1098;33772.3;66594.81;1.04;2
5;1000;0;21;1;719;70992.36;29859.46;1.17;618;-10007.06;45229.23;0.98;2
5;1000;0;21;2;680;12395.2;49171.11;1.03;613;-19043.61;72252.98;0.96;1
5;1000;2500;-1;0;1242;29179.86;72308.07;1.04;1104;34396.94;39983.56;1.05;2
5;1000;2500;-1;1;724;12918.26;48667.21;1.03;622;22809.06;23826.28;1.06;2
5;1000;2500;-1;2;685;46948.9;32889.88;1.11;614;-21812.19;44878.73;0.95;1
5;1000;2500;21;0;1227;37848.71;62948.56;1.05;1098;26727.05;47177.03;1.04;2
5;1000;2500;21;1;719;28106.34;35613.79;1.07;618;15280.45;27710.38;1.04;2
5;1000;2500;21;2;680;42009.2;34115.67;1.1;613;-22433.86;46200.48;0.95;1
5;1000;4500;-1;0;1242;31888.48;86323.74;1.04;1104;17618.21;71414.75;1.02;1
5;1000;4500;-1;1;724;27221.31;43189.06;1.06;622;6900.28;31968.49;1.02;2
5;1000;4500;-1;2;685;22267.15;44233.42;1.05;614;-17698.57;63845.23;0.96;1
5;1000;4500;21;0;1227;43334.98;75524.6;1.06;1098;17817.67;76877.69;1.02;1
5;1000;4500;21;1;719;41594.61;36413.21;1.1;618;2182.32;34299.41;1.01;2
5;1000;4500;21;2;680;16965.33;48844.73;1.04;613;-15677.61;69027.98;0.96;1
5;1000;9000;-1;0;1242;68936.93;74885.34;1.09;1104;59802.89;55603.2;1.08;2
5;1000;9000;-1;1;724;48774.94;42306.77;1.11;622;20585.81;36193.37;1.05;3
5;1000;9000;-1;2;685;35685.65;34557.92;1.08;614;-225.19;61603.48;1;2
5;1000;9000;21;0;1227;81927.11;62458.98;1.11;1098;37564.8;68840.31;1.05;2
5;1000;9000;21;1;719;68557.36;29859.46;1.16;618;5565.45;43407.6;1.01;3
5;1000;9000;21;2;680;26749.45;47553.11;1.06;613;-8603.61;67863.67;0.98;1
5;1000;18000;-1;0;1242;65600.16;74885.34;1.08;1104;43290.94;53594.04;1.05;2
5;1000;18000;-1;1;724;50628.29;42306.77;1.11;622;9927.91;39308.75;1.02;3
5;1000;18000;-1;2;685;18041.78;37878.07;1.04;614;-22398.19;64716.29;0.95;1
5;1000;18000;21;0;1227;80007.86;63105.23;1.1;1098;28538.55;66594.81;1.04;1
5;1000;18000;21;1;719;70992.36;29859.46;1.17;618;-10007.06;45229.23;0.98;2
5;1000;18000;21;2;680;12395.2;49171.11;1.03;613;-19043.61;72252.98;0.96;1
5;2500;0;-1;0;1242;33230.31;76641.5;1.03;1104;8594.99;68380.27;1.01;3
5;2500;0;-1;1;724;-16440.72;92918.04;0.97;622;13693.93;53780.91;1.02;2
5;2500;0;-1;2;685;115007.03;31870.56;1.2;614;-35166.82;79010.73;0.95;1
5;2500;0;21;0;1227;80272.48;56729.64;1.08;1098;5479.17;71043.19;1;3
5;2500;0;21;1;719;51714.26;48386.73;1.09;618;-5720.03;55687.88;0.99;2
5;2500;0;21;2;680;104539.2;36419.99;1.19;613;-23094.61;67963.3;0.97;1
5;2500;2500;-1;0;1242;8236.38;73648.21;1.01;1104;34595.61;64970.76;1.03;2
5;2500;2500;-1;1;724;-39743.99;86375.2;0.93;622;-1665.15;55940.52;1;1
5;2500;2500;-1;2;685;122693.03;38351.43;1.24;614;33807.19;46943.58;1.06;2
5;2500;2500;21;0;1227;43549.21;60194.9;1.05;1098;38462.55;64799.24;1.04;2
5;2500;2500;21;1;719;21720.24;50156.97;1.04;618;1873.6;50658.63;1;1
5;2500;2500;21;2;680;113800.08;38122.05;1.22;613;32781.65;43526;1.06;3
5;2500;4500;-1;0;1242;39961.98;74257.79;1.04;1104;5745.41;57777.06;1;2
5;2500;4500;-1;1;724;-18310.14;80354.81;0.97;622;-6846.8;52147.37;0.99;2
5;2500;4500;-1;2;685;127480.65;26197.94;1.23;614;17310.19;46511.04;1.03;2
5;2500;4500;21;0;1227;80509.36;55689.27;1.08;1098;21940.05;55599.56;1.02;2
5;2500;4500;21;1;719;40197.01;42858.07;1.07;618;108.1;45147.42;1;2
5;2500;4500;21;2;680;123968.08;27588.37;1.23;613;18409.9;41745.06;1.03;2
