# Griglia grossa @FCE 240m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed FTMO, spread peggiore fra FTMO, swap peggiore fra FTMO, commissione 0/lato, orologio al minuto. Campione 2022-01-01 -> 2025-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;300;0;-1;0;1035;-39328.59;39969.55;0.77;557;-12504.83;12558.06;0.86;1
1;300;0;-1;1;683;-30563.7;31315.66;0.72;378;-9157.47;11208.47;0.86;1
1;300;0;-1;2;658;-6954.56;17281.61;0.94;361;-13692.69;17438.97;0.78;1
1;300;0;21;0;1134;-41071.52;41700.32;0.79;636;-21970.7;23914.52;0.8;1
1;300;0;21;1;743;-12247.6;16775.63;0.9;414;-2934.66;8787.58;0.96;2
1;300;0;21;2;723;-10671.2;18892.1;0.91;393;-19523.78;22032.89;0.73;1
1;300;700;-1;0;1095;-28375.05;30084.39;0.84;603;-20324.92;21271.57;0.79;1
1;300;700;-1;1;708;-14952.4;18126.44;0.86;394;-11098.96;15108.66;0.83;1
1;300;700;-1;2;683;-12124.99;20508.87;0.89;373;-16336.42;18409.74;0.74;0
1;300;700;21;0;1195;-16517.05;22211.62;0.92;672;-24422.98;25507.58;0.79;0
1;300;700;21;1;757;559.66;12295.96;1;422;-4519.19;11132.21;0.94;2
1;300;700;21;2;732;-10437.03;16657.82;0.92;397;-21236.85;22892.25;0.7;0
1;300;1250;-1;0;1043;-34668.18;36377.74;0.8;567;-15287.8;15341.04;0.83;1
1;300;1250;-1;1;684;-26061.02;27773.06;0.76;381;-7619.36;11127.98;0.88;1
1;300;1250;-1;2;668;-5034.21;17083.67;0.96;368;-16763.31;19336.78;0.74;0
1;300;1250;21;0;1142;-33505.37;35329.33;0.83;647;-23240.39;24491.89;0.8;1
1;300;1250;21;1;743;-9272.1;15500.97;0.92;416;-1598;9796.08;0.98;2
1;300;1250;21;2;726;-8376.81;19386.86;0.93;396;-19866.04;22071.45;0.72;1
1;300;2500;-1;0;1035;-39440.42;40081.38;0.77;558;-7620.16;9279.57;0.91;1
1;300;2500;-1;1;683;-27577.36;28973.5;0.74;378;-5542.9;8408.47;0.91;1
1;300;2500;-1;2;658;-5212.81;17281.61;0.95;362;-12422.59;17438.97;0.8;2
1;300;2500;21;0;1134;-41225.42;41854.22;0.79;637;-16829.6;23067.52;0.85;2
1;300;2500;21;1;743;-11465.4;16775.63;0.9;414;712.34;7940.58;1.01;2
1;300;2500;21;2;723;-8929.45;18892.1;0.93;393;-17729.68;21732.89;0.75;1
1;300;5000;-1;0;1035;-39328.59;39969.55;0.77;557;-12504.83;12558.06;0.86;1
1;300;5000;-1;1;683;-30563.7;31315.66;0.72;378;-9157.47;11208.47;0.86;1
