# Griglia grossa @GC 240m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 10.8/lato, orologio al minuto. Campione 2014-09-22 -> 2021-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;1000;0;-1;0;1861;-31618.59;50922.52;0.95;2055;113232.65;69850.11;1.09;2
1;1000;0;-1;1;1547;-108830.39;119748.9;0.81;1455;120295.84;60518.71;1.15;2
1;1000;0;-1;2;1529;12749.6;42021;1.02;1445;-54462;135794.4;0.94;2
1;1000;0;21;0;1956;-133502.5;142068.5;0.83;2171;62890.57;91664.62;1.05;2
1;1000;0;21;1;1605;-53569.56;70608.37;0.91;1501;182113.77;38979.5;1.22;2
1;1000;0;21;2;1584;-65482.4;90998.8;0.89;1487;-80920.2;158320.4;0.91;2
1;1000;2000;-1;0;1901;-60407.52;70593.9;0.91;2285;28370.84;77567.69;1.02;2
1;1000;2000;-1;1;1561;-117824.98;123239.54;0.8;1502;69289.01;52475.06;1.09;2
1;1000;2000;-1;2;1541;-26462.6;62882.8;0.95;1483;-55270.8;102262.8;0.93;1
1;1000;2000;21;0;1989;-148322.83;157444.03;0.81;2347;40808.71;76647.84;1.03;2
1;1000;2000;21;1;1609;-58241.04;73785.49;0.9;1532;111221.32;27466.53;1.14;3
1;1000;2000;21;2;1591;-77478.6;98514.8;0.86;1508;-71632.8;112678.4;0.92;1
1;1000;4000;-1;0;1865;-39176.01;60066.92;0.94;2137;88708.46;60772.44;1.07;2
1;1000;4000;-1;1;1547;-109633.47;119368.47;0.81;1476;88616.09;55225.2;1.11;2
1;1000;4000;-1;2;1531;-4706.6;49397.2;0.99;1464;-76188.4;119603.6;0.91;2
1;1000;4000;21;0;1960;-145614.9;154620.9;0.81;2234;32494.65;79588.62;1.02;2
1;1000;4000;21;1;1606;-61378.67;72734.64;0.9;1519;127363.79;32002.5;1.15;2
1;1000;4000;21;2;1585;-74368;97524.8;0.87;1495;-92128;136887.4;0.9;1
1;1000;8000;-1;0;1861;-37110.59;56414.52;0.95;2075;146873.55;70871.71;1.12;2
1;1000;8000;-1;1;1547;-104669.39;115587.9;0.82;1463;108168.94;60518.71;1.13;2
1;1000;8000;-1;2;1529;7979.6;42021;1.02;1449;-37683.4;108582.6;0.96;2
