# Griglia grossa GC 4h Price Channel, motore nudo (pattern spenti, nessun filtro orario), 900 combinazioni.
# Feed XAUUSD ICS, spread FTMO, swap ICS, commissione 10,8/lato, orologio al minuto. Campione 2022-01 -> 2025-01, fuori campione 2025-01 -> 2026-09.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;1000;0;-1;0;772;11567.66;39592.18;1.03;727;63228.66;50174.72;1.11;3
1;1000;0;-1;1;575;17784.62;45241.41;1.06;443;94780.77;23421.81;1.3;3
1;1000;0;-1;2;579;-89488.4;107771.2;0.73;429;-18980.4;80538.2;0.95;1
1;1000;0;19;0;802;-25333.96;49287.64;0.94;750;67359.18;46311.16;1.12;3
1;1000;0;19;1;589;46425.47;29459.41;1.16;444;112413.82;24548.78;1.35;4
1;1000;0;19;2;587;-96005.2;105386;0.72;436;-26091.6;81153.2;0.93;1
1;1000;0;20;0;803;-31622.56;55105.06;0.93;749;68447.27;47671.01;1.12;2
1;1000;0;20;1;590;39097.32;31865.92;1.13;444;115595.31;21483.09;1.36;4
1;1000;0;20;2;587;-104939.2;112803;0.7;436;-30585.6;87726.8;0.91;1
1;1000;0;21;0;821;-26261.34;57794.06;0.94;758;74141.38;47748.12;1.13;2
1;1000;0;21;1;594;43426.92;34930.52;1.15;452;101647.04;27075.38;1.31;3
1;1000;0;21;2;592;-104663.2;116165.4;0.7;440;-25113;85981;0.93;1
1;1000;2000;-1;0;835;-66823.17;75533.79;0.85;844;48993.39;41389.01;1.09;3
1;1000;2000;-1;1;589;13364.87;40703.77;1.05;468;38752.5;18129.81;1.14;3
1;1000;2000;-1;2;585;-95104;102342.8;0.72;445;-5761;38829.8;0.98;3
1;1000;2000;19;0;835;-46452.82;58887.02;0.89;838;76042.22;33286.2;1.15;3
1;1000;2000;19;1;593;44150.97;26976.41;1.16;466;34210.93;22006.89;1.12;2
1;1000;2000;19;2;593;-103619.8;109987.2;0.69;445;-10486;43301.8;0.96;3
1;1000;2000;20;0;838;-58136.13;69678.33;0.87;837;72601.31;34880.2;1.14;3
1;1000;2000;20;1;594;38335.33;28883.92;1.13;466;30422.42;23095.29;1.11;2
1;1000;2000;20;2;593;-107948.8;114102.2;0.69;445;-9204;42252.8;0.97;3
1;1000;2000;21;0;865;-52414.8;67269.4;0.89;853;67597.24;33545.49;1.13;3
