# Griglia grossa @NIY 240m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed FTMO, spread peggiore fra FTMO, swap peggiore fra FTMO, commissione 0/lato, orologio al minuto. Campione 2022-01-01 -> 2025-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;60000;0;-1;0;1246;-3178394.5;5095014.4;0.94;766;-2560833.6;3719074.4;0.93;1
1;60000;0;-1;1;788;-1542172.4;3338024.6;0.95;454;-535627.3;2561714.9;0.98;2
1;60000;0;-1;2;784;-5050558.5;5510929.8;0.84;437;-3023551.5;4552368.95;0.86;1
1;60000;0;21;0;1335;-7267034.45;9024487.3;0.87;793;-521453.15;4179854.25;0.99;1
1;60000;0;21;1;812;-1024053.8;2570953.2;0.97;463;148707.1;2387115;1.01;2
1;60000;0;21;2;818;-4977624;6063811.75;0.85;451;-2886389.5;3565280.15;0.87;1
1;60000;160000;-1;0;1360;-6098463.7;6307037.75;0.88;853;-724103.55;3509420.65;0.98;2
1;60000;160000;-1;1;815;-1999475.1;3009496.9;0.94;471;-1432568.8;3217313.9;0.93;2
1;60000;160000;-1;2;810;-6487133.15;7188601.55;0.8;456;-1458517.7;2680931.1;0.93;1
1;60000;160000;21;0;1431;-7818950.55;8942091.05;0.86;869;-187317.55;3360587.65;0.99;2
1;60000;160000;21;1;830;-1332342.7;2354450;0.96;471;-945434.8;2966696.6;0.95;2
1;60000;160000;21;2;831;-6430963.05;7353213.05;0.81;460;-578314.35;2131744.35;0.97;1
1;60000;280000;-1;0;1281;-3875294.2;5133843.6;0.92;825;3095651.05;1859460.35;1.08;3
1;60000;280000;-1;1;798;-1771878.2;3603059.7;0.94;465;148363.3;2458511.3;1.01;2
1;60000;280000;-1;2;792;-4192339.2;5043225.35;0.87;450;85957;2697298.35;1;2
1;60000;280000;21;0;1370;-8048819.7;9812905.45;0.85;842;3548151.1;2848970.95;1.1;3
1;60000;280000;21;1;819;-327222.3;2574394.7;0.99;466;1160122;2338158.3;1.05;2
1;60000;280000;21;2;822;-4720128.2;6312128.2;0.86;457;1193229.2;1943304.35;1.06;2
1;60000;570000;-1;0;1248;-4295521.7;5095014.4;0.91;784;-2615211.25;4343916.35;0.93;1
1;60000;570000;-1;1;788;-1178694.2;3338024.6;0.96;457;-1663067.6;2751476.6;0.92;2
1;60000;570000;-1;2;786;-6447609.15;6907980.45;0.8;442;-1752408.45;3152811.55;0.92;1
1;60000;570000;21;0;1335;-7973009.45;9730462.3;0.85;803;-815733.4;3627970;0.98;2
1;60000;570000;21;1;812;-765528.8;2501633;0.98;463;-843469.6;2519615;0.96;1
1;60000;570000;21;2;818;-5659624;6745811.75;0.83;452;-766743.05;2525227.25;0.96;2
1;60000;1130000;-1;0;1246;-3178394.5;5095014.4;0.94;767;-3622065.3;4373936;0.9;1
1;60000;1130000;-1;1;788;-1542172.4;3338024.6;0.95;454;-671919;2561714.9;0.97;2
1;60000;1130000;-1;2;784;-5050558.5;5510929.8;0.84;438;-3984030.05;4552368.95;0.81;1
1;60000;1130000;21;0;1335;-7267034.45;9024487.3;0.87;793;-1080528.15;4179854.25;0.97;0
1;60000;1130000;21;1;812;-1024053.8;2570953.2;0.97;463;183177.1;2387115;1.01;2
1;60000;1130000;21;2;818;-4977624;6063811.75;0.85;451;-3479934.5;3565280.15;0.84;1
1;160000;0;-1;0;905;-3000678.3;4072347.8;0.94;597;1538466;3981578.45;1.03;3
1;160000;0;-1;1;731;338518.7;3572604.6;1.01;431;1955431.4;3789986.5;1.06;3
1;160000;0;-1;2;726;-6838839.75;7734265.9;0.84;414;-3982958.75;4580810.05;0.89;1
1;160000;0;21;0;1003;-8994330.6;11817097.3;0.86;641;4597272.25;3655124.5;1.08;3
1;160000;0;21;1;772;4394509.3;2420859.6;1.11;450;4260732.5;4914458.3;1.11;2
1;160000;0;21;2;763;-5821575.2;9475753.45;0.87;433;-5322201.9;5806450.45;0.86;1
1;160000;160000;-1;0;1014;1029910.3;4347663.55;1.02;729;1399739.75;5542218.9;1.03;2
1;160000;160000;-1;1;760;1550734.9;3152588.6;1.04;462;317771.6;3926180.4;1.01;2
1;160000;160000;-1;2;747;-7621918.65;8804368.55;0.82;439;-1939651.15;2597309.4;0.94;1
1;160000;160000;21;0;1137;-9408496.1;11646196.95;0.86;784;4297623.3;3447033.5;1.08;3
1;160000;160000;21;1;798;3494095.1;2067133;1.09;465;-80611.3;4227691.3;1;2
1;160000;160000;21;2;781;-7555831.2;9884138.95;0.83;448;-2062955.15;3171765.15;0.94;1
1;160000;280000;-1;0;937;-2328305.3;4620570.3;0.96;678;6320879.8;3073965.3;1.12;3
1;160000;280000;-1;1;736;1676361.2;3623674.8;1.05;446;1637449.3;3565727.4;1.05;3
1;160000;280000;-1;2;732;-5352874.5;8121856.2;0.87;430;-35830.45;2488794.25;1;2
1;160000;280000;21;0;1047;-10651744.65;12350171.35;0.84;726;9583950.75;2507853.3;1.17;3
1;160000;280000;21;1;780;3881920.7;2279121.3;1.09;456;2857108.9;4118289.9;1.08;3
1;160000;280000;21;2;769;-5593696.5;9839120.55;0.88;441;-244237.4;2717713.05;0.99;3
1;160000;570000;-1;0;909;-1028045.4;4072347.8;0.98;617;-346135.5;4305643.4;0.99;2
1;160000;570000;-1;1;731;338518.7;3572604.6;1.01;433;974127.5;3737080.7;1.03;3
1;160000;570000;-1;2;728;-5872257.5;7810400.35;0.86;419;-4249239.1;4463869.8;0.88;1
1;160000;570000;21;0;1006;-8635239.15;11478097.3;0.86;661;3985850.05;3565386.2;1.07;3
1;160000;570000;21;1;772;5383034.3;2420859.6;1.13;451;3260430.7;4047824.9;1.08;3
1;160000;570000;21;2;764;-6043008.75;9223753.45;0.87;434;-3021114;4185502.4;0.92;1
