# Griglia grossa @NQ 15m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed ICS, spread peggiore fra ICS/FTMOPLATFORM, swap peggiore fra ICS/FTMO, commissione 19.23/lato, orologio al minuto. Campione 2022-01-01 -> 2025-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;500;0;-1;0;1463;50007.82;50975.54;1.07;828;28098.92;44023.82;1.07;4
1;500;0;-1;1;784;5498.7;34033.28;1.01;435;3793.04;34803.82;1.02;3
1;500;0;-1;2;782;-14666.72;76211.22;0.96;435;-29613.2;82732.38;0.86;1
1;500;0;21;0;1441;43673.54;49509.46;1.07;817;22270.38;34354.16;1.06;3
1;500;0;21;1;774;-8629.24;32212.12;0.98;430;972;31885.9;1;2
1;500;0;21;2;774;-24640.64;66026.8;0.93;430;-24213.4;71428.88;0.89;1
1;500;1000;-1;0;1558;-39225.9;44109.16;0.93;870;-21692.3;44723.74;0.93;2
1;500;1000;-1;1;784;-46530.96;49761.78;0.84;435;-16146.1;27146.36;0.9;1
1;500;1000;-1;2;782;-34076.22;49345.54;0.88;435;-44355.2;52117.2;0.73;0
1;500;1000;21;0;1544;-35149.24;40039.6;0.94;860;-22997.6;45074.88;0.92;2
1;500;1000;21;1;774;-45905.64;49136.46;0.84;430;-18542.8;28581.52;0.88;1
1;500;1000;21;2;774;-34923.04;50384.68;0.88;430;-43263.8;51033.18;0.74;0
1;500;2000;-1;0;1551;-40085.42;54888.02;0.94;870;15131.7;30437.42;1.04;3
1;500;2000;-1;1;784;-18534.42;32327.94;0.94;435;7964.12;16774.14;1.04;2
1;500;2000;-1;2;782;-45026.02;55967.22;0.87;435;-34440.2;48547.4;0.82;1
1;500;2000;21;0;1534;-39782.24;53662.14;0.94;860;14232.4;31255.56;1.04;3
1;500;2000;21;1;774;-17608.64;32966.74;0.95;430;4235.2;16774.14;1.02;2
1;500;2000;21;2;774;-46427.44;58205.66;0.86;430;-33348.8;47463.38;0.82;1
1;500;4000;-1;0;1532;-21353.98;42473.2;0.97;865;22297.38;33922.3;1.06;3
1;500;4000;-1;1;784;-16230.88;35238.74;0.96;435;19998.88;20859.16;1.1;2
1;500;4000;-1;2;782;-45828.72;77808.38;0.88;435;-21622.4;40841.42;0.9;1
1;500;4000;21;0;1501;-19597.26;44629.6;0.97;854;19172.76;40280.46;1.05;3
1;500;4000;21;1;774;-18109.64;36644.98;0.95;430;9425.2;29230.54;1.05;2
1;500;4000;21;2;774;-48757.44;81574.12;0.87;430;-21132.8;40366.3;0.9;1
1;500;8000;-1;0;1481;40468.52;52655.48;1.06;845;-578.38;45012.54;1;2
1;500;8000;-1;1;784;-5471.86;31464.74;0.99;435;-12201.9;34803.82;0.94;2
1;500;8000;-1;2;782;-15007.72;82128.12;0.96;435;-40235.4;60026.3;0.81;1
1;500;8000;21;0;1453;41969.82;49154.38;1.06;831;-3409.46;51667.48;0.99;2
1;500;8000;21;1;774;-13745.04;34732.98;0.96;430;-12565;41849.9;0.94;2
1;500;8000;21;2;774;-15337.24;76524.96;0.96;430;-33617.4;53251.28;0.84;0
1;1000;0;-1;0;1382;-98327.54;148599.98;0.91;788;74635.9;79577.06;1.11;3
1;1000;0;-1;1;784;9163.96;62045.5;1.01;435;78622.62;32364.88;1.22;2
1;1000;0;-1;2;782;-53482.82;115744.42;0.92;435;-72928.3;130920.84;0.81;1
1;1000;0;21;0;1360;-80497;138935.78;0.92;771;53722.94;79311.82;1.08;3
1;1000;0;21;1;774;-8764.04;62641.74;0.99;430;75075;30385.12;1.21;3
1;1000;0;21;2;774;-45012.44;95960.94;0.93;430;-52936;109454.62;0.86;1
1;1000;1000;-1;0;1549;-100525.88;120164.44;0.88;868;-35776.84;52814.96;0.92;1
1;1000;1000;-1;1;784;-75427.28;78311.9;0.82;435;4230.12;19487.02;1.02;3
1;1000;1000;-1;2;782;-13265.52;43439.1;0.97;435;-61214.2;69472.18;0.75;0
1;1000;1000;21;0;1538;-92461.68;116775.24;0.89;859;-28511.14;51588.24;0.94;1
1;1000;1000;21;1;774;-71377.44;74262.06;0.83;430;3888.2;20804.4;1.02;3
1;1000;1000;21;2;774;-13045.64;42123;0.97;430;-59275.8;68041.16;0.76;0
1;1000;2000;-1;0;1534;-146880.52;174331.06;0.86;867;36281.02;29766.84;1.06;2
1;1000;2000;-1;1;784;-63134.4;73298.98;0.88;435;40943.78;21119.26;1.15;2
1;1000;2000;-1;2;782;-47247.12;73874.96;0.91;435;-48784.3;67155.1;0.84;1
1;1000;2000;21;0;1512;-152737.92;180046.94;0.85;857;41510.38;30059.56;1.07;3
1;1000;2000;21;1;774;-60354.24;71171.2;0.89;430;41237.2;20009.02;1.15;2
1;1000;2000;21;2;774;-45532.04;73077.86;0.91;430;-47578.8;66268.08;0.84;1
1;1000;4000;-1;0;1487;-141960.2;160770.66;0.88;854;64833.92;33503.82;1.1;3
1;1000;4000;-1;1;784;-48319.24;67409.32;0.92;435;83834.86;23319.24;1.26;3
1;1000;4000;-1;2;782;-63005.62;96768.48;0.9;435;-23813.1;48721.44;0.93;1
1;1000;4000;21;0;1451;-135201.86;154889.6;0.88;840;73615.6;41436.68;1.11;3
1;1000;4000;21;1;774;-49210.44;68221.84;0.92;430;74556.2;30692.24;1.23;3
1;1000;4000;21;2;774;-61180.24;96678.56;0.9;430;-23719.4;50241.62;0.93;1
1;1000;8000;-1;0;1406;-86114.62;130981.56;0.92;817;52527.76;59387.8;1.08;3
