# Griglia grossa @NQ 240m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed ICS, spread peggiore fra ICS, swap peggiore fra ICS, commissione 0/lato, orologio al minuto. Campione 2014-07-17 -> 2021-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;500;0;-1;0;2350;-38084.28;41322.06;0.95;2688;104442.86;41501.7;1.09;3
1;500;0;-1;1;1667;-3990.92;59342.5;0.99;1511;72270.22;35102.68;1.11;3
1;500;0;-1;2;1615;-80681.6;94467.5;0.84;1479;21270.4;43602;1.03;2
1;500;0;21;0;2403;18956.82;42161.46;1.03;2707;72250.54;39462.2;1.06;2
1;500;0;21;1;1693;56488.24;24039.8;1.12;1528;74915.02;38038.34;1.11;2
1;500;0;21;2;1642;-61605.6;83588.2;0.88;1488;-6476.4;37923.6;0.99;1
1;500;1500;-1;0;2446;-66479.5;68647.98;0.91;2897;62513.28;29800.42;1.06;3
1;500;1500;-1;1;1691;-31923.76;56433.16;0.94;1553;43754.74;31530.68;1.08;2
1;500;1500;-1;2;1642;-64469.2;83289;0.87;1502;11329;22397.5;1.02;3
1;500;1500;21;0;2480;-13629.56;41498.64;0.98;2898;58592.62;32683.56;1.06;3
1;500;1500;21;1;1705;29413.6;20421.84;1.06;1554;42656.64;32238;1.08;2
1;500;1500;21;2;1655;-60525.5;81630.3;0.87;1502;9801.3;23096;1.02;3
1;500;3000;-1;0;2373;-62447.92;63061.18;0.92;2803;69504.9;49919.06;1.06;3
1;500;3000;-1;1;1674;-18373.96;59982.6;0.96;1539;38506.04;46945.6;1.06;2
1;500;3000;-1;2;1624;-67568;85608.1;0.87;1497;8036.7;40936.3;1.01;3
1;500;3000;21;0;2424;1025.44;42010.34;1;2809;80517.86;46991.1;1.07;3
1;500;3000;21;1;1696;49616.14;23125.8;1.11;1543;39428.3;44444;1.06;2
1;500;3000;21;2;1649;-62833.9;84249.6;0.87;1499;-1737.3;46568.8;1;2
1;500;6000;-1;0;2352;-40623.46;41322.06;0.94;2724;73120.3;38254.72;1.06;2
1;500;6000;-1;1;1669;-11087.02;59342.5;0.98;1519;84116.52;28933.9;1.13;3
1;500;6000;-1;2;1615;-78009.9;92066.9;0.85;1484;6774.6;32836.2;1.01;1
1;500;6000;21;0;2405;16364.38;40918.68;1.02;2734;65827.54;39396.94;1.06;3
1;500;6000;21;1;1695;51195.8;24039.8;1.11;1530;88738.58;28686.78;1.14;3
1;500;6000;21;2;1642;-60809.6;83412.2;0.88;1490;-14446.2;38035.7;0.98;1
1;500;12000;-1;0;2350;-38084.28;41322.06;0.95;2694;77591.58;41501.7;1.07;3
1;500;12000;-1;1;1667;-3990.92;59342.5;0.99;1512;73756.34;35102.68;1.11;3
1;500;12000;-1;2;1615;-80681.6;94467.5;0.84;1481;10213;46131.3;1.02;2
1;500;12000;21;0;2403;18956.82;42161.46;1.03;2711;66045.12;39462.2;1.06;2
1;500;12000;21;1;1693;56488.24;24039.8;1.12;1528;80715.8;38038.34;1.12;2
1;500;12000;21;2;1642;-61605.6;83588.2;0.88;1490;-10304.6;44029.1;0.98;1
1;1500;0;-1;0;1857;-35149.9;59795.96;0.96;2189;68617.92;114172.58;1.03;3
1;1500;0;-1;1;1638;-69002.46;100162.24;0.91;1470;128570.48;50379.82;1.09;4
1;1500;0;-1;2;1580;-139410.6;145037.8;0.82;1439;30639.4;85718.5;1.02;2
1;1500;0;21;0;1908;1438.26;50138.08;1;2229;77964.74;104578.7;1.04;3
