entrata;lato;ingresso interno;ingresso ftmo;uscita interno;uscita ftmo;motivo interno;motivo ftmo;uscita alle interno;uscita alle ftmo;netto interno;netto ftmo;differenza
2020-12-29 16:00;Sell;15569.67;13773.92;15521;13714.35;TimeExit;TimeExit;2020-12-30 00:00;2020-12-30 00:00;1216;1488;273
2021-01-14 12:00;Sell;15763.67;13966.62;15772;13976.07;TimeExit;TimeExit;2021-01-15 00:00;2021-01-15 00:00;-209;-237;-28
2021-01-15 00:15;Sell;15772.67;13970.74;15544;13746.15;MaxBars;MaxBars;2021-01-15 16:00;2021-01-15 16:00;5717;5615;-102
2021-01-19 12:00;Sell;15696.67;13897.62;15654;13890.83;TimeExit;TimeExit;2021-01-20 00:00;2021-01-20 00:00;1066;169;-897
2021-01-21 16:00;Sell;15732.67;13931.82;15740;13918.38;TimeExit;TimeExit;2021-01-22 00:00;2021-01-22 00:00;-184;335;519
2021-01-22 16:00;Buy;15674.33;13872.08;15681;13866.47;TimeExit;TimeExit;2021-01-23 00:00;2021-01-23 00:00;167;-140;-307
2021-02-05 16:00;Sell;15866.67;14064.22;15868;14063.94;TimeExit;TimeExit;2021-02-06 00:00;2021-02-06 00:00;-33;7;40
2021-02-10 08:00;Sell;15863.67;14063.42;15726;13930.65;TimeExit;TimeExit;2021-02-11 00:00;2021-02-11 00:00;3441;3318;-123
2021-02-18 20:00;Buy;15740.33;13932.88;15736;13906.33;TimeExit;TimeExit;2021-02-19 00:00;2021-02-19 00:00;-221;-777;-556
2021-02-19 20:00;Sell;15768.67;13962.82;15769;13950.35;TimeExit;TimeExit;2021-02-20 00:00;2021-02-20 00:00;-8;312;320
2021-02-23 16:00;Buy;15653.33;13845.88;15689;13882.55;TimeExit;TimeExit;2021-02-24 00:00;2021-02-24 00:00;779;804;25
2021-02-25 12:00;Sell;15742.67;13936.82;15586;13767.93;TimeExit;TimeExit;2021-02-26 00:00;2021-02-26 00:00;3916;4221;306
2021-03-03 16:00;Sell;15849.67;14041.72;15823;13949.74;TimeExit;TimeExit;2021-03-04 00:00;2021-03-04 00:00;666;2298;1633
2021-03-04 08:00;Buy;15809.33;13998.78;15792;13943.25;TimeExit;TimeExit;2021-03-05 00:00;2021-03-05 00:00;-546;-1501;-955
2021-03-11 12:00;Sell;16335.67;14529.92;16367;14562.7;TimeExit;TimeExit;2021-03-12 00:00;2021-03-12 00:00;-784;-821;-36
2021-03-12 20:00;Buy;16353.33;14546.58;16375;14560.21;TimeExit;TimeExit;2021-03-13 00:00;2021-03-13 00:00;542;341;-201
2021-03-15 20:00;Buy;16330.33;14521.88;16317;14495.4;TimeExit;TimeExit;2021-03-16 00:00;2021-03-16 00:00;-446;-775;-329
2021-03-18 08:00;Sell;16484.67;14679.52;16500;14683;TimeExit;TimeExit;2021-03-19 00:00;2021-03-19 00:00;-384;-88;296
2021-03-23 20:00;Sell;16421.67;14620.42;16432;14620.55;TimeExit;TimeExit;2021-03-24 00:00;2021-03-24 00:00;-259;-4;255
2021-03-25 16:00;Buy;16416.33;14612.68;16511;14694.77;TimeExit;TimeExit;2021-03-26 00:00;2021-03-26 00:00;2254;1939;-315
2021-04-01 00:15;Sell;16845.67;15043.32;16912;15109.55;MaxBars;MaxBars;2021-04-01 15:00;2021-04-01 15:00;-1658;-1656;3
2021-04-06 19:00;Sell;16994.67;15193.02;17011;15218.39;TimeExit;TimeExit;2021-04-06 23:00;2021-04-06 23:00;-409;-635;-226
2021-04-22 07:00;Sell;17070.67;15265.92;17054;15260.25;TimeExit;TimeExit;2021-04-22 23:00;2021-04-22 23:00;416;141;-275
2021-04-28 19:00;Sell;17121.67;15315.02;17104;15318.05;TimeExit;TimeExit;2021-04-28 23:00;2021-04-28 23:00;441;-77;-518
2021-05-13 15:00;Buy;17018.33;15224.08;17041;15248.77;TimeExit;TimeExit;2021-05-13 23:00;2021-05-13 23:00;454;504;51
2021-05-18 11:00;Sell;17236.67;15436.62;17123;15319.85;TimeExit;TimeExit;2021-05-18 23:00;2021-05-18 23:00;2841;2918;78
2021-05-27 15:00;Buy;17248.33;15451.38;17226;15470.15;TimeExit;TimeExit;2021-05-27 23:00;2021-05-27 23:00;-671;356;1028
2021-06-03 15:00;Buy;17440.33;15643.98;17438;15641.87;TimeExit;TimeExit;2021-06-03 23:00;2021-06-03 23:00;-171;-166;6
2021-06-17 11:00;Buy;17490.33;15691.68;17537;15754.24;TimeExit;TimeExit;2021-06-17 23:00;2021-06-17 23:00;1054;1451;397
2021-06-21 11:00;Buy;17353.33;15554.28;17442;15649.15;TimeExit;TimeExit;2021-06-21 23:00;2021-06-21 23:00;2104;2259;155
2021-06-23 11:00;Sell;17338.67;15538.92;17281;15494.99;TimeExit;TimeExit;2021-06-23 23:00;2021-06-23 23:00;1441;1097;-344
2021-06-25 07:00;Sell;17401.67;15599.12;17409;15605.91;TimeExit;TimeExit;2021-06-25 23:00;2021-06-25 23:00;-183;-170;14
2021-07-30 11:00;Buy;17337.33;15525.98;17357;15552.85;TimeExit;TimeExit;2021-07-30 23:00;2021-07-30 23:00;492;672;180
2021-08-13 15:00;Sell;17778.67;15966.52;17801;15980.05;TimeExit;TimeExit;2021-08-13 23:00;2021-08-13 23:00;-558;-338;220
2021-08-16 19:00;Buy;17754.33;15941.48;17770;15942.35;TimeExit;TimeExit;2021-08-16 23:00;2021-08-16 23:00;279;-91;-370
2021-08-19 00:15;Sell;17700.67;15898.62;17585;15771.75;MaxBars;MaxBars;2021-08-19 15:00;2021-08-19 15:00;2892;3172;280
2021-08-31 11:00;Sell;17692.67;15876.32;17638;15833.55;TimeExit;TimeExit;2021-08-31 23:00;2021-08-31 23:00;1366;1068;-298
2021-09-09 15:00;Buy;17496.33;15675.58;17391;15548.1324;TimeExit;StopLoss;2021-09-09 23:00;2021-09-09 20:42;-2746;-3186;-440
2021-09-17 11:00;Sell;17446.67;15621.42;17332;15483.45;TimeExit;TimeExit;2021-09-17 23:00;2021-09-17 23:00;2867;3449;583
2021-09-24 19:00;Buy;17378.33;15554.98;17375;15545.85;TimeExit;TimeExit;2021-09-24 23:00;2021-09-24 23:00;-83;-228;-145
2021-09-30 11:00;Sell;17143.67;15317.92;17048;15244;TimeExit;TimeExit;2021-09-30 23:00;2021-09-30 23:00;2391;1847;-544
2021-10-01 19:00;Buy;17077.33;15250.78;17070;15239.65;TimeExit;TimeExit;2021-10-01 23:00;2021-10-01 23:00;-183;-278;-95
2021-10-12 11:00;Buy;16993.33;15164.18;16982;15142.37;TimeExit;TimeExit;2021-10-12 23:00;2021-10-12 23:00;-396;-658;-262
2021-10-20 15:00;Sell;17341.67;15512.72;17348;15507.55;TimeExit;TimeExit;2021-10-20 23:00;2021-10-20 23:00;-159;128;288
2021-10-21 11:00;Buy;17340.33;15511.88;17338;15472.25;TimeExit;TimeExit;2021-10-21 23:00;2021-10-21 23:00;-171;-1104;-933
