# Griglia grossa @Z 240m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed FTMO, spread peggiore fra FTMO, swap peggiore fra FTMO, commissione 0/lato, orologio al minuto. Campione 2022-01-01 -> 2025-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;200;0;-1;0;1196;-17632.15;18891;0.89;717;-30416.75;30803.65;0.72;1
1;200;0;-1;1;759;-21070.96;21748.86;0.8;429;388.05;8819.22;1.01;1
1;200;0;-1;2;736;-9174.34;14403.88;0.91;426;-24884.24;25111.65;0.63;1
1;200;0;21;0;1250;-27486.6;27840.1;0.84;742;-32107.58;32662.89;0.71;1
1;200;0;21;1;783;-15377.73;16170.73;0.86;437;-3135.34;9289.6;0.95;2
1;200;0;21;2;740;-15874.33;17010.78;0.85;435;-31036.2;31205.7;0.54;0
1;200;500;-1;0;1307;-13271.04;15897.65;0.92;774;-25235.25;25635.25;0.77;1
1;200;500;-1;1;779;-15183.09;16183.09;0.85;439;-7096.82;9166.23;0.88;1
1;200;500;-1;2;744;-11699.74;15772.31;0.88;442;-18280.49;18580.49;0.72;1
1;200;500;21;0;1341;-17051.56;17551.56;0.9;789;-24087.1;24487.1;0.78;1
1;200;500;21;1;790;-11252.09;12252.09;0.89;441;-6960.79;8759.79;0.88;2
1;200;500;21;2;745;-14736.62;16934.64;0.85;441;-18782.78;19082.78;0.71;1
1;200;900;-1;0;1222;-10308.69;13725.75;0.94;745;-31475.38;31974.73;0.72;1
1;200;900;-1;1;764;-20185.94;20863.84;0.81;431;-1953.38;8722.17;0.97;2
1;200;900;-1;2;737;-9702.23;17630.19;0.91;433;-23602.52;23829.94;0.65;0
1;200;900;21;0;1274;-22925.14;23278.64;0.87;764;-29747.21;30377.03;0.74;1
1;200;900;21;1;784;-12952.48;13745.48;0.88;437;-3860.49;8881.4;0.94;2
