# Griglia grossa @RTY 240m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed FTMO, spread peggiore fra FTMO, swap peggiore fra FTMO, commissione 0/lato, orologio al minuto. Campione 2022-01-01 -> 2025-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;450;0;-1;0;1193;-61006.07;61006.07;0.84;704;-49811.89;54298.1;0.79;0
1;450;0;-1;1;772;-39349.59;43567.62;0.84;434;-15803.53;25089.36;0.89;0
1;450;0;-1;2;762;-48003.2;51132.22;0.81;440;-29257.06;33784.58;0.8;0
1;450;0;21;0;1207;-66048.29;66048.29;0.82;718;-66093.53;67523.03;0.73;0
1;450;0;21;1;783;-42521.9;44302.4;0.83;439;-14902.44;21156.49;0.9;0
1;450;0;21;2;766;-38331.68;39804.18;0.85;449;-43972.98;48435.98;0.71;0
1;450;1050;-1;0;1271;-51396.78;53936.29;0.86;759;-51620.18;55311.45;0.78;0
1;450;1050;-1;1;785;-41935.63;44035.63;0.83;443;-12456.86;20533.92;0.91;1
1;450;1050;-1;2;770;-31798.04;35603.68;0.87;448;-35424.1;37524.1;0.75;0
1;450;1050;21;0;1280;-49308.6;52232.11;0.87;761;-54772.68;58448.68;0.77;0
1;450;1050;21;1;787;-38155.95;40255.95;0.84;444;-12779.47;20702.49;0.91;1
1;450;1050;21;2;772;-28214.72;32988.6;0.88;450;-35990.86;38090.86;0.75;0
1;450;1950;-1;0;1209;-64027.32;64550.47;0.83;717;-45422.06;50979.76;0.81;0
1;450;1950;-1;1;776;-39793.27;46056.78;0.84;436;-2970.68;19315.39;0.98;2
1;450;1950;-1;2;765;-42689.4;46396.42;0.83;448;-36220.06;40111.2;0.76;0
1;450;1950;21;0;1222;-65592.04;65972.55;0.83;729;-58830.42;62453.42;0.76;0
1;450;1950;21;1;785;-36736.9;42355.4;0.85;439;-3737.45;18629.49;0.97;2
1;450;1950;21;2;768;-39011.94;41075.44;0.84;450;-43865.86;47975.86;0.71;0
1;450;3850;-1;0;1195;-57409.72;57409.72;0.85;706;-48667.77;53153.98;0.79;0
1;450;3850;-1;1;772;-40548.1;45209.13;0.84;435;-13296.04;25380.86;0.91;0
1;450;3850;-1;2;763;-43883.84;47012.86;0.82;440;-27620.32;32147.84;0.81;1
1;450;3850;21;0;1209;-66006.55;66006.55;0.82;720;-62534.54;63964.04;0.74;0
1;450;3850;21;1;783;-43506.4;45286.9;0.82;439;-11752.44;21156.49;0.92;0
1;450;3850;21;2;767;-38025.44;39497.94;0.85;449;-41165.98;45628.98;0.73;0
1;450;7750;-1;0;1193;-61006.07;61006.07;0.84;704;-49811.89;54298.1;0.79;0
1;450;7750;-1;1;772;-39349.59;43567.62;0.84;434;-15803.53;25089.36;0.89;0
1;450;7750;-1;2;762;-48003.2;51132.22;0.81;440;-29257.06;33784.58;0.8;0
1;450;7750;21;0;1207;-66048.29;66048.29;0.82;718;-66093.53;67523.03;0.73;0
1;450;7750;21;1;783;-42521.9;44302.4;0.83;439;-14902.44;21156.49;0.9;0
1;450;7750;21;2;766;-38331.68;39804.18;0.85;449;-43972.98;48435.98;0.71;0
1;1050;0;-1;0;943;-44867.11;48414.96;0.9;545;-42091.99;43050.8;0.84;1
1;1050;0;-1;1;746;-37323.2;37388.95;0.89;418;9975.05;25156.92;1.05;3
1;1050;0;-1;2;744;-60770.32;68905.48;0.84;428;-37656.12;46606.56;0.84;0
1;1050;0;21;0;965;-54272.75;68780.19;0.88;576;-67036.66;67621.04;0.78;0
1;1050;0;21;1;759;-29485.25;38755.89;0.92;425;9120.13;26718.99;1.05;3
1;1050;0;21;2;755;-50263;54469;0.86;437;-46464.06;51678.08;0.8;0
1;1050;1050;-1;0;1036;-59525.72;68430.75;0.87;627;-33952.31;38755.74;0.88;0
1;1050;1050;-1;1;757;-35299.55;42106.66;0.89;429;25194.43;16718.95;1.14;3
1;1050;1050;-1;2;757;-54868.34;62005.36;0.84;437;-44940.76;50875.56;0.79;0
1;1050;1050;21;0;1064;-53392.84;62350.85;0.88;641;-37861.47;43697.47;0.87;0
1;1050;1050;21;1;765;-30049.33;38782.92;0.91;434;23093.08;19332.99;1.13;3
1;1050;1050;21;2;763;-45789.18;54365.56;0.87;439;-36387.96;45708.84;0.83;1
1;1050;1950;-1;0;968;-66027.05;68963.82;0.85;566;-21926.07;27706.9;0.92;1
1;1050;1950;-1;1;749;-32792.49;34995.62;0.91;421;28764.81;18983.43;1.15;3
1;1050;1950;-1;2;748;-60338.62;65894.28;0.84;436;-45246.32;50908.34;0.81;0
1;1050;1950;21;0;986;-65081.88;68677.44;0.85;595;-44992.44;45576.82;0.85;0
1;1050;1950;21;1;761;-30359.75;31301.39;0.91;427;30085.61;19942.49;1.16;3
1;1050;1950;21;2;758;-55164.64;58939.52;0.85;438;-39286.82;44201.84;0.83;0
1;1050;3850;-1;0;945;-44080.26;48871.06;0.9;548;-42794.25;43753.06;0.84;1
1;1050;3850;-1;1;746;-38595.22;38613.24;0.89;419;9468.04;25156.92;1.05;3
1;1050;3850;-1;2;745;-59463.48;65772.76;0.84;429;-36474.14;45126.44;0.84;0
1;1050;3850;21;0;967;-57853.01;69636.07;0.87;578;-63255.17;63839.55;0.79;0
1;1050;3850;21;1;759;-32579.75;39420.89;0.91;425;10936.62;26718.99;1.06;3
1;1050;3850;21;2;756;-50845.76;55051.76;0.86;437;-44314.06;49389.58;0.81;0
1;1050;7750;-1;0;943;-44867.11;48414.96;0.9;545;-42091.99;43050.8;0.84;1
1;1050;7750;-1;1;746;-37323.2;37388.95;0.89;418;9975.05;25156.92;1.05;3
1;1050;7750;-1;2;744;-60770.32;68905.48;0.84;428;-37656.12;46606.56;0.84;0
1;1050;7750;21;0;965;-54272.75;68780.19;0.88;576;-67036.66;67621.04;0.78;0
1;1050;7750;21;1;759;-29485.25;38755.89;0.92;425;9120.13;26718.99;1.05;3
1;1050;7750;21;2;755;-50263;54469;0.86;437;-46464.06;51678.08;0.8;0
1;2150;0;-1;0;802;-25583.13;56879.86;0.94;469;-67976.94;73706.85;0.76;0
1;2150;0;-1;1;742;-58731.84;58739.77;0.85;413;-13936.55;40001.32;0.94;3
1;2150;0;-1;2;739;-50389.3;59000.02;0.87;418;-56613.96;67374.74;0.78;0
1;2150;0;21;0;807;-18269.11;42935.82;0.96;479;-61259.84;62652.85;0.78;0
1;2150;0;21;1;749;-39116.17;44400.75;0.9;422;-4365.32;34789.98;0.98;3
1;2150;0;21;2;747;-50969.28;54795.16;0.87;429;-63515.62;76500.28;0.75;0
1;2150;1050;-1;0;892;-54266.38;76406.37;0.88;548;-35557.59;46481.83;0.87;1
1;2150;1050;-1;1;749;-46968.28;54215.02;0.87;423;2100.29;30377.08;1.01;3
1;2150;1050;-1;2;749;-49602.2;58834.54;0.87;426;-52397.14;65583.28;0.78;1
1;2150;1050;21;0;910;-37472.46;55821.65;0.91;557;-29293.42;38244.92;0.89;0
1;2150;1050;21;1;756;-38580.75;44260.31;0.89;432;6828.63;27383.98;1.03;3
1;2150;1050;21;2;756;-51387.22;61626.86;0.86;432;-46110.16;63849.8;0.8;1
1;2150;1950;-1;0;821;-43280.82;73666.96;0.9;488;-46659.5;55017.14;0.83;1
1;2150;1950;-1;1;744;-60237.15;61839.9;0.85;414;9382.7;27232.4;1.04;3
1;2150;1950;-1;2;742;-45049.12;53572.46;0.88;424;-68704.04;79531.1;0.74;0
1;2150;1950;21;0;828;-24635.24;41871.07;0.94;498;-40155.99;46516.86;0.86;2
1;2150;1950;21;1;751;-40676.67;42157.72;0.89;424;17975.67;27516.48;1.08;3
1;2150;1950;21;2;750;-53617.42;58821.8;0.86;430;-56879.76;69529.42;0.78;0
1;2150;3850;-1;0;803;-24334.04;56879.86;0.94;472;-72720.95;75810.38;0.75;0
1;2150;3850;-1;1;742;-58895.87;60351.79;0.85;413;-14351.06;40247.82;0.94;3
1;2150;3850;-1;2;740;-48945.34;55730.18;0.88;419;-56392.48;65894.62;0.78;0
1;2150;3850;21;0;808;-20613.87;43791.7;0.95;481;-57145.84;58538.85;0.8;0
1;2150;3850;21;1;749;-42210.67;45385.25;0.89;422;-2548.82;34789.98;0.99;3
1;2150;3850;21;2;748;-52652.04;56477.92;0.87;429;-61365.62;74154.28;0.76;0
1;2150;7750;-1;0;802;-25583.13;56879.86;0.94;469;-67894.44;73706.85;0.76;0
1;2150;7750;-1;1;742;-58731.84;58739.77;0.85;413;-13936.55;40001.32;0.94;3
1;2150;7750;-1;2;739;-50389.3;59000.02;0.87;418;-56613.96;67374.74;0.78;0
1;2150;7750;21;0;807;-18269.11;42935.82;0.96;479;-61259.84;62652.85;0.78;0
1;2150;7750;21;1;749;-39116.17;44400.75;0.9;422;-4365.32;34789.98;0.98;3
1;2150;7750;21;2;747;-50969.28;54795.16;0.87;429;-63515.62;76500.28;0.75;0
1;3450;0;-1;0;768;-22752.5;55063.08;0.94;438;-70033.57;77497.85;0.75;1
1;3450;0;-1;1;739;-58869.1;59997.12;0.85;412;-872.88;29744.84;1;2
1;3450;0;-1;2;738;-41611.34;52779.58;0.89;417;-65676.28;75567.96;0.75;0
1;3450;0;21;0;774;-2267.59;33719.58;0.99;444;-50967.16;52808.55;0.81;1
1;3450;0;21;1;749;-33473.65;38377.24;0.91;419;14279.21;26678.99;1.07;3
