# Griglia grossa @SI 240m Price Channel, motore nudo (pattern spenti, nessun filtro orario), 450 combinazioni.
# Feed FTMO, spread peggiore fra FTMO, swap peggiore fra FTMO, commissione 2.3/lato, orologio al minuto. Campione 2022-01-01 -> 2025-01-01, fuori campione -> 2026-09-01.
channelBars;stopLoss;takeProfit;exitHour;direction;isTrades;isNet;isDD;isPF;oosTrades;oosNet;oosDD;oosPF;oosWindowsInProfit
1;700;0;-1;0;1370;-413039.5;417358.7;0.47;837;-184540.2;196435.6;0.65;0
1;700;0;-1;1;809;-255116.4;255116.4;0.46;465;-69276.5;98140.7;0.76;1
1;700;0;-1;2;810;-223786;235747.8;0.52;462;-184620.2;184620.2;0.39;0
1;700;0;21;0;1416;-415031.1;415031.1;0.49;856;-195482.6;198070.5;0.64;0
1;700;0;21;1;826;-249269.6;249269.6;0.48;469;-64292.4;97832.4;0.78;2
1;700;0;21;2;821;-237596.6;242418.4;0.49;467;-187163.2;187163.2;0.38;0
1;700;1750;-1;0;1453;-488678.8;488678.8;0.41;887;-187332.7;193577.5;0.62;1
1;700;1750;-1;1;826;-282402.1;282402.1;0.4;475;-103432.5;112831.9;0.61;0
1;700;1750;-1;2;825;-246510;248927.8;0.47;467;-87618.2;90956.4;0.66;1
1;700;1750;21;0;1476;-473344.6;473344.6;0.43;889;-191819.4;198064.2;0.61;1
1;700;1750;21;1;833;-279856.8;279856.8;0.41;475;-104602.5;114001.9;0.6;0
1;700;1750;21;2;828;-254593.8;257011.6;0.45;468;-87472.8;90811;0.66;1
1;700;3200;-1;0;1397;-430478.7;430478.7;0.46;866;-173848.6;182334.8;0.66;1
1;700;3200;-1;1;818;-269170.3;269170.3;0.44;472;-93308.7;96273.6;0.67;1
1;700;3200;-1;2;817;-242123.2;246655;0.48;465;-95829;99467.2;0.66;1
1;700;3200;21;0;1431;-425142.6;425142.6;0.48;874;-177290.4;186684.1;0.66;1
1;700;3200;21;1;829;-264165.9;264165.9;0.45;473;-96490.8;99455.7;0.66;1
1;700;3200;21;2;824;-248015.4;252297.2;0.47;468;-94832.8;98471;0.66;1
1;700;6400;-1;0;1373;-417108.3;421427.5;0.47;857;-187269.7;197290.9;0.65;0
1;700;6400;-1;1;810;-259183.5;259183.5;0.45;471;-82186.6;96384.2;0.72;1
1;700;6400;-1;2;810;-222886;234847.8;0.52;463;-169974.8;169974.8;0.43;0
1;700;6400;21;0;1419;-418399.9;418399.9;0.48;868;-190715.3;198129;0.65;0
1;700;6400;21;1;827;-252434.2;252434.2;0.48;472;-81083.7;96806.3;0.72;1
1;700;6400;21;2;821;-236591.6;241413.4;0.5;467;-169548.2;169548.2;0.43;0
1;700;12750;-1;0;1370;-413039.5;417358.7;0.47;843;-192857.8;195445.7;0.64;0
1;700;12750;-1;1;809;-255116.4;255116.4;0.46;467;-69340.7;98140.7;0.76;1
1;700;12750;-1;2;810;-223786;235747.8;0.52;462;-177705.2;177705.2;0.41;0
1;700;12750;21;0;1416;-415031.1;415031.1;0.49;861;-200413.1;203001;0.63;0
1;700;12750;21;1;826;-249269.6;249269.6;0.48;470;-62914.5;97832.4;0.79;1
1;700;12750;21;2;821;-237596.6;242418.4;0.49;467;-179078.2;179078.2;0.41;0
1;1800;0;-1;0;955;-223878;232264.4;0.71;676;-34014.6;141266.7;0.96;1
1;1800;0;-1;1;757;-251037.2;254669.9;0.62;441;22031.4;60601.4;1.04;2
1;1800;0;-1;2;761;-199435.6;214446.8;0.67;443;-193192.8;223760.2;0.67;0
1;1800;0;21;0;997;-246288.7;249284;0.7;723;-34858.3;121112.6;0.96;2
1;1800;0;21;1;787;-260177.7;265795.4;0.62;450;86142.5;63440.8;1.16;2
1;1800;0;21;2;775;-230495;240101.8;0.65;458;-224406.8;229450;0.63;0
1;1800;1750;-1;0;1049;-316557.9;318658.6;0.61;780;-101758;119476.2;0.85;1
1;1800;1750;-1;1;783;-289974.3;293394.5;0.56;468;-88307.8;107895.9;0.79;0
1;1800;1750;-1;2;773;-195935.8;205202.4;0.67;456;-122487.6;140678.6;0.72;0
1;1800;1750;21;0;1097;-330026.2;332321.5;0.62;812;-114270.2;135233.8;0.84;1
1;1800;1750;21;1;801;-291784.6;298535.2;0.57;471;-101289.1;117970.3;0.77;0
1;1800;1750;21;2;786;-231965.6;239142.8;0.63;459;-117001.4;135192.4;0.73;0
1;1800;3200;-1;0;986;-247935.6;249556.3;0.69;751;-97712.1;110275.2;0.88;1
1;1800;3200;-1;1;768;-273812.8;277600.5;0.59;461;-66428.1;75429.3;0.86;1
1;1800;3200;-1;2;765;-206039;213800.8;0.67;452;-147069.2;158130.6;0.71;0
1;1800;3200;21;0;1021;-272991.6;276736.9;0.67;777;-99434.2;117735;0.88;1
1;1800;3200;21;1;793;-277057.8;284595.5;0.6;466;-74761.1;83162.8;0.85;1
1;1800;3200;21;2;779;-246613.4;255680.2;0.62;459;-132591.4;141508.2;0.74;0
1;1800;6400;-1;0;959;-231751.4;233372.1;0.7;727;-119976.7;134455.3;0.86;0
1;1800;6400;-1;1;759;-259521.4;263154.1;0.61;456;-42332.6;74635.9;0.92;1
1;1800;6400;-1;2;762;-197140.2;213316.4;0.68;446;-264591.6;264591.6;0.53;0
1;1800;6400;21;0;999;-246437.9;249433.2;0.7;762;-135787.7;140601.4;0.85;0
1;1800;6400;21;1;788;-264632.3;270250;0.62;460;-34533.5;65803.9;0.94;1
1;1800;6400;21;2;776;-227519.6;237126.4;0.65;458;-246531.8;246531.8;0.58;0
1;1800;12750;-1;0;955;-223878;232264.4;0.71;688;-30912.3;124106.2;0.96;1
1;1800;12750;-1;1;757;-251037.2;254669.9;0.62;445;13480.5;60601.4;1.03;2
1;1800;12750;-1;2;761;-199435.6;214446.8;0.67;444;-237577.4;248465.2;0.59;0
1;1800;12750;21;0;997;-246288.7;249284;0.7;731;-56790.1;124927.5;0.94;2
1;1800;12750;21;1;787;-260177.7;265795.4;0.62;452;43693.3;63440.8;1.08;2
1;1800;12750;21;2;775;-230495;240101.8;0.65;458;-233666.8;233666.8;0.61;0
1;3550;0;-1;0;805;-217640.5;246440.7;0.7;572;2838.8;73358.9;1;2
1;3550;0;-1;1;737;-229045.2;230927.9;0.64;422;-44971.2;152027.9;0.94;2
1;3550;0;-1;2;747;-231076.2;250926.6;0.65;426;-176109.6;281690.8;0.78;1
1;3550;0;21;0;828;-256856.3;258101.6;0.67;614;-82629.4;122213.1;0.93;1
1;3550;0;21;1;769;-208122.4;211990.1;0.69;438;92510.2;85183.7;1.13;2
1;3550;0;21;2;761;-246760.6;265781.8;0.64;443;-251677.8;286463;0.72;0
1;3550;1750;-1;0;893;-283512.8;283863.5;0.63;714;-133504.4;143235;0.84;0
1;3550;1750;-1;1;754;-267323.4;269170.6;0.59;453;-83458.8;106528.1;0.83;0
1;3550;1750;-1;2;758;-236521.8;254153;0.63;442;-127033.2;167825;0.76;0
1;3550;1750;21;0;934;-302503.9;303049.2;0.62;733;-162131.8;167966.2;0.81;0
1;3550;1750;21;1;784;-230516.4;234969.1;0.65;462;-96695.2;116882;0.81;0
1;3550;1750;21;2;775;-247905;266072;0.63;450;-146465;186971.8;0.73;0
1;3550;3200;-1;0;826;-203757.1;229285.6;0.72;674;-166630.4;175128.1;0.84;1
1;3550;3200;-1;1;742;-223298.2;225335.9;0.65;445;-62924.5;95923.4;0.9;2
1;3550;3200;-1;2;751;-241254.6;254610;0.64;438;-160539.8;186591.2;0.75;0
1;3550;3200;21;0;854;-254958.4;256953.7;0.67;692;-195825.7;202439.9;0.81;0
1;3550;3200;21;1;775;-208532.5;214787.2;0.69;456;-69252.6;97978;0.89;2
1;3550;3200;21;2;766;-260963.6;272310.2;0.62;448;-186955.8;203687.6;0.73;0
1;3550;6400;-1;0;806;-218997.6;246258.2;0.7;639;-132624.4;145331.1;0.88;0
1;3550;6400;-1;1;738;-230869.8;232752.5;0.64;439;-32921.9;117877;0.95;2
1;3550;6400;-1;2;748;-232320.8;253316.2;0.65;433;-308921.8;317150;0.61;0
1;3550;6400;21;0;830;-257040.5;258285.8;0.67;669;-230587.4;233573.6;0.81;0
1;3550;6400;21;1;770;-212837;216704.7;0.69;449;-16505.4;104837;0.98;2
1;3550;6400;21;2;762;-246115.2;265006.4;0.65;444;-328697.4;328697.4;0.6;0
1;3550;12750;-1;0;805;-217640.5;246440.7;0.7;601;-58169.6;131377.4;0.95;1
1;3550;12750;-1;1;737;-229045.2;230927.9;0.64;428;-36848.8;119671.4;0.95;2
1;3550;12750;-1;2;747;-231076.2;250926.6;0.65;430;-218993;264745;0.73;1
1;3550;12750;21;0;828;-256856.3;258101.6;0.67;631;-116760.1;125088.1;0.9;1
1;3550;12750;21;1;769;-208122.4;211990.1;0.69;441;61963.9;86063.5;1.08;2
1;3550;12750;21;2;761;-246760.6;265781.8;0.64;444;-281482.4;283531;0.68;0
1;5650;0;-1;0;780;-209578;229282;0.71;521;-6469.1;108646.3;0.99;1
1;5650;0;-1;1;734;-234518.9;237844.1;0.64;412;22169.8;119232.4;1.03;2
1;5650;0;-1;2;744;-238917.4;254102.8;0.64;416;-49778.6;259537.6;0.95;2
1;5650;0;21;0;790;-230169;230169;0.69;563;-214827.3;217813.5;0.84;0
1;5650;0;21;1;761;-207725.6;213035.8;0.69;430;92599.5;96688.3;1.11;2
1;5650;0;21;2;758;-243631.8;262708;0.65;439;-166884.4;298505.4;0.84;1
1;5650;1750;-1;0;859;-283121.4;283121.4;0.63;689;-106809.4;132541.2;0.87;1
1;5650;1750;-1;1;751;-276964.6;282285.1;0.58;451;-85234.6;120251.8;0.84;0
1;5650;1750;-1;2;751;-245109.6;259325.8;0.62;436;-120250.6;187462;0.78;1
1;5650;1750;21;0;897;-293541.2;293541.2;0.63;710;-168423.5;181810.3;0.81;0
1;5650;1750;21;1;780;-242680.5;249980.7;0.64;460;-92456;130219.4;0.83;0
1;5650;1750;21;2;773;-253450.8;271672.8;0.62;448;-151280.8;211143;0.74;1
1;5650;3200;-1;0;796;-200671.6;208225.5;0.72;635;-79921;122346.7;0.92;1
1;5650;3200;-1;1;738;-218029.8;224700.3;0.65;439;-38164.4;111037;0.94;2
1;5650;3200;-1;2;745;-248037;256763.8;0.63;430;-164878;219176;0.77;0
1;5650;3200;21;0;818;-235512.8;236170.6;0.68;659;-205148.9;210048.5;0.82;0
1;5650;3200;21;1;768;-218662.8;229263.3;0.68;453;-53986.3;130910;0.92;2
1;5650;3200;21;2;763;-259029.8;270431.4;0.63;445;-209197;240586.6;0.73;0
1;5650;6400;-1;0;780;-210065.5;229099.5;0.71;591;-21906.1;79177.9;0.98;1
1;5650;6400;-1;1;734;-225688.9;229014.1;0.65;432;-2529.7;132266.1;1;1
1;5650;6400;-1;2;744;-238812.4;255142.8;0.64;421;-254101.6;286995;0.71;0
1;5650;6400;21;0;792;-231313.2;231313.2;0.69;625;-202207.5;205193.7;0.85;0
1;5650;6400;21;1;762;-212440.2;217750.4;0.69;443;-16525.3;127239;0.98;2
1;5650;6400;21;2;759;-242986.4;261932.6;0.65;440;-337049;338339.4;0.65;0
1;5650;12750;-1;0;780;-209578;229282;0.71;551;19432.9;94161.3;1.02;1
1;5650;12750;-1;1;734;-234518.9;237844.1;0.64;419;56937.6;95299.1;1.07;2
1;5650;12750;-1;2;744;-238917.4;254102.8;0.64;420;-160032;233867.6;0.83;1
1;5650;12750;21;0;790;-230169;230169;0.69;582;-112197.2;152249.3;0.92;1
1;5650;12750;21;1;761;-207725.6;213035.8;0.69;433;72253.2;99288.1;1.09;2
1;5650;12750;21;2;758;-243631.8;262708;0.65;440;-299979;301612.2;0.71;0
1;8500;0;-1;0;774;-205812.9;225192.5;0.71;482;49662.8;119626.1;1.04;2
1;8500;0;-1;1;734;-230161.4;233486.6;0.64;407;105100.3;83203.9;1.14;3
1;8500;0;-1;2;744;-245582.4;261672.8;0.63;407;-89632.2;274048.8;0.91;1
1;8500;0;21;0;784;-237823.9;237823.9;0.68;508;34535.7;165544.4;1.03;1
1;8500;0;21;1;760;-213863.5;219173.7;0.69;426;187267.9;82894.9;1.22;3
1;8500;0;21;2;757;-250927.2;271078;0.64;432;-182972.2;330415.8;0.85;0
1;8500;1750;-1;0;851;-274022.1;274022.1;0.63;665;-62396.5;99823;0.92;1
1;8500;1750;-1;1;751;-268542.1;273862.6;0.59;449;59397.1;71275.8;1.14;2
1;8500;1750;-1;2;751;-253069.6;268980.8;0.61;432;-151452.2;203786.8;0.74;0
1;8500;1750;21;0;890;-284229;284229;0.63;685;-143173.5;176754.9;0.84;0
1;8500;1750;21;1;779;-239395.9;246696.1;0.64;459;35548.6;76565.4;1.08;2
1;8500;1750;21;2;772;-260746.2;280042.8;0.62;445;-202172;235427.4;0.69;0
1;8500;3200;-1;0;792;-199370.7;206371.4;0.72;608;106660.7;94215.1;1.12;2
1;8500;3200;-1;1;738;-223502.3;230172.8;0.65;436;122656.9;75338.1;1.22;2
1;8500;3200;-1;2;745;-253912;264297.4;0.62;424;-155460.4;225047.2;0.79;0
1;8500;3200;21;0;811;-237458.1;238115.9;0.68;627;-86406.7;134043.8;0.92;1
1;8500;3200;21;1;767;-221405.7;232006.2;0.67;452;83915.8;100199.5;1.14;2
1;8500;3200;21;2;762;-266325.2;278801.4;0.62;441;-211993.6;258547;0.74;0
1;8500;6400;-1;0;774;-205510.4;225010;0.71;555;169239.5;114210.5;1.16;2
1;8500;6400;-1;1;734;-231916.4;235241.6;0.64;429;203524.1;96853.6;1.28;3
1;8500;6400;-1;2;744;-244687.4;262712.8;0.64;415;-201784;268600.4;0.77;1
1;8500;6400;21;0;786;-238968.1;238968.1;0.68;580;-81468;163077;0.94;1
1;8500;6400;21;1;761;-218578.1;223888.3;0.68;442;164276.8;103518.6;1.21;2
1;8500;6400;21;2;758;-250281.8;270302.6;0.64;433;-329061.8;329061.8;0.68;0
1;8500;12750;-1;0;774;-205812.9;225192.5;0.71;512;156652.3;106267.2;1.13;2
1;8500;12750;-1;1;734;-230161.4;233486.6;0.64;416;256301.4;81248.9;1.34;3
1;8500;12750;-1;2;744;-245582.4;261672.8;0.63;412;-82025.2;232436.2;0.91;1
1;8500;12750;21;0;784;-237823.9;237823.9;0.68;532;42762.8;161574;1.03;1
1;8500;12750;21;1;760;-213863.5;219173.7;0.69;431;275302.4;79289.5;1.34;3
1;8500;12750;21;2;757;-250927.2;271078;0.64;433;-276166.8;294685.2;0.76;0
20;700;0;-1;0;517;-138808.2;140159;0.52;269;-21447.4;47802.3;0.87;1
20;700;0;-1;1;265;-65671.5;65739.3;0.56;174;12759.6;26893.5;1.12;2
20;700;0;-1;2;253;-71613.8;74605.8;0.49;95;-34207;39524.2;0.44;0
20;700;0;21;0;529;-137488.4;139598.6;0.53;275;-22005;37756.5;0.87;1
20;700;0;21;1;274;-62940.4;63849.4;0.59;178;11706.2;23248.7;1.11;2
20;700;0;21;2;256;-72567.6;76174.6;0.48;97;-33711.2;39228.8;0.46;0
20;700;1750;-1;0;524;-143185.4;144226.2;0.5;276;-22472.1;28103.1;0.84;1
20;700;1750;-1;1;269;-70544.9;70881.1;0.52;179;874.1;17264.5;1.01;1
20;700;1750;-1;2;256;-72202.6;76404.6;0.47;97;-23346.2;24417.8;0.58;0
20;700;1750;21;0;530;-148283;149323.8;0.48;277;-23104.2;28735.2;0.84;1
20;700;1750;21;1;274;-69685.4;70074.4;0.53;180;-138;18276.6;1;1
20;700;1750;21;2;257;-77702.2;80584.2;0.44;97;-22966.2;24022.8;0.58;0
20;700;3200;-1;0;520;-139074.5;140432.2;0.52;276;-14742.1;32637.5;0.91;1
20;700;3200;-1;1;268;-68822.8;70676.8;0.54;179;21069.1;15200.7;1.22;2
20;700;3200;-1;2;253;-68728.8;74935.8;0.5;97;-35811.2;38332.8;0.41;0
20;700;3200;21;0;530;-143108;144713.2;0.51;277;-14884.2;34494.4;0.9;1
20;700;3200;21;1;274;-69230.4;71824.4;0.55;180;18452;16741.6;1.19;2
20;700;3200;21;2;257;-71897.2;77099.2;0.49;97;-33336.2;35842.8;0.44;0
20;700;6400;-1;0;518;-137772.8;139123.6;0.53;275;10252.5;35898.8;1.06;2
20;700;6400;-1;1;266;-67731.1;67798.9;0.55;178;30763.7;19497.7;1.31;2
20;700;6400;-1;2;253;-68518.8;71510.8;0.51;97;-20511.2;29267.2;0.67;1
20;700;6400;21;0;529;-135968.4;138078.6;0.54;276;13497.9;32925.9;1.08;2
20;700;6400;21;1;274;-63960.4;64869.4;0.58;179;31534.1;19577.3;1.31;2
20;700;6400;21;2;256;-70027.6;73634.6;0.5;97;-18036.2;26777.2;0.7;1
20;700;12750;-1;0;517;-138808.2;140159;0.52;272;-26446.2;39094.7;0.84;1
20;700;12750;-1;1;265;-65671.5;65739.3;0.56;177;7760.8;23020.7;1.07;2
20;700;12750;-1;2;253;-71613.8;74605.8;0.49;95;-34207;39524.2;0.44;0
20;700;12750;21;0;529;-137488.4;139598.6;0.53;275;-24390;36776.4;0.85;2
20;700;12750;21;1;274;-62940.4;63849.4;0.59;178;9321.2;23248.7;1.09;2
20;700;12750;21;2;256;-72567.6;76174.6;0.48;97;-33711.2;39228.8;0.46;0
20;1800;0;-1;0;489;-130226.9;134451.1;0.65;260;-26131;50311.9;0.92;2
