n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time
538,60363.0,171249.0,110886.0,1.5443698934040366,0.3513011152416357,112.19888475836431,906.0793650793651,-317.7249283667622,20959.0,19960.0,0.20959,10,6,0.6,53.8,14.5657131648265,0.2707381629149907,22,0.30492188923678415,2.8800515291760105,186.8022132763448,1.1673648597523172,2012-01-24 01:45:00,2021-05-27 03:15:00,MAC,5,5.0,50.0,2.0,2.0,0.3,1.0,1500,0,0.0,207,16757.0,157119.0,140362.0,1.1193841638050184,0.28502415458937197,80.95169082125604,2663.0338983050847,-948.3918918918919,23820.0,21727.0,0.2382,5,2,0.4,41.4,16.29232948353304,0.3935345285877546,23,0.7081219788745002,0.7034844668345928,294.24956734499017,0.7900569544621341,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,57758.0,171249.0,113491.0,1.5089214122705765,0.3513011152416357,107.35687732342008,906.0793650793651,-325.18911174785103,19969.0,18970.0,0.19969,10,6,0.6,53.8,14.5657131648265,0.2707381629149907,22,0.3186744693375809,2.8923831939506233,186.00578274871012,1.1443399686468763,2012-01-24 01:45:00,2021-05-27 03:15:00,MAC,5,5.0,50.0,2.0,2.0,0.3,1.0,3000,0,0.0,207,7287.0,164829.0,157542.0,1.046254332178086,0.30917874396135264,35.20289855072464,2575.453125,-1101.6923076923076,30747.0,29072.0,0.30747,5,2,0.4,41.4,16.29232948353304,0.3935345285877546,23,1.628379305612735,0.23699873158356913,873.4223960477563,0.3023990377003975,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,58443.0,171249.0,112806.0,1.518084144460401,0.3513011152416357,108.63011152416357,906.0793650793651,-323.22636103151865,20449.0,19450.0,0.20449,10,6,0.6,53.8,14.5657131648265,0.2707381629149907,22,0.3149393426073268,2.8579881656804735,188.24430641821945,1.14424109860656,2012-01-24 01:45:00,2021-05-27 03:15:00,MAC,5,5.0,50.0,2.0,2.0,0.3,1.0,2000,0,0.0,207,12387.0,162502.0,150115.0,1.082516737168171,0.2995169082125604,59.84057971014493,2621.0,-1035.2758620689656,26842.0,25167.0,0.26842,5,3,0.6,41.4,16.29232948353304,0.3935345285877546,23,0.9579397755711633,0.46147828030698157,448.55848873819326,0.5501634196599083,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,78870.0,252398.0,173528.0,1.4545087824443317,0.41458333333333336,82.15625,634.1658291457286,-308.7686832740213,11828.0,9611.0,0.11828,10,7,0.7,96.0,24.547912334860577,0.2557074201547977,32,0.025244072524407253,6.668075752451809,143.9695701787752,1.1378586216089321,2012-01-11 16:45:00,2021-05-27 21:15:00,MAC,5,8.0,30.0,2.0,2.0,0.5,1.0,3000,2000,4000.0,394,-11981.0,252816.0,264797.0,0.9547540191165308,0.4467005076142132,-30.408629441624367,1436.4545454545455,-1214.665137614679,37382.0,36250.0,0.37382,5,3,0.6,78.8,28.589508565206224,0.3628110224010942,42,0.0,0.0,0.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,78155.0,252398.0,174243.0,1.4485402569974117,0.41458333333333336,81.41145833333333,634.1658291457286,-310.0409252669039,11828.0,9611.0,0.11828,10,7,0.7,96.0,24.547912334860577,0.2557074201547977,32,0.025475017593244196,6.607625972269192,145.2866739172158,1.1275433063502736,2012-01-11 16:45:00,2021-05-27 21:15:00,MAC,5,8.0,30.0,2.0,2.0,0.5,1.0,3000,2000,0.0,394,-11131.0,252816.0,263947.0,0.9578286549951316,0.4467005076142132,-28.251269035532996,1436.4545454545455,-1210.7660550458716,35187.0,34055.0,0.35187,5,3,0.6,78.8,28.589508565206224,0.3628110224010942,42,0.0,0.0,0.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,51543.0,164688.0,113145.0,1.4555481903751823,0.34014869888475835,95.80483271375465,899.9344262295082,-318.71830985915494,19779.0,18620.0,0.19779,10,6,0.6,53.8,14.5657131648265,0.2707381629149907,22,0.357099897173234,2.6059456999848325,206.4509632733834,1.0260974452676084,2012-01-24 01:45:00,2021-05-27 03:15:00,MAC,5,5.0,50.0,2.0,2.0,0.3,1.0,1000,0,0.0,207,22977.0,143950.0,120973.0,1.1899349441610938,0.24154589371980675,111.0,2879.0,-770.5286624203821,25219.0,23045.0,0.25219,5,2,0.4,41.4,16.29232948353304,0.3935345285877546,23,0.5164294729512121,0.911098774733336,227.19819819819818,1.052840063326763,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,70685.0,251751.0,181066.0,1.3903825124540223,0.40729166666666666,73.63020833333333,643.8644501278773,-318.2179261862917,13134.0,11918.0,0.13134,10,7,0.7,96.0,24.547912334860577,0.2557074201547977,32,0.10187451368748673,5.3818334094716,178.3778736648511,0.9677448704001311,2012-01-11 16:45:00,2021-05-27 21:15:00,MAC,5,8.0,30.0,2.0,2.0,0.5,1.0,3000,0,4000.0,394,30719.0,324795.0,294076.0,1.1044593914498293,0.38071065989847713,77.96700507614213,2165.3,-1205.2295081967213,34932.0,31527.0,0.34932,5,4,0.8,78.8,28.589508565206224,0.3628110224010942,42,0.4085744978677691,0.8793942516889958,448.0356782447345,0.6283512466225674,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,70220.0,251286.0,181066.0,1.3878143881236675,0.40729166666666666,73.14583333333333,642.6751918158568,-318.2179261862917,13134.0,11918.0,0.13134,10,7,0.7,96.0,24.547912334860577,0.2557074201547977,32,0.08531757334092852,5.346429115273336,179.5590999715181,0.9613785781919391,2012-01-11 16:45:00,2021-05-27 21:15:00,MAC,5,8.0,30.0,2.0,2.0,0.5,1.0,3000,6000,4000.0,394,18144.0,312220.0,294076.0,1.0616983364844461,0.38071065989847713,46.0507614213198,2081.4666666666667,-1205.2295081967213,35802.0,32397.0,0.35802,5,3,0.6,78.8,28.589508565206224,0.3628110224010942,42,0.33019179894179895,0.5067873303167421,777.4464285714286,0.36659499040359345,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,69415.0,250481.0,181066.0,1.3833684954657417,0.40729166666666666,72.30729166666667,640.616368286445,-318.2179261862917,13134.0,11918.0,0.13134,10,7,0.7,96.0,24.547912334860577,0.2557074201547977,32,0.05749477778578117,5.285137810263438,181.64143196715406,0.9503573626487248,2012-01-11 16:45:00,2021-05-27 21:15:00,MAC,5,8.0,30.0,2.0,2.0,0.5,1.0,3000,4000,4000.0,394,-8546.0,285530.0,294076.0,0.9709394850310804,0.38071065989847713,-21.690355329949238,1903.5333333333333,-1205.2295081967213,34155.0,32940.0,0.34155,5,3,0.6,78.8,28.589508565206224,0.3628110224010942,42,0.0,0.0,0.0,0.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,47883.0,158769.0,110886.0,1.4318218711108706,0.3513011152416357,89.00185873605948,840.047619047619,-317.7249283667622,20959.0,19960.0,0.20959,10,6,0.6,53.8,14.5657131648265,0.2707381629149907,22,0.21230917026919785,2.284603273056921,235.48946390159347,0.9260131467872738,2012-01-24 01:45:00,2021-05-27 03:15:00,MAC,5,5.0,50.0,2.0,2.0,0.3,1.0,1500,0,4000.0,207,22097.0,155376.0,133279.0,1.165795061487556,0.2946859903381642,106.7487922705314,2547.1475409836066,-912.8698630136986,24983.0,23053.0,0.24983,5,3,0.6,41.4,16.29232948353304,0.3935345285877546,23,0.5369959723039327,0.8844814473842213,234.0354346743902,1.017288256137719,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
