symbol,timeframe,gates_failed,engine,good,gate_reason,expected_avg_trade,wf_efficiency_used,oos_avg_trade,oos_net_profit,oos_max_dd,oos_n_trades,oos_profit_factor,avg_trade,net_profit,max_dd,n_trades,unger_score,oos_unger_score,wf_mean_unger,ms_blocks_positive,ms_blocks_total,ms_min_avg_trade,plateau_ratio,plateau_min,np_dd,oos_np_dd,recovery_trades,oos_recovery_trades,pattern_null_p,pattern_null_median_avg,pattern_avg_trade,pattern_none_avg_trade,pattern_vs_none_avg,pattern_null_valid_draws,pattern_null_draws,pattern_null_min_trades,wfo_measured,wfo_efficiency,wfo_net_profit,wfo_avg_trade,wfo_positive_windows,wfo_total_windows,mc_dd_p95,mc_dd_worst,passes_multisplit,passes_plateau,passes_expectancy,passes_null,passes_pattern_useful,passes_wfo,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time
NQ,15m,0,TF_M,True,—,436.24345694190885,0.48930597114620883,891.5555555555555,136408.0,25934.0,153,1.7002535960328136,279.85714285714283,78360.0,19293.0,280,3.034868433876963,8.339058336526707,5.398057477095355,3.0,3.0,660.0196078431372,1.0354875851803462,0.8917434005338013,4.061576737676877,5.259813372406879,68.93874425727412,29.088484546360917,0.017241379310344827,47.61904761904762,891.5555555555555,45.705882352941174,845.8496732026143,57.0,200.0,77.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,40823.749999999985,69419.0,True,True,True,True,True,True,,,,,,,3000,4000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,368.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,420.588863943473,0.48930597114620883,859.562091503268,131513.0,22241.0,153,1.5964605944060701,261.8282208588957,85356.0,16942.0,326,3.029964014701092,8.681673593528208,5.974264649376691,3.0,3.0,781.4901960784314,1.0133967022072317,0.765621756118229,5.038130090898359,5.913088440267973,64.7065466985332,25.874803251389597,0.017543859649122806,-80.65725711597271,859.562091503268,-54.887622149837135,914.4497136531052,56.0,200.0,77.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,42659.799999999996,69399.0,True,True,True,True,True,True,,,,,,,4000,6000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,184.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,407.3808008007681,0.48930597114620883,832.5686274509804,127383.0,25934.0,153,1.6128278031954046,338.94930875576034,73552.0,21449.0,217,3.4860577922646243,7.787331154197564,5.108785083889202,3.0,3.0,692.1764705882352,1.0478430487529173,0.8541857172109156,3.4291575364818874,4.9118146063083215,63.2808489232108,31.149384140740914,0.034482758620689655,65.71428571428571,832.5686274509804,68.36959761549926,764.1990298354812,57.0,200.0,77.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,45065.79999999998,67691.0,True,True,True,True,True,True,,,,,,,3000,4000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,920.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,355.1438131707993,0.48930597114620883,725.811320754717,115404.0,24252.0,159,1.5514176772454917,256.4559270516717,84374.0,19897.0,329,2.7385602200348425,7.02026187266133,5.310998118206973,3.0,3.0,600.468085106383,1.0378215759934657,0.8179949918920877,4.240538774689652,4.758535378525482,77.58448100125631,33.41364250805864,0.03508771929824561,33.95823575331772,725.811320754717,29.355555555555554,696.4557651991615,56.0,200.0,80.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,38705.799999999996,58500.0,True,True,True,True,True,True,,,,,,,4000,4000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,184.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,355.0255066539721,0.48930597114620883,725.5695364238411,109561.0,26870.0,151,1.5056933834898802,316.12589928057554,87883.0,19586.0,278,3.402440642057639,6.667277966051289,5.137933342708086,3.0,3.0,342.3207547169811,0.9801820340551484,0.8406956240482902,4.487031553150209,4.077446966877559,61.9563283001263,37.032977063005994,0.034482758620689655,61.1271186440678,725.5695364238411,39.29305135951662,686.2764850643244,57.0,200.0,76.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,44274.7,72342.0,True,True,True,True,True,True,,,,,,,3000,4500,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,368.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,352.7742182161918,0.48930597114620883,720.9685534591194,114634.0,25934.0,159,1.597818037694129,252.3030303030303,83260.0,16365.0,330,2.970761702069383,6.743493199759699,5.455598191629359,3.0,3.0,430.36170212765956,0.999618073600346,0.767952897840787,5.087687137183012,4.42022055988278,64.86247898150373,35.97105570773069,0.034482758620689655,44.61538461538461,720.9685534591194,79.65464632454923,641.3139071345702,57.0,200.0,80.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,35793.899999999994,60333.0,True,True,True,True,True,True,,,,,,,3000,4000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,184.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,351.6520467284652,0.48930597114620883,718.6751592356688,112832.0,24507.0,157,1.5180960777291053,244.8449848024316,80554.0,18712.0,329,2.6960904805650734,6.914979758047082,5.274732242940732,3.0,3.0,417.1320754716981,1.0464547125645447,0.8680201470274278,4.304938007695596,4.604072305871791,76.42386473669836,34.100246384004535,0.017543859649122806,16.235875820701956,718.6751592356688,38.90273556231003,679.7724236733588,56.0,200.0,79.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,42974.649999999994,69380.0,True,True,True,True,True,True,,,,,,,4000,4500,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,184.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,337.3275365081964,0.48930597114620883,689.4,103410.0,26548.0,150,1.4517219688630287,746.7284768211921,112756.0,29025.0,151,6.60206740645452,6.373217342591002,10.77642804876876,3.0,3.0,382.6981132075472,1.1027889883127715,0.773284028001314,3.884788975021533,3.8952086786198583,38.86955017914789,38.50884827386133,0.034482758620689655,77.71428571428571,689.4,68.02012383900929,621.3798761609906,57.0,200.0,75.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,47190.49999999999,78744.0,True,True,True,True,True,True,,,,,,,3000,4500,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,326.13196170345105,0.48930597114620883,666.5194805194806,102644.0,27706.0,154,1.4805003300268234,257.62079510703364,84242.0,14390.0,327,3.234847964657856,6.031554923698738,5.041095624696554,3.0,3.0,375.2307692307692,0.991336785039462,0.7657692722307425,5.854204308547603,3.704757092326572,55.85729208708245,41.568177389813336,0.017241379310344827,-67.31018518518519,666.5194805194806,19.21969696969697,647.2997835497836,57.0,200.0,77.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,41842.45,72351.0,True,True,True,True,True,True,,,,,,,3000,6000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,184.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ,15m,0,TF_M,True,—,325.6596148854118,0.48930597114620883,665.5541401273886,104492.0,23434.0,157,1.5294755510514315,308.99295774647885,87754.0,20829.0,284,3.2249109450171662,6.548827201608327,5.061020057621127,3.0,3.0,500.25925925925924,1.0186441175092424,0.9254171049932648,4.213068318210188,4.45899120935393,67.40930327962259,35.20975768479884,0.034482758620689655,26.02958579881657,665.5541401273886,89.72355430183357,575.830585825555,57.0,200.0,79.0,True,0.48930597114620883,43596.0,360.297520661157,2.0,4.0,37462.34999999999,53916.0,True,True,True,True,True,True,,,,,,,2500,4000,,,,47.0,7.0,12.0,39.0,9.0,5.0,4.0,368.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
