famiglia,strategia,e_strategia,capofila,simbolo,timeframe,motore,atteso_per_trade,oos_avg_trade,oos_net_profit,oos_max_dd,oos_n_trades,oos_profit_factor,plateau_min,wfo_efficienza,mc_dd_p95,stop_loss_pt,take_profit_pt,stop_loss,take_profit,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,ptn_dir_no,start_hour,end_hour,skip_day,max_bars,intraday_only,breakout_offset_ticks,level_source,n_sess,lev_include_sess0,ptn_ly_yes,ptn_ly_no,ptn_sy_yes,ptn_sy_no,bb_length,bb_num_devs
1,1,True,True,NQ,15m,TF_M,436.2,891.6,136408,25934,153,1.7,0.89,0.49,40824,150.0,200,3000,4000,47,7,12,39,9,5,4,368,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,420.6,859.6,131513,22241,153,1.6,0.77,0.49,42660,200.0,300,4000,6000,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,407.4,832.6,127383,25934,153,1.61,0.85,0.49,45066,150.0,200,3000,4000,47,7,12,39,9,5,4,920,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,355.1,725.8,115404,24252,159,1.55,0.82,0.49,38706,200.0,200,4000,4000,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,355.0,725.6,109561,26870,151,1.51,0.84,0.49,44275,150.0,225,3000,4500,47,7,12,39,9,5,4,368,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,352.8,721.0,114634,25934,159,1.6,0.77,0.49,35794,150.0,200,3000,4000,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,351.7,718.7,112832,24507,157,1.52,0.87,0.49,42975,200.0,225,4000,4500,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,337.3,689.4,103410,26548,150,1.45,0.77,0.49,47190,150.0,225,3000,4500,47,7,12,39,9,5,4,0,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,326.1,666.5,102644,27706,154,1.48,0.77,0.49,41842,150.0,300,3000,6000,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,325.7,665.6,104492,23434,157,1.53,0.93,0.49,37462,125.0,200,2500,4000,47,7,12,39,9,5,4,368,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,322.1,658.3,104013,26548,158,1.5,0.79,0.49,40085,150.0,225,3000,4500,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,317.9,649.6,104591,23116,161,1.5,0.75,0.49,40033,200.0,150,4000,3000,47,7,12,39,9,5,4,368,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,311.1,635.7,102351,18823,161,1.55,0.92,0.49,36288,150.0,150,3000,3000,47,7,12,39,9,5,4,368,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,300.7,614.6,94654,27705,154,1.45,0.85,0.49,42328,125.0,225,2500,4500,47,7,12,39,9,5,4,368,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,290.1,592.9,95461,25170,161,1.41,0.91,0.49,48759,250.0,150,5000,3000,47,7,12,39,9,5,4,368,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,289.8,592.4,87668,22911,148,1.37,0.86,0.49,52842,125.0,300,2500,6000,47,7,12,39,9,5,4,0,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,289.1,590.9,96914,28223,164,1.46,0.56,0.49,40966,250.0,150,5000,3000,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,289.1,590.8,91570,22053,155,1.45,0.55,0.49,41250,125.0,300,2500,6000,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,286.1,584.7,86538,22911,148,1.37,0.78,0.49,53556,125.0,300,2500,6000,47,7,12,39,9,5,4,920,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,281.7,575.7,94419,22054,164,1.47,0.6,0.49,37653,200.0,150,4000,3000,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,279.5,571.2,81678,29361,143,1.32,0.86,0.49,58878,150.0,300,3000,6000,47,7,12,39,9,5,4,644,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,268.8,549.4,90099,19262,164,1.49,0.57,0.49,33475,150.0,150,3000,3000,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,263.5,538.6,84016,29742,156,1.42,0.55,0.49,40730,125.0,250,2500,5000,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,230.6,471.3,77294,27679,164,1.36,0.98,0.49,46005,250.0,125,5000,2500,47,7,12,39,9,5,4,368,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,228.8,467.6,76213,20066,163,1.41,0.94,0.49,36927,125.0,150,2500,3000,47,7,12,39,9,5,4,368,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,210.4,430.1,73115,16843,170,1.52,0.46,0.49,31564,250.0,300,5000,6000,47,7,12,39,9,5,4,48,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,196.3,401.1,65784,20418,164,1.35,0.95,0.49,37230,150.0,125,3000,2500,47,7,12,39,9,5,4,368,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,189.5,387.3,63524,28908,164,1.3,0.78,0.49,41554,200.0,125,4000,2500,47,7,12,39,9,5,4,368,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,151.8,310.3,51506,16635,166,1.29,0.77,0.49,36252,100.0,150,2000,3000,47,7,12,39,9,5,4,0,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,151.0,308.6,50925,22391,165,1.28,0.52,0.49,34814,150.0,125,3000,2500,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,150.9,308.3,52415,18004,170,1.39,0.52,0.49,31694,250.0,200,5000,4000,47,7,12,39,9,5,4,48,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,136.5,278.9,46015,21566,165,1.25,0.77,0.49,35432,125.0,125,2500,2500,47,7,12,39,9,5,4,0,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,122.2,249.7,42450,19772,170,1.31,0.5,0.49,32918,250.0,150,5000,3000,47,7,12,39,9,5,4,48,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,100.0,204.5,34554,13192,169,1.48,0.49,0.49,21009,25.0,200,500,4000,47,7,12,39,9,5,4,184,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,88.5,181.0,30584,9732,169,1.68,0.96,0.49,21399,150.0,25,3000,500,47,7,12,39,9,5,4,0,0,,,,,,,,,,
1,1,False,False,NQ,15m,TF_M,79.1,161.6,27470,7905,170,1.72,0.76,0.49,13664,12.5,150,250,3000,47,7,12,39,9,5,4,0,0,,,,,,,,,,
2,2,True,True,NQ,15m,TF_M,323.7,661.6,127683,24911,193,1.48,0.7,0.49,58550,125.0,225,2500,4500,54,9,-48,17,13,5,-1,644,0,,,,,,,,,,
2,2,False,False,NQ,15m,TF_M,276.4,565.0,110736,24081,196,1.43,0.7,0.49,50394,112.5,225,2250,4500,54,9,-48,17,13,5,-1,0,0,,,,,,,,,,
2,2,False,False,NQ,15m,TF_M,243.5,497.6,94540,28590,190,1.36,0.49,0.49,61630,112.5,250,2250,5000,54,9,-48,17,13,5,-1,644,0,,,,,,,,,,
2,2,False,False,NQ,15m,TF_M,175.9,359.5,76578,19715,213,1.47,0.57,0.49,31378,50.0,225,1000,4500,54,9,-48,17,13,5,-1,0,0,,,,,,,,,,
2,2,False,False,NQ,15m,TF_M,173.1,353.7,75333,19030,213,1.31,0.73,0.49,57853,112.5,150,2250,3000,54,9,-48,17,13,5,-1,0,0,,,,,,,,,,
2,2,False,False,NQ,15m,TF_M,166.4,340.0,65287,29733,192,1.27,0.53,0.49,56208,87.5,300,1750,6000,54,9,-48,17,13,5,-1,920,0,,,,,,,,,,
2,2,False,False,NQ,15m,TF_M,155.0,316.8,62412,29733,197,1.26,0.41,0.49,58430,87.5,300,1750,6000,54,9,-48,17,13,5,-1,368,0,,,,,,,,,,
2,8,True,False,NQ,15m,TF_M,147.0,300.5,88354,23408,294,1.37,0.83,0.49,47488,50.0,300,1000,6000,54,9,52,17,13,5,-1,0,0,,,,,,,,,,
2,2,False,False,NQ,15m,TF_M,132.0,269.7,57719,26356,214,1.3,0.42,0.49,47515,62.5,250,1250,5000,54,9,-48,17,13,5,-1,184,0,,,,,,,,,,
3,3,True,True,NQ,15m,TF_M,286.5,585.6,92523,27128,158,1.43,0.63,0.49,43458,200.0,150,4000,3000,47,1,12,21,18,17,-1,368,0,,,,,,,,,,
3,3,False,False,NQ,15m,TF_M,265.0,541.5,82853,28850,153,1.33,0.64,0.49,52227,200.0,200,4000,4000,47,1,12,21,18,17,-1,368,0,,,,,,,,,,
3,3,False,False,NQ,15m,TF_M,197.2,402.9,72931,21485,181,1.45,0.64,0.49,42153,250.0,300,5000,6000,47,1,12,21,18,17,-1,48,0,,,,,,,,,,
3,3,False,False,NQ,15m,TF_M,173.4,354.5,62030,25317,175,2.42,0.69,0.49,20617,12.5,0,250,0,47,1,12,21,18,17,-1,644,0,,,,,,,,,,
4,4,True,True,NQ,15m,BO,260.7,772.2,95754,28286,124,1.56,0.58,0.34,50457,250.0,150,5000,3000,47,7,-1,38,5,4,-1,644,0,0,0,4,0,,,,,,
4,4,False,False,NQ,15m,BO,240.5,712.2,89020,20552,125,1.62,0.45,0.34,31735,200.0,150,4000,3000,47,7,-1,38,5,4,-1,184,0,0,0,4,0,,,,,,
4,4,False,False,NQ,15m,BO,199.6,591.0,73875,24404,125,1.49,0.68,0.34,36469,150.0,150,3000,3000,47,7,-1,38,5,4,-1,0,0,0,0,4,0,,,,,,
4,4,False,False,NQ,15m,BO,160.2,474.4,60718,15973,128,1.47,0.67,0.34,38145,200.0,100,4000,2000,47,7,-1,38,5,4,-1,644,0,0,0,4,0,,,,,,
5,5,True,True,NQ,15m,BO,250.6,742.1,71987,26043,97,1.7,0.44,0.34,40510,200.0,125,4000,2500,47,48,35,50,10,5,-1,644,0,2,0,5,0,,,,,,
5,5,False,False,NQ,15m,BO,154.2,456.7,45670,15520,100,2.88,0.75,0.34,22940,12.5,500,250,10000,47,48,35,50,10,5,-1,0,0,2,0,5,0,,,,,,
6,6,True,True,NQ,15m,BO,197.8,585.9,70891,21070,121,2.25,0.82,0.34,27738,25.0,0,500,0,47,7,-34,28,13,6,-1,644,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,177.2,524.8,66647,17980,127,1.44,0.93,0.34,38864,125.0,200,2500,4000,47,7,-34,28,13,6,-1,184,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,177.0,524.1,60796,27174,116,2.12,0.71,0.34,27769,25.0,0,500,0,47,7,-34,28,13,6,-1,920,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,161.6,478.5,62200,13701,130,1.44,0.56,0.34,32546,125.0,150,2500,3000,47,7,-34,28,13,6,-1,184,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,158.3,468.8,58600,26599,125,1.32,0.87,0.34,48723,150.0,300,3000,6000,47,7,-34,28,13,6,-1,184,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,158.1,468.2,60394,18692,129,1.49,0.58,0.34,33300,250.0,100,5000,2000,47,7,-34,28,13,6,-1,184,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,152.1,450.5,58560,12787,130,1.46,0.78,0.34,28349,125.0,125,2500,2500,47,7,-34,28,13,6,-1,184,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,151.8,449.5,60229,14410,134,1.64,0.67,0.34,27216,200.0,75,4000,1500,47,7,-34,28,13,6,-1,184,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,144.6,428.1,55229,18964,129,1.39,0.46,0.34,37651,250.0,100,5000,2000,47,7,-34,28,13,6,-1,368,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,132.6,392.6,49857,14923,127,1.33,0.9,0.34,39284,125.0,150,2500,3000,47,7,-34,28,13,6,-1,0,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,132.4,392.0,52534,15628,134,1.49,0.47,0.34,30440,200.0,75,4000,1500,47,7,-34,28,13,6,-1,368,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,130.5,386.3,49839,14201,129,1.34,0.87,0.34,36273,112.5,150,2250,3000,47,7,-34,28,13,6,-1,0,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,130.2,385.5,50506,14201,131,1.35,0.68,0.34,33738,112.5,150,2250,3000,47,7,-34,28,13,6,-1,184,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,127.7,378.0,49902,13787,132,1.43,0.76,0.34,27256,125.0,100,2500,2000,47,7,-34,28,13,6,-1,184,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,126.8,375.6,48830,14524,130,1.35,0.58,0.34,33248,125.0,125,2500,2500,47,7,-34,28,13,6,-1,0,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,116.5,345.1,45211,16787,131,1.35,0.54,0.34,31026,150.0,100,3000,2000,47,7,-34,28,13,6,-1,368,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,116.0,343.5,46034,18762,134,1.39,0.46,0.34,36244,250.0,75,5000,1500,47,7,-34,28,13,6,-1,368,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,112.1,331.9,43812,16390,132,1.32,0.64,0.34,30875,112.5,125,2250,2500,47,7,-34,28,13,6,-1,0,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,110.3,326.7,42470,18398,130,1.27,0.81,0.34,42632,112.5,200,2250,4000,47,7,-34,28,13,6,-1,184,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,108.0,320.0,42879,14829,134,1.42,0.74,0.34,26661,150.0,75,3000,1500,47,7,-34,28,13,6,-1,184,0,0,0,5,0,,,,,,
6,6,False,False,NQ,15m,BO,106.9,316.6,40839,14208,129,1.29,0.86,0.34,34290,100.0,150,2000,3000,47,7,-34,28,13,6,-1,0,0,0,0,5,0,,,,,,
