entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason,periodo,pnl_cumulato
2012-01-10 13:15:00,2012-01-19 18:15:00,L,4592.5,4665.75,1461.0,644,MAXBARS,IS,1461.0
2012-01-23 15:45:00,2012-02-01 15:00:00,L,4667.75,4700.25,646.0,644,MAXBARS,IS,2107.0
2012-02-03 13:15:00,2012-02-14 13:30:00,L,4726.0,4795.5,1386.0,644,MAXBARS,IS,3493.0
2012-02-14 22:00:00,2012-02-16 02:45:00,L,4796.5,4771.25,-509.0,109,SL,IS,2984.0
2012-02-21 18:15:00,2012-02-21 20:45:00,L,4825.75,4800.5,-509.0,10,SL,IS,2475.0
2012-02-27 17:30:00,2012-03-06 15:45:00,L,4834.75,4809.5,-509.0,547,SL,IS,1966.0
2012-03-12 21:15:00,2012-03-21 20:30:00,L,4878.5,4976.75,1961.0,644,MAXBARS,IS,3927.0
2012-03-28 15:45:00,2012-03-28 18:00:00,L,5020.25,4995.0,-509.0,9,SL,IS,3418.0
2012-04-06 15:00:00,2012-04-09 21:00:00,S,4952.75,4978.0,-509.0,85,SL,IS,2909.0
2012-04-10 18:00:00,2012-04-19 17:15:00,S,4949.0,4950.5,-34.0,644,MAXBARS,IS,2875.0
2012-04-24 20:00:00,2012-04-24 22:45:00,S,4855.25,4880.5,-509.0,11,SL,IS,2366.0
2012-04-27 14:00:00,2012-05-02 14:30:00,L,4960.5,4935.25,-509.0,277,SL,IS,1857.0
2012-05-15 21:15:00,2012-05-24 20:30:00,S,4811.75,4753.5,1161.0,644,MAXBARS,IS,3018.0
2012-05-29 16:30:00,2012-05-29 18:15:00,L,4792.25,4767.0,-509.0,7,SL,IS,2509.0
2012-06-01 13:15:00,2012-06-06 16:00:00,S,4728.25,4753.5,-509.0,286,SL,IS,2000.0
2012-06-25 15:45:00,2012-06-29 14:30:00,S,4784.75,4810.0,-509.0,354,SL,IS,1491.0
2012-07-03 06:00:00,2012-07-06 18:15:00,L,4857.0,4831.75,-509.0,293,SL,IS,982.0
2012-07-10 17:15:00,2012-07-18 17:45:00,S,4826.75,4852.0,-509.0,556,SL,IS,473.0
2012-08-07 13:15:00,2012-08-16 12:30:00,L,4938.5,4975.0,726.0,644,MAXBARS,IS,1199.0
2012-08-20 18:00:00,2012-08-23 16:15:00,L,5017.25,4992.0,-509.0,259,SL,IS,690.0
2012-08-30 17:00:00,2012-08-31 14:30:00,S,4986.75,5012.0,-509.0,83,SL,IS,181.0
2012-09-04 17:00:00,2012-09-04 20:30:00,S,4981.5,5006.75,-509.0,14,SL,IS,-328.0
2012-09-06 14:45:00,2012-09-17 16:15:00,L,5022.0,5088.25,1321.0,644,MAXBARS,IS,993.0
2012-09-19 05:45:00,2012-09-24 14:45:00,L,5102.75,5077.5,-509.0,311,SL,IS,484.0
2012-10-04 05:00:00,2012-10-08 06:15:00,L,5066.0,5040.75,-509.0,187,SL,IS,-25.0
2012-10-11 19:45:00,2012-10-16 07:45:00,S,4957.5,4982.75,-509.0,227,SL,IS,-534.0
2012-10-24 18:00:00,2012-10-31 10:30:00,S,4894.5,4919.75,-509.0,371,SL,IS,-1043.0
2012-11-13 15:30:00,2012-11-13 17:00:00,S,4799.25,4824.5,-509.0,6,SL,IS,-1552.0
2012-11-14 16:45:00,2012-11-19 17:00:00,S,4796.0,4821.25,-509.0,277,SL,IS,-2061.0
2012-11-21 03:00:00,2012-11-30 12:15:00,L,4840.25,4929.25,1776.0,644,MAXBARS,IS,-285.0
2012-11-30 13:15:00,2012-12-04 03:15:00,L,4932.0,4906.75,-509.0,144,SL,IS,-794.0
2012-12-26 17:15:00,2012-12-31 21:15:00,S,4884.5,4909.75,-509.0,293,SL,IS,-1303.0
2013-01-14 01:45:00,2013-01-14 16:30:00,L,4993.25,4968.0,-509.0,59,SL,IS,-1812.0
2013-02-01 17:45:00,2013-02-04 17:45:00,L,5000.5,4975.25,-509.0,92,SL,IS,-2321.0
2013-02-13 16:15:00,2013-02-14 12:15:00,L,5029.5,5004.25,-509.0,76,SL,IS,-2830.0
2013-03-08 14:45:00,2013-03-17 23:15:00,L,5058.0,5026.5,-634.0,494,SL,IS,-3464.0
2013-04-05 13:15:00,2013-04-09 19:15:00,S,5021.0,5046.25,-509.0,208,SL,IS,-3973.0
2013-04-25 14:45:00,2013-05-06 14:45:00,L,5096.5,5196.0,1986.0,644,MAXBARS,IS,-1987.0
2013-05-07 14:00:00,2013-05-16 13:45:00,L,5207.0,5259.25,1041.0,644,MAXBARS,IS,-946.0
2013-05-16 14:00:00,2013-05-23 08:30:00,L,5260.5,5235.25,-509.0,438,SL,IS,-1455.0
2013-06-28 20:15:00,2013-07-10 06:15:00,L,5176.75,5232.0,1101.0,644,MAXBARS,IS,-354.0
2013-07-10 16:00:00,2013-07-19 16:15:00,L,5243.5,5297.5,1076.0,644,MAXBARS,IS,722.0
2013-07-23 21:45:00,2013-07-24 13:30:00,S,5288.5,5313.75,-509.0,59,SL,IS,213.0
2013-07-30 14:45:00,2013-08-08 14:30:00,L,5337.0,5386.75,991.0,644,MAXBARS,IS,1204.0
2013-08-19 00:30:00,2013-08-19 16:00:00,S,5324.5,5349.75,-509.0,62,SL,IS,695.0
2013-08-26 05:45:00,2013-08-27 12:45:00,L,5385.5,5360.25,-509.0,120,SL,IS,186.0
2013-09-06 14:15:00,2013-09-06 16:00:00,L,5396.25,5371.0,-509.0,7,SL,IS,-323.0
2013-09-16 16:15:00,2013-09-16 21:00:00,L,5448.5,5423.25,-509.0,19,SL,IS,-832.0
2013-09-20 15:30:00,2013-09-23 14:00:00,L,5503.0,5477.75,-509.0,86,SL,IS,-1341.0
2013-10-08 16:45:00,2013-10-11 16:15:00,S,5454.0,5479.25,-509.0,274,SL,IS,-1850.0
2013-10-16 16:00:00,2013-10-25 16:00:00,L,5528.75,5654.5,2511.0,644,MAXBARS,IS,661.0
2013-11-05 16:15:00,2013-11-05 18:30:00,S,5622.25,5647.5,-509.0,9,SL,IS,152.0
2013-11-15 04:15:00,2013-11-18 21:15:00,L,5681.0,5655.75,-509.0,160,SL,IS,-357.0
2013-11-26 17:15:00,2013-12-06 03:15:00,L,5702.5,5745.25,851.0,644,MAXBARS,IS,494.0
2013-12-13 20:15:00,2013-12-16 15:45:00,S,5720.75,5746.0,-509.0,75,SL,IS,-15.0
2013-12-18 19:15:00,2013-12-18 20:15:00,S,5699.25,5724.5,-509.0,4,SL,IS,-524.0
2013-12-20 16:00:00,2014-01-03 21:00:00,L,5783.0,5813.0,596.0,644,MAXBARS,IS,72.0
2014-01-21 15:45:00,2014-01-21 17:15:00,L,5880.5,5855.25,-509.0,6,SL,IS,-437.0
2014-02-03 18:30:00,2014-02-06 16:00:00,S,5724.0,5749.25,-509.0,266,SL,IS,-946.0
2014-02-11 01:45:00,2014-02-20 07:00:00,L,5852.0,5912.5,1206.0,644,MAXBARS,IS,260.0
2014-02-24 16:00:00,2014-02-27 12:00:00,L,5957.0,5931.75,-509.0,260,SL,IS,-249.0
2014-03-06 04:45:00,2014-03-07 16:00:00,L,6002.75,5977.5,-509.0,137,SL,IS,-758.0
2014-03-11 20:15:00,2014-03-12 21:15:00,S,5953.75,5979.0,-509.0,96,SL,IS,-1267.0
2014-03-24 14:45:00,2014-04-02 03:15:00,S,5910.5,5935.75,-509.0,594,SL,IS,-1776.0
2014-04-03 16:15:00,2014-04-03 17:45:00,L,5945.75,5920.5,-509.0,6,SL,IS,-2285.0
2014-04-15 18:00:00,2014-04-15 20:15:00,S,5702.0,5727.25,-509.0,9,SL,IS,-2794.0
2014-04-21 18:00:00,2014-04-25 20:45:00,L,5819.75,5794.5,-509.0,380,SL,IS,-3303.0
2014-05-21 16:00:00,2014-05-30 20:00:00,L,5901.0,5999.0,1956.0,644,MAXBARS,IS,-1347.0
2014-06-04 17:30:00,2014-06-13 17:30:00,L,6018.75,6055.5,731.0,644,MAXBARS,IS,-616.0
2014-06-23 04:00:00,2014-07-02 04:00:00,L,6087.25,6171.25,1676.0,644,MAXBARS,IS,1060.0
2014-07-03 14:30:00,2014-07-08 16:15:00,L,6180.5,6155.25,-509.0,252,SL,IS,551.0
2014-07-10 15:00:00,2014-07-10 17:00:00,S,6124.75,6150.0,-509.0,8,SL,IS,42.0
2014-07-15 15:45:00,2014-07-15 16:45:00,L,6214.75,6189.5,-509.0,4,SL,IS,-467.0
2014-07-22 13:45:00,2014-07-31 13:45:00,L,6225.0,6225.75,11.0,644,MAXBARS,IS,-456.0
2014-07-31 16:00:00,2014-08-11 16:00:00,S,6212.5,6192.0,406.0,644,MAXBARS,IS,-50.0
2014-08-13 13:15:00,2014-08-22 13:15:00,L,6207.5,6326.0,2366.0,644,MAXBARS,IS,2316.0
2014-08-22 14:30:00,2014-09-02 22:15:00,L,6333.0,6375.5,846.0,644,MAXBARS,IS,3162.0
2014-09-02 22:30:00,2014-09-03 18:00:00,L,6377.0,6351.75,-509.0,75,SL,IS,2653.0
2014-09-19 22:00:00,2014-09-22 04:30:00,L,6391.25,6366.0,-509.0,22,SL,IS,2144.0
2014-10-01 16:15:00,2014-10-03 16:15:00,S,6289.0,6314.25,-509.0,184,SL,IS,1635.0
2014-10-15 13:30:00,2014-10-17 16:30:00,S,6083.5,6108.75,-509.0,196,SL,IS,1126.0
2014-10-23 14:15:00,2014-11-03 14:00:00,L,6274.5,6438.25,3271.0,644,MAXBARS,IS,4397.0
2014-11-05 15:00:00,2014-11-05 16:00:00,L,6465.25,6440.0,-509.0,4,SL,IS,3888.0
2014-11-11 06:00:00,2014-11-20 05:45:00,L,6471.25,6510.5,781.0,644,MAXBARS,IS,4669.0
