entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason,periodo,pnl_cumulato
2012-01-10 17:15:00,2012-01-11 06:00:00,L,4595.25,4579.75,-314.0,48,MAXBARS,IS,-314.0
2012-01-12 18:45:00,2012-01-13 07:30:00,L,4598.5,4608.75,201.0,48,MAXBARS,IS,-113.0
2012-01-17 03:00:00,2012-01-17 15:00:00,L,4610.75,4615.5,91.0,48,MAXBARS,IS,-22.0
2012-01-18 17:15:00,2012-01-19 06:00:00,L,4633.25,4647.75,286.0,48,MAXBARS,IS,264.0
2012-01-19 17:15:00,2012-01-20 06:00:00,L,4662.25,4651.75,-214.0,48,MAXBARS,IS,50.0
2012-01-23 17:15:00,2012-01-24 06:00:00,L,4670.5,4654.0,-334.0,48,MAXBARS,IS,-284.0
2012-01-24 22:45:00,2012-01-25 11:15:00,L,4677.5,4675.5,-44.0,48,MAXBARS,IS,-328.0
2012-01-30 20:00:00,2012-01-31 08:45:00,L,4689.75,4695.25,106.0,48,MAXBARS,IS,-222.0
2012-01-31 20:30:00,2012-02-01 09:15:00,L,4690.75,4685.25,-114.0,48,MAXBARS,IS,-336.0
2012-02-01 17:15:00,2012-02-02 06:00:00,L,4707.75,4714.75,136.0,48,MAXBARS,IS,-200.0
2012-02-02 17:15:00,2012-02-03 06:00:00,L,4723.75,4715.5,-169.0,48,MAXBARS,IS,-369.0
2012-02-07 01:30:00,2012-02-07 13:30:00,L,4753.0,4741.75,-229.0,48,MAXBARS,IS,-598.0
2012-02-08 19:00:00,2012-02-09 07:45:00,L,4760.0,4768.5,166.0,48,MAXBARS,IS,-432.0
2012-02-09 17:15:00,2012-02-10 06:00:00,L,4775.75,4778.0,41.0,48,MAXBARS,IS,-391.0
2012-02-13 17:15:00,2012-02-14 06:00:00,L,4786.0,4788.75,51.0,48,MAXBARS,IS,-340.0
2012-02-14 22:00:00,2012-02-15 10:45:00,L,4796.5,4817.0,406.0,48,MAXBARS,IS,66.0
2012-02-15 17:15:00,2012-02-16 06:00:00,L,4817.0,4768.75,-969.0,48,MAXBARS,IS,-903.0
2012-02-21 18:15:00,2012-02-22 07:00:00,L,4825.0,4821.25,-79.0,48,MAXBARS,IS,-982.0
2012-02-23 22:15:00,2012-02-24 11:00:00,L,4825.75,4832.25,126.0,48,MAXBARS,IS,-856.0
2012-02-27 17:30:00,2012-02-28 06:15:00,L,4834.75,4836.0,21.0,48,MAXBARS,IS,-835.0
2012-02-28 17:15:00,2012-02-29 06:00:00,L,4851.75,4860.0,161.0,48,MAXBARS,IS,-674.0
2012-02-29 18:30:00,2012-03-01 07:15:00,L,4860.25,4846.75,-274.0,48,MAXBARS,IS,-948.0
2012-03-01 19:45:00,2012-03-02 08:30:00,L,4870.5,4869.0,-34.0,48,MAXBARS,IS,-982.0
2012-03-08 17:15:00,2012-03-09 06:00:00,L,4852.5,4863.75,221.0,48,MAXBARS,IS,-761.0
2012-03-12 18:45:00,2012-03-13 07:30:00,L,4874.75,4889.5,291.0,48,MAXBARS,IS,-470.0
2012-03-13 17:15:00,2012-03-14 06:00:00,L,4902.0,4921.25,381.0,48,MAXBARS,IS,-89.0
2012-03-14 17:15:00,2012-03-15 06:00:00,L,4932.0,4941.0,176.0,48,MAXBARS,IS,87.0
2012-03-15 17:30:00,2012-03-16 06:15:00,L,4944.5,4940.25,-89.0,48,MAXBARS,IS,-2.0
2012-03-19 01:15:00,2012-03-19 13:15:00,L,4945.0,4944.5,-14.0,48,MAXBARS,IS,-16.0
2012-03-20 20:30:00,2012-03-21 09:15:00,L,4965.75,4971.75,116.0,48,MAXBARS,IS,100.0
