rank,engine,block,start,end,net_profit,avg_trade,n_trades
1,TF_M,1,2021-06-02,2022-09-29,44595.0,991.0,45
1,TF_M,2,2022-09-29,2024-01-30,38532.0,741.0,52
1,TF_M,3,2024-01-30,2025-05-30,20283.0,382.6981132075472,53
2,BO,1,2021-06-02,2022-09-29,47221.0,1523.258064516129,31
2,BO,2,2022-09-29,2024-01-30,12667.0,342.35135135135135,37
2,BO,3,2024-01-30,2025-05-30,-3243.0,-120.11111111111111,27
3,BO,1,2021-06-02,2022-09-29,53640.0,1341.0,40
3,BO,2,2022-09-29,2024-01-30,2667.0,72.08108108108108,37
3,BO,3,2024-01-30,2025-05-30,17568.0,366.0,48
4,TF_M,1,2021-06-02,2022-09-29,42604.0,968.2727272727273,44
4,TF_M,2,2022-09-29,2024-01-30,31032.0,596.7692307692307,52
4,TF_M,3,2024-01-30,2025-05-30,14032.0,269.84615384615387,52
5,TF_M,1,2021-06-02,2022-09-29,54500.0,990.9090909090909,55
5,TF_M,2,2022-09-29,2024-01-30,10307.0,133.85714285714286,77
5,TF_M,3,2024-01-30,2025-05-30,11771.0,145.320987654321,81
6,BO,1,2021-06-02,2022-09-29,5604.0,127.36363636363636,44
6,BO,2,2022-09-29,2024-01-30,4140.0,103.5,40
6,BO,3,2024-01-30,2025-05-30,40095.0,891.0,45
7,BO,1,2021-06-02,2022-09-29,6604.0,150.0909090909091,44
7,BO,2,2022-09-29,2024-01-30,4640.0,116.0,40
7,BO,3,2024-01-30,2025-05-30,29595.0,657.6666666666666,45
8,BO,1,2021-06-02,2022-09-29,586.0,12.73913043478261,46
8,BO,2,2022-09-29,2024-01-30,-110.0,-2.75,40
8,BO,3,2024-01-30,2025-05-30,43336.0,942.0869565217391,46
9,TF_M,1,2021-06-02,2022-09-29,80541.0,1579.235294117647,51
9,TF_M,2,2022-09-29,2024-01-30,32132.0,479.5820895522388,67
9,TF_M,3,2024-01-30,2025-05-30,-702.0,-9.0,78
10,TF_M,1,2021-06-02,2022-09-29,14550.0,291.0,50
10,TF_M,2,2022-09-29,2024-01-30,29460.0,491.0,60
10,TF_M,3,2024-01-30,2025-05-30,7496.0,133.85714285714286,56
11,BO,1,2021-06-02,2022-09-29,14604.0,331.90909090909093,44
11,BO,2,2022-09-29,2024-01-30,-5360.0,-134.0,40
11,BO,3,2024-01-30,2025-05-30,39586.0,860.5652173913044,46
12,TF_M,1,2021-06-02,2022-09-29,44550.0,891.0,50
12,TF_M,2,2022-09-29,2024-01-30,5731.0,86.83333333333333,66
12,TF_M,3,2024-01-30,2025-05-30,18807.0,244.24675324675326,77
13,TF_M,1,2021-06-02,2022-09-29,22059.0,450.18367346938777,49
13,TF_M,2,2022-09-29,2024-01-30,21951.0,359.8524590163934,61
13,TF_M,3,2024-01-30,2025-05-30,2005.0,36.45454545454545,55
14,BO,1,2021-06-02,2022-09-29,15622.0,371.95238095238096,42
14,BO,2,2022-09-29,2024-01-30,-1360.0,-34.0,40
14,BO,3,2024-01-30,2025-05-30,35595.0,791.0,45
15,TF_U,1,2021-06-02,2022-09-29,35904.0,381.9574468085106,94
15,TF_U,2,2022-09-29,2024-01-30,25377.0,261.6185567010309,97
15,TF_U,3,2024-01-30,2025-05-30,30492.0,272.25,112
16,TF_M,1,2021-06-02,2022-09-29,41847.0,890.3617021276596,47
16,TF_M,2,2022-09-29,2024-01-30,49810.0,905.6363636363636,55
16,TF_M,3,2024-01-30,2025-05-30,39856.0,781.4901960784314,51
17,BO,1,2021-06-02,2022-09-29,47356.0,1155.0243902439024,41
17,BO,2,2022-09-29,2024-01-30,-4647.0,-122.28947368421052,38
17,BO,3,2024-01-30,2025-05-30,29443.0,613.3958333333334,48
18,BO,1,2021-06-02,2022-09-29,51640.0,1291.0,40
18,BO,2,2022-09-29,2024-01-30,8862.0,239.51351351351352,37
18,BO,3,2024-01-30,2025-05-30,28518.0,594.125,48
19,TF_M,1,2021-06-02,2022-09-29,57588.0,1199.75,48
19,TF_M,2,2022-09-29,2024-01-30,19129.0,324.22033898305085,59
19,TF_M,3,2024-01-30,2025-05-30,27874.0,516.1851851851852,54
20,TF_M,1,2021-06-02,2022-09-29,20227.0,430.36170212765956,47
20,TF_M,2,2022-09-29,2024-01-30,59769.0,1013.0338983050848,59
20,TF_M,3,2024-01-30,2025-05-30,34638.0,653.5471698113207,53
21,TF_M,1,2021-06-02,2022-09-29,44307.0,942.7021276595744,47
21,TF_M,2,2022-09-29,2024-01-30,58440.0,1062.5454545454545,55
21,TF_M,3,2024-01-30,2025-05-30,33661.0,660.0196078431372,51
22,TF_M,1,2021-06-02,2022-09-29,50588.0,1053.9166666666667,48
22,TF_M,2,2022-09-29,2024-01-30,29129.0,493.7118644067797,59
22,TF_M,3,2024-01-30,2025-05-30,22634.0,419.14814814814815,54
23,TF_M,1,2021-06-02,2022-09-29,34464.0,703.3469387755102,49
23,TF_M,2,2022-09-29,2024-01-30,37066.0,607.639344262295,61
23,TF_M,3,2024-01-30,2025-05-30,18569.0,343.8703703703704,54
24,TF_M,1,2021-06-02,2022-09-29,28222.0,600.468085106383,47
24,TF_M,2,2022-09-29,2024-01-30,52594.0,891.4237288135594,59
24,TF_M,3,2024-01-30,2025-05-30,34588.0,652.6037735849056,53
25,TF_M,1,2021-06-02,2022-09-29,54588.0,1137.25,48
25,TF_M,2,2022-09-29,2024-01-30,23999.0,406.76271186440675,59
25,TF_M,3,2024-01-30,2025-05-30,16874.0,312.48148148148147,54
26,TF_M,1,2021-06-02,2022-09-29,41474.0,942.5909090909091,44
26,TF_M,2,2022-09-29,2024-01-30,31032.0,596.7692307692307,52
26,TF_M,3,2024-01-30,2025-05-30,14032.0,269.84615384615387,52
27,TF_M,1,2021-06-02,2022-09-29,34732.0,738.9787234042553,47
27,TF_M,2,2022-09-29,2024-01-30,55992.0,982.3157894736842,57
27,TF_M,3,2024-01-30,2025-05-30,22108.0,417.1320754716981,53
28,TF_M,1,2021-06-02,2022-09-29,37224.0,759.6734693877551,49
28,TF_M,2,2022-09-29,2024-01-30,39851.0,653.2950819672132,61
28,TF_M,3,2024-01-30,2025-05-30,19839.0,367.3888888888889,54
29,BO,1,2021-06-02,2022-09-29,25077.0,597.0714285714286,42
29,BO,2,2022-09-29,2024-01-30,10954.0,280.87179487179486,39
29,BO,3,2024-01-30,2025-05-30,23199.0,473.44897959183675,49
30,BO,1,2021-06-02,2022-09-29,38572.0,1205.375,32
30,BO,2,2022-09-29,2024-01-30,-4324.0,-120.11111111111111,36
30,BO,3,2024-01-30,2025-05-30,48748.0,1741.0,28
31,TF_U,1,2021-06-02,2022-09-29,16044.0,364.6363636363636,44
31,TF_U,2,2022-09-29,2024-01-30,34551.0,677.4705882352941,51
31,TF_U,3,2024-01-30,2025-05-30,17406.0,263.72727272727275,66
