n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_stop_loss,p_take_profit,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
1860,283120.0,978388.0,695268.0,1.4072098816571452,0.5688172043010753,152.21505376344086,924.7523629489604,-866.9177057356609,19548.0,15891.0,0.19548,10,10,1.0,186.0,37.49133233162033,0.2015663028581738,77,0.03528892342469624,14.483323102107633,128.42356597909014,1.639871412209045,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,2500,10000,757,88377.0,1009033.0,920656.0,1.0959935089762083,0.43989431968295906,116.74636723910172,3030.129129129129,-2171.3584905660377,45261.0,40515.0,0.45261,5,3,0.6,151.4,45.4954942824012,0.3004986412311836,78,0.11304977539405049,1.9526082057400411,387.68658135035133,0.8265795526038185,True,False,False
1860,279635.0,974903.0,695268.0,1.4021974260285242,0.5688172043010753,150.34139784946237,921.4584120982987,-866.9177057356609,19548.0,15891.0,0.19548,10,10,1.0,186.0,37.49133233162033,0.2015663028581738,77,0.03774920879002986,14.305043994270514,130.0240670874533,1.6196857952566979,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,2500,0,757,83942.0,1004598.0,920656.0,1.0911762916876662,0.43989431968295906,110.887714663144,3016.810810810811,-2171.3584905660377,52653.0,41735.0,0.52653,5,3,0.6,151.4,45.4954942824012,0.3004986412311836,78,0.19312144099497272,1.5942491405997758,474.8316813990612,0.7279058792898769,True,False,False
1860,273585.0,968853.0,695268.0,1.3934957455254664,0.5688172043010753,147.08870967741936,915.7400756143667,-866.9177057356609,18751.0,15891.0,0.18751,10,10,1.0,186.0,37.49133233162033,0.2015663028581738,77,0.02738088711003893,14.590421844168311,127.48089259279566,1.6179700415887277,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,2500,7500,757,100417.0,1016055.0,915638.0,1.109668886612395,0.4425363276089828,132.65125495376486,3033.0,-2169.7582938388628,45919.0,43015.0,0.45919,5,4,0.8,151.4,45.4954942824012,0.3004986412311836,78,0.07459892249320334,2.1868289814673663,346.16332891841023,0.932434871085762,True,False,False
1878,260943.0,947194.0,686251.0,1.3802442546531808,0.553248136315229,138.94728434504793,911.6400384985564,-817.9392133492253,17418.0,14614.0,0.17418,10,10,1.0,187.8,35.96887543418615,0.19152755822250347,82,0.038288055245781646,14.98122631760248,125.35689403432933,1.5858214018700034,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,1750,10000,794,72544.0,906621.0,834077.0,1.0869751833463817,0.36649874055415615,91.36523929471032,3115.536082474227,-1658.2047713717693,60147.0,58297.0,0.60147,5,4,0.8,158.8,49.09745410914908,0.30917792260169447,82,0.13772331274812527,1.2061116930187707,658.3138233348037,0.5611479302647605,True,False,False
1838,271908.0,946488.0,674580.0,1.403077470426043,0.5647442872687704,147.93688792165398,911.8381502890173,-843.225,19965.0,16959.0,0.19965,10,10,1.0,183.8,39.37207131965501,0.21421148704926551,72,0.03674404578019036,13.619233658903081,134.95619842005382,1.5770489580622569,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,8,1,5,91,5,14,28,28,3,1,152,103,52,141,4,4,2250,10000,694,54774.0,863241.0,808467.0,1.0677504462148733,0.41210374639769454,78.9250720461095,3018.3251748251746,-1981.5367647058824,59960.0,55843.0,0.5996,5,3,0.6,138.8,45.28752587633818,0.3262790048727534,64,0.18240406032059006,0.9135090060040026,759.7078906050316,0.4854980943600396,True,False,False
1878,257458.0,943709.0,686251.0,1.375165937827413,0.553248136315229,137.0915867944622,908.2858517805582,-817.9392133492253,17418.0,14614.0,0.17418,10,10,1.0,187.8,35.96887543418615,0.19152755822250347,82,0.0410008622765655,14.781145940980595,127.05374857258272,1.564642111429114,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,1750,0,794,68314.0,902391.0,834077.0,1.0819037091299724,0.36649874055415615,86.03778337531486,3101.0,-1658.2047713717693,60147.0,58297.0,0.60147,5,4,0.8,158.8,49.09745410914908,0.30917792260169447,82,0.23730128524167812,1.1357839958767686,699.0765875223234,0.5284277088126771,True,False,False
1878,251408.0,937659.0,686251.0,1.366349921530169,0.553248136315229,133.87007454739083,902.4629451395573,-817.9392133492253,16738.0,14614.0,0.16738,10,10,1.0,187.8,35.96887543418615,0.19152755822250347,82,0.02979618786991663,15.02019357151392,125.03167759180297,1.5586014579048229,2012-01-10 02:45:00,2021-06-02 13:15:00,BIAS,7,2,5,91,18,69,46,46,3,5,152,103,3,82,4,4,1750,7500,794,77019.0,907578.0,830559.0,1.0927315217823177,0.3690176322418136,97.00125944584383,3097.5358361774743,-1657.802395209581,51968.0,49047.0,0.51968,5,4,0.8,158.8,49.09745410914908,0.30917792260169447,82,0.09726171464184162,1.48204664408867,535.7456212103507,0.6409331376705492,True,False,False
1860,270575.0,951334.0,680759.0,1.3974607753992234,0.5639784946236559,145.47043010752688,906.8960915157293,-839.4069050554871,19965.0,16800.0,0.19965,10,10,1.0,186.0,38.04471053904866,0.2045414545110143,75,0.03692506698697219,13.552466816929627,137.2443869537097,1.5507558219788913,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,8,1,5,91,5,14,28,28,3,1,152,103,152,141,4,4,2250,10000,723,62973.0,876334.0,813361.0,1.077423186014574,0.42047026279391425,87.09958506224066,2882.6776315789475,-1941.1957040572793,57252.0,53135.0,0.57252,5,3,0.6,144.6,44.11621017267916,0.30509135665753223,72,0.15865529671446493,1.0999266401173757,657.3165642418179,0.5483074028121345,True,False,False
1836,265221.0,921590.0,656369.0,1.404073013807782,0.5610021786492375,144.4558823529412,894.747572815534,-814.3535980148883,19701.0,17896.0,0.19701,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.028244369789722532,13.462311557788945,136.3807390817469,1.5502239797012194,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,2000,7500,692,71627.0,829934.0,758307.0,1.0944564668399475,0.3959537572254335,103.50722543352602,3028.956204379562,-1814.1315789473683,39311.0,34676.0,0.39311,5,4,0.8,138.4,45.95040805041888,0.33201161886140806,62,0.10458346712831754,1.8220599832108062,379.7899116255043,0.7863519645135506,True,False,False
1836,265981.0,940561.0,674580.0,1.394291262711613,0.5642701525054467,144.869825708061,907.8774131274131,-843.225,19965.0,16959.0,0.19965,10,10,1.0,183.6,39.49734168270062,0.21512713334804262,72,0.037562833435470955,13.32236413724017,137.81337764727556,1.5443532096508092,2012-01-10 01:30:00,2021-06-02 13:15:00,BIAS,7,1,5,91,5,14,28,28,3,1,142,103,52,141,4,4,2250,10000,692,47042.0,853250.0,806208.0,1.0583497062792728,0.41184971098265893,67.97976878612717,2993.8596491228072,-1980.8550368550368,59960.0,55843.0,0.5996,5,3,0.6,138.4,45.95040805041888,0.33201161886140806,62,0.21238467752221418,0.7845563709139426,882.0271246970792,0.4181693769176322,False,False,False
