n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,unger_score,top_trade_pct,np_dd,recovery_trades,first_trade,last_trade,engine,phase,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_stop_loss,p_take_profit,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
156,166266.0,286197.0,119931.0,2.3863471496110265,0.5897435897435898,1065.8076923076924,3110.836956521739,-1873.921875,13986.0,12274.0,0.13986,10,8,0.8,15.6,3.4698703145794947,0.22242758426791634,9,13.574862618203046,0.06757845861450928,11.888030888030888,13.122442351412795,2012-03-26 07:00:00,2021-05-28 01:00:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,4000,10000,66,-18939.0,156926.0,175865.0,0.8923094419014586,0.3181818181818182,-286.95454545454544,7472.666666666667,-3908.1111111111113,51284.0,47698.0,0.51284,5,3,0.6,13.2,5.114684741017769,0.3874761167437704,7,0.0,0.0,0.0,0.0,False,False,False
156,201476.0,321407.0,119931.0,2.679932627927725,0.5897435897435898,1291.5128205128206,3493.554347826087,-1873.921875,20715.0,12274.0,0.20715,10,8,0.8,15.6,3.4698703145794947,0.22242758426791634,9,13.516355552158789,0.11438583255573864,9.726092203717114,16.039329746471044,2012-03-26 07:00:00,2021-05-28 01:00:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,4000,0,66,-13004.0,162861.0,175865.0,0.9260569186591988,0.3181818181818182,-197.03030303030303,7755.285714285715,-3908.1111111111113,45843.0,40043.0,0.45843,5,3,0.6,13.2,5.114684741017769,0.3874761167437704,7,0.0,0.0,0.0,0.0,False,False,False
156,194621.0,321407.0,126786.0,2.535035414004701,0.5897435897435898,1247.570512820513,3493.554347826087,-1981.03125,20715.0,14557.0,0.20715,10,7,0.7,15.6,3.4698703145794947,0.22242758426791634,9,13.056476373943775,0.11841476510756804,9.395172580255853,16.604271892550134,2012-03-26 07:00:00,2021-05-28 01:00:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,5000,0,66,22416.0,205046.0,182630.0,1.1227399660515798,0.3939393939393939,339.6363636363636,7886.384615384615,-4565.75,44577.0,39593.0,0.44577,5,4,0.8,13.2,5.114684741017769,0.3874761167437704,7,0.894941113490364,0.5028602193956525,131.24919700214133,2.42304856275946,False,False,False
157,188942.0,310984.0,122042.0,2.548171940807263,0.5668789808917197,1203.4522292993631,3494.2022471910113,-1794.735294117647,20715.0,9981.0,0.20715,10,7,0.7,15.7,3.4365680554879163,0.2188896850629246,9,12.594755516859268,0.1219739390924199,9.121023412985759,17.2129807030729,2012-03-26 07:00:00,2021-05-28 01:00:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,3000,0,67,4777.0,149623.0,144846.0,1.0329798544661226,0.26865671641791045,71.29850746268657,8312.388888888889,-2956.0408163265306,39531.0,34323.0,0.39531,5,3,0.6,13.4,5.314132102234569,0.3965770225548186,7,3.6583629893238436,0.1208418709367332,554.4435838392296,0.5401506374135006,False,False,False
165,193875.0,324022.0,130147.0,2.489661690242572,0.5878787878787879,1175.0,3340.4329896907216,-1913.9264705882354,20715.0,14557.0,0.20715,10,7,0.7,16.5,3.4132096331752027,0.20686118988940622,9,12.296988091438713,0.11887040618955512,9.359160028964519,17.629787234042553,2012-03-15 00:00:00,2021-05-28 01:00:00,BIASW,8,0,4,700,100,3,0,0,100,144,20,29,153,5000,0,66,22416.0,205046.0,182630.0,1.1227399660515798,0.3939393939393939,339.6363636363636,7886.384615384615,-4565.75,44577.0,39593.0,0.44577,5,4,0.8,13.2,5.114684741017769,0.3874761167437704,7,0.894941113490364,0.5028602193956525,131.24919700214133,2.42304856275946,False,False,False
156,159411.0,286197.0,126786.0,2.257323363778335,0.5897435897435898,1021.8653846153846,3110.836956521739,-1981.03125,15931.0,14557.0,0.15931,10,7,0.7,15.6,3.4698703145794947,0.22242758426791634,9,12.194823630987187,0.07048447095871678,10.006339840562426,15.590116114948152,2012-03-26 07:00:00,2021-05-28 01:00:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,5000,10000,66,18991.0,199982.0,180991.0,1.1049278693415694,0.4090909090909091,287.74242424242425,7406.740740740741,-4640.794871794872,37162.0,33434.0,0.37162,5,4,0.8,13.2,5.114684741017769,0.3874761167437704,7,0.5260913064082987,0.5110327754157473,129.15022905586858,2.248317875544594,False,False,False
163,188063.0,322585.0,134522.0,2.3980092475580204,0.5828220858895705,1153.760736196319,3395.6315789473683,-1978.264705882353,20715.0,16325.0,0.20715,10,7,0.7,16.3,3.7960505792204615,0.2328865386024823,9,12.07470811351123,0.12254404109261258,9.078590393434709,17.95432913438582,2012-03-26 07:00:00,2021-05-28 01:00:00,BIASW,8,0,4,700,100,3,0,0,100,144,20,152,62,5000,0,70,13030.0,207747.0,194717.0,1.0669176291746483,0.38571428571428573,186.14285714285714,7694.333333333333,-4528.302325581395,49586.0,44602.0,0.49586,5,3,0.6,14.0,5.403702434442518,0.38597874531732274,7,1.5396009209516501,0.26277578348727465,266.38679969301614,1.2591289005752737,False,False,False
160,123830.0,191881.0,68051.0,2.8196646632672553,0.4125,773.9375,2907.287878787879,-723.9468085106383,9485.0,5313.0,0.09485,10,9,0.9,16.0,3.3763886032268267,0.21102428770167667,9,11.969901519340414,0.09073730113865784,13.055350553505535,12.25551158846806,2012-03-26 07:00:00,2021-05-28 01:00:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,750,10000,68,2128.0,49186.0,47058.0,1.045220791363849,0.08823529411764706,31.294117647058822,8197.666666666666,-759.0,17439.0,15180.0,0.17439,5,2,0.4,13.6,5.083306010855534,0.373772500798201,7,4.695018796992481,0.12202534548999369,557.2612781954888,0.3569482661516352,False,False,False
157,152977.0,275019.0,122042.0,2.253478310745481,0.5668789808917197,974.375796178344,3090.1011235955057,-1794.735294117647,15396.0,9981.0,0.15396,10,7,0.7,15.7,3.4365680554879163,0.2188896850629246,9,11.828396956612439,0.07344894984213313,9.93615224733697,15.800885100374565,2012-03-26 07:00:00,2021-05-28 01:00:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,3000,10000,67,-2618.0,142228.0,144846.0,0.9819256313602033,0.26865671641791045,-39.07462686567164,7901.555555555556,-2956.0408163265306,35001.0,29793.0,0.35001,5,2,0.4,13.4,5.314132102234569,0.3965770225548186,7,0.0,0.0,0.0,0.0,False,False,False
156,143336.0,263267.0,119931.0,2.1951538801477515,0.5897435897435898,918.8205128205128,2861.5978260869565,-1873.921875,13986.0,12274.0,0.13986,10,8,0.8,15.6,3.4698703145794947,0.22242758426791634,9,11.702732418189838,0.052261818384774235,10.248534248534249,15.221688898811186,2012-03-26 07:00:00,2021-05-28 01:00:00,BIASW,7,0,4,700,100,3,0,0,100,144,20,29,62,4000,7500,67,-23748.0,149053.0,172801.0,0.862570239755557,0.34328358208955223,-354.44776119402985,6480.565217391304,-3927.2954545454545,71945.0,67480.0,0.71945,5,2,0.4,13.4,4.882622246293481,0.3643747944995135,7,0.0,0.0,0.0,0.0,False,False,False
