n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_level_source,p_n_sess,p_lev_include_sess0,p_breakout_offset_ticks,p_intraday_only,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
118,138603.0,226391.0,87788.0,2.5788376543491136,0.2627118644067797,1174.6016949152543,7302.935483870968,-1009.0574712643678,15242.0,13117.0,0.15242,10,9,0.9,11.8,5.362835071116769,0.45447754839972615,6,0.05404644921105604,9.093491667760137,12.976313644004819,14.33088461192623,2012-01-10 13:15:00,2021-06-02 13:15:00,BO,5,0,5,0,0,0,47,7,-34,28,13,6,-1,1000,7500,0,123,-13607.0,97383.0,110990.0,0.8774033696729435,0.10569105691056911,-110.6260162601626,7491.0,-1009.0,39875.0,37639.0,0.39875,5,2,0.4,24.6,6.343500610861482,0.2578658784903041,15,0.0,0.0,0.0,0.0,False,False,False
138,136043.0,294108.0,158065.0,1.8606775693543796,0.7101449275362319,985.8188405797101,3001.1020408163267,-3951.625,12944.0,10054.0,0.12944,10,10,1.0,13.8,7.138627319029899,0.5172918347123115,6,0.029262806612615128,10.510120519159456,13.13020148041428,13.051673966855056,2012-01-12 11:15:00,2021-06-02 13:15:00,BO,5,0,4,0,0,0,47,7,-1,38,5,4,-1,4000,3000,0,124,90884.0,251244.0,160360.0,1.5667498129209279,0.6774193548387096,732.9354838709677,2991.0,-4009.0,28286.0,25261.0,0.28286,5,5,1.0,24.8,6.04648658313239,0.24380994286824154,17,0.032910083182958495,3.213038252138867,38.59275560054575,6.564223113516457,True,True,True
78,115548.0,189829.0,74281.0,2.55555256391271,0.24358974358974358,1481.3846153846155,9991.0,-1259.0,29364.0,21403.0,0.29364,9,8,0.8888888888888888,8.666666666666666,5.312459150169742,0.6129760557888164,5,0.0864662304843009,3.935022476501839,19.82199605358812,13.02157680963999,2012-02-03 12:00:00,2021-05-11 03:00:00,BO,5,0,5,0,2,0,47,48,35,50,10,5,-1,1250,10000,0,90,44190.0,139874.0,95684.0,1.4618326993018687,0.15555555555555556,491.0,9991.0,-1259.0,39050.0,34074.0,0.3905,5,4,0.8,18.0,7.694153624668538,0.42745297914825214,6,0.226091875990043,1.1316261203585147,79.53156822810591,3.742607880256471,False,False,False
135,138450.0,241373.0,102923.0,2.34518037756381,0.24444444444444444,1025.5555555555557,7314.333333333333,-1009.0490196078431,17304.0,14126.0,0.17304,10,9,0.9,13.5,5.903388857258177,0.43728806350060573,6,0.054106175514626216,8.001040221914009,16.872806067172263,11.743276673232655,2012-01-10 13:15:00,2021-06-02 13:15:00,BO,6,0,5,0,0,0,47,56,-34,28,13,6,-1,1000,7500,0,131,-13179.0,104874.0,118053.0,0.8883637010495286,0.10687022900763359,-100.6030534351145,7491.0,-1009.0,38008.0,34184.0,0.38008,5,1,0.2,26.2,6.11228271597445,0.23329323343413932,18,0.0,0.0,0.0,0.0,False,False,False
113,103983.0,172293.0,68310.0,2.522222222222222,0.20353982300884957,920.2035398230089,7491.0,-759.0,13947.0,10626.0,0.13947,10,9,0.9,11.3,5.330103188494572,0.4716905476543869,5,0.07204062202475404,7.455581845558185,15.156429416346903,11.736722970979347,2012-02-03 12:00:00,2021-05-04 18:00:00,BO,5,0,5,0,2,0,47,48,35,50,10,5,-1,750,7500,0,93,20163.0,82401.0,62238.0,1.323966065747614,0.11827956989247312,216.80645161290323,7491.0,-759.0,33847.0,28842.0,0.33847,5,3,0.6,18.6,8.16333265278342,0.4388888523001839,6,0.37152209492635024,0.5957101072473188,156.11620294599018,1.7750699238682073,False,False,False
130,101590.0,157311.0,55721.0,2.8231905385761205,0.16153846153846155,781.4615384615385,7491.0,-511.20183486238534,10629.0,7635.0,0.10629,10,9,0.9,13.0,5.830951894845301,0.44853476114194624,5,0.07373757259572793,9.557813529024367,13.60143714932572,11.417335397847726,2012-02-03 12:00:00,2021-05-04 18:00:00,BO,5,0,5,0,2,0,47,48,35,50,10,5,-1,500,7500,0,96,31136.0,74910.0,43774.0,1.7112898067345914,0.10416666666666667,324.3333333333333,7491.0,-509.0,24856.0,19851.0,0.24856,5,3,0.6,19.2,8.704022058795577,0.4533344822289363,6,0.24058967112024665,1.2526552944962988,76.63720452209661,3.0986984870238827,False,False,False
135,130015.0,233947.0,103932.0,2.250962167571104,0.23703703703703705,963.074074074074,7310.84375,-1009.0485436893204,16780.0,15135.0,0.1678,10,9,0.9,13.5,6.48459713474939,0.48034052849995484,6,0.05811637118793985,7.748212157330155,17.423374226050843,11.198686015828486,2012-01-10 13:15:00,2021-06-02 13:15:00,BO,6,0,5,0,0,0,47,7,52,28,13,6,-1,1000,7500,0,136,-18224.0,104874.0,123098.0,0.8519553526458594,0.10294117647058823,-134.0,7491.0,-1009.0,40456.0,38220.0,0.40456,5,2,0.4,27.2,7.807688518377254,0.28704737199916375,16,0.0,0.0,0.0,0.0,False,False,False
120,114320.0,226391.0,112071.0,2.020067635695229,0.25833333333333336,952.6666666666666,7302.935483870968,-1259.2247191011236,16892.0,16367.0,0.16892,10,8,0.8,12.0,5.291502622129181,0.44095855184409843,6,0.06552659202239328,6.767700686715605,17.731280615815255,11.040882500020025,2012-01-10 13:15:00,2021-06-02 13:15:00,BO,5,0,5,0,0,0,47,7,-34,28,13,6,-1,1250,7500,0,121,-12339.0,119856.0,132195.0,0.9066606150005674,0.1322314049586777,-101.97520661157024,7491.0,-1259.0,31070.0,25936.0,0.3107,5,1,0.2,24.2,5.912698199637793,0.24432637188585923,15,0.0,0.0,0.0,0.0,False,False,False
147,95702.0,182476.0,86774.0,2.102887961831885,0.41496598639455784,651.0340136054422,2991.409836065574,-1009.0,8099.0,6054.0,0.08099,10,9,0.9,14.7,5.514526271584895,0.37513784160441466,5,0.031514492905059456,11.816520558093591,12.440210235940732,10.896608166417204,2012-02-03 12:00:00,2021-05-04 15:45:00,BO,5,0,5,0,2,0,47,48,35,50,10,5,-1,1000,3000,0,104,7064.0,83748.0,76684.0,1.092118303687862,0.2692307692307692,67.92307692307692,2991.0,-1009.0,18674.0,16324.0,0.18674,5,3,0.6,20.8,9.19565114605812,0.44209861279125573,6,0.4234144960362401,0.37827996144371856,274.9286523216308,0.7486899935576556,False,False,False
154,133234.0,235193.0,101959.0,2.3067409448896123,0.34415584415584416,865.1558441558442,4437.603773584906,-1009.4950495049505,14517.0,13671.0,0.14517,10,9,0.9,15.4,6.6513156593263565,0.4319036142419712,8,0.03370761217106744,9.17779155472894,16.779635828692374,10.815815294388004,2012-01-12 11:15:00,2021-06-02 13:15:00,BO,5,0,4,0,0,0,47,7,-1,38,5,4,-1,1000,4500,0,128,-2652.0,103293.0,105945.0,0.9749681438482232,0.1796875,-20.71875,4491.0,-1009.0,23647.0,22040.0,0.23647,5,2,0.4,25.6,6.2801273872430325,0.24531747606418094,18,0.0,0.0,0.0,0.0,False,False,False
