n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_level_choice,p_level_shift,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_start_hour,p_end_hour,p_not_le_day,p_not_se_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
164,78034.0,119927.0,41893.0,2.86269782541236,0.6524390243902439,475.8170731707317,1120.8130841121495,-734.9649122807018,5462.0,4609.0,0.05462,10,9,0.9,16.4,5.6780278266313555,0.34622120894093633,7,0.07677422661916601,14.28670816550714,11.479201373760157,9.69767282470564,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1250,6000,0,149,-49621.0,76728.0,126349.0,0.6072703385068342,0.2550335570469799,-333.0268456375839,2019.157894736842,-1138.2792792792793,67282.0,63706.0,0.67282,5,2,0.4,29.8,15.445387661046258,0.5183015993639684,12,0.0,0.0,0.0,0.0,False,False,False
174,72869.0,118097.0,45228.0,2.611147961439816,0.6149425287356322,418.78735632183907,1103.7102803738317,-675.044776119403,4233.0,3609.0,0.04233,10,9,0.9,17.4,6.374950980203691,0.3663764931151547,7,0.0547695179019885,17.21450507914009,10.107755012419547,9.69555739890261,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1000,4000,0,164,-32011.0,84494.0,116505.0,0.7252392601175915,0.23780487804878048,-195.1890243902439,2166.5128205128203,-932.04,49202.0,45626.0,0.49202,5,1,0.2,32.8,17.814600753314682,0.5431280717473989,12,0.0,0.0,0.0,0.0,False,False,False
164,76464.0,118357.0,41893.0,2.825221397369489,0.6524390243902439,466.2439024390244,1106.1401869158879,-734.9649122807018,5462.0,4609.0,0.05462,10,9,0.9,16.4,5.6780278266313555,0.34622120894093633,7,0.06527254655785729,13.999267667521055,11.714898514333543,9.502561125513136,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1250,5000,0,150,-47140.0,79209.0,126349.0,0.626906425852203,0.26,-314.26666666666665,2031.0,-1138.2792792792793,64086.0,60510.0,0.64086,5,2,0.4,30.0,15.811388300841896,0.5270462766947299,12,0.0,0.0,0.0,0.0,False,False,False
164,76389.0,118282.0,41893.0,2.823431122144511,0.6524390243902439,465.7865853658537,1105.4392523364486,-734.9649122807018,5462.0,4609.0,0.05462,10,9,0.9,16.4,5.6780278266313555,0.34622120894093633,7,0.05224574218801136,13.985536433540828,11.726400397963056,9.493240502940246,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1250,4000,0,150,-39525.0,85361.0,124886.0,0.6835113623624746,0.2733333333333333,-263.5,2081.9756097560976,-1145.7431192660551,55716.0,52140.0,0.55716,5,1,0.2,30.0,15.811388300841896,0.5270462766947299,12,0.0,0.0,0.0,0.0,False,False,False
174,74514.0,119742.0,45228.0,2.647519235871584,0.6149425287356322,428.2413793103448,1119.0841121495328,-675.044776119403,4789.0,3609.0,0.04789,10,9,0.9,17.4,6.374950980203691,0.3663764931151547,7,0.08040099847008615,15.559406974316142,11.182945486754168,9.321151469034081,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1000,6000,0,163,-41857.0,75861.0,117718.0,0.6444299087650147,0.22085889570552147,-256.7914110429448,2107.25,-926.9133858267717,60518.0,56942.0,0.60518,5,2,0.4,32.6,17.453939383417143,0.5353969136017528,12,0.0,0.0,0.0,0.0,False,False,False
164,74839.0,116732.0,41893.0,2.786432100828301,0.6524390243902439,456.3353658536585,1090.9532710280373,-734.9649122807018,5462.0,4609.0,0.05462,10,9,0.9,16.4,5.6780278266313555,0.34622120894093633,7,0.06000881893130587,13.701757597949468,11.969267360600757,9.300614303100513,2012-05-07 16:00:00,2021-05-04 13:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1250,4500,0,150,-50765.0,75584.0,126349.0,0.5982160523628995,0.26,-338.43333333333334,1938.051282051282,-1138.2792792792793,66211.0,62635.0,0.66211,5,2,0.4,30.0,15.811388300841896,0.5270462766947299,12,0.0,0.0,0.0,0.0,False,False,False
174,72944.0,118172.0,45228.0,2.612806226231538,0.6149425287356322,419.2183908045977,1104.411214953271,-675.044776119403,4789.0,3609.0,0.04789,10,9,0.9,17.4,6.374950980203691,0.3663764931151547,7,0.06842235139284931,15.231572353309668,11.423640052643124,9.124756056005877,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1000,5000,0,164,-39376.0,78342.0,117718.0,0.6655057000628621,0.22560975609756098,-240.09756097560975,2117.3513513513512,-926.9133858267717,57322.0,54107.0,0.57322,5,2,0.4,32.8,17.814600753314682,0.5431280717473989,12,0.0,0.0,0.0,0.0,False,False,False
182,75817.0,118566.0,42749.0,2.773538562305551,0.5824175824175825,416.5769230769231,1118.5471698113208,-562.4868421052631,4928.0,3368.0,0.04928,10,9,0.9,18.2,7.249827584156742,0.3983421749536672,7,0.07901921732592954,15.384943181818182,11.829747945711384,8.938470536875398,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,750,6000,0,176,-34624.0,66429.0,101053.0,0.6573679158461402,0.19318181818181818,-196.72727272727272,1953.7941176470588,-711.6408450704225,47684.0,44718.0,0.47684,5,0,0.0,35.2,19.051509126575773,0.5412360547322662,14,0.0,0.0,0.0,0.0,False,False,False
174,71319.0,116547.0,45228.0,2.576877155744229,0.6149425287356322,409.87931034482756,1089.2242990654206,-675.044776119403,4789.0,3609.0,0.04789,10,9,0.9,17.4,6.374950980203691,0.3663764931151547,7,0.06297059689563791,14.892253079974942,11.683927144239263,8.9214805488907,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,1000,4500,0,164,-43001.0,74717.0,117718.0,0.6347117688034115,0.22560975609756098,-262.2012195121951,2019.3783783783783,-926.9133858267717,59447.0,55871.0,0.59447,5,2,0.4,32.8,17.814600753314682,0.5431280717473989,12,0.0,0.0,0.0,0.0,False,False,False
182,74352.0,117101.0,42749.0,2.7392687548246744,0.5824175824175825,408.5274725274725,1104.7264150943397,-562.4868421052631,4928.0,3368.0,0.04928,10,9,0.9,18.2,7.249827584156742,0.3983421749536672,7,0.06712664084355498,15.087662337662337,12.062836238433398,8.76575387258477,2012-05-07 16:00:00,2021-05-04 09:45:00,LF,8,2,10,54,27,-1,39,8,11,13,1,0,4,1,750,5000,0,176,-30384.0,69910.0,100294.0,0.6970506710271801,0.19886363636363635,-172.63636363636363,1997.4285714285713,-711.3049645390071,44462.0,43338.0,0.44462,5,1,0.2,35.2,19.051509126575773,0.5412360547322662,14,0.0,0.0,0.0,0.0,False,False,False
