n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_bb_length,p_bb_num_devs,p_intraday_only,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
1968,290085.7336068015,1031225.9380125595,741140.2044057581,1.3914046652473677,0.5497967479674797,147.40128740183002,953.0738798637334,-836.5013593744447,23465.108916224737,20679.91656096524,0.23465108916224736,10,10,1.0,196.8,35.745768980398225,0.1816350049816983,90,0.03444154207715145,12.362428601651379,159.19202152052176,1.4494169778158759,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,5,10,1.5,1,66,103,81,128,11,6,4,2000,10000,0,907,7640.788931125055,995639.131647849,987998.342716724,1.0077336050079952,0.3936052921719956,8.424243584481868,2788.9051306662436,-1796.3606231213164,68206.13470297703,66118.18997362742,0.6820613470297703,5,2,0.4,181.4,54.84742473443945,0.3023562554268988,96,1.307587487373361,0.11202495148565506,8096.410558286585,0.04858727598727812,False,False,False
1975,283693.330709027,1027218.8922115294,743525.5615025024,1.3815515503404414,0.549367088607595,143.6421927640643,946.7455227756031,-835.4219792162949,22808.32887325628,20679.9165609653,0.22808328873256278,10,10,1.0,197.5,34.69654161440301,0.17567869171849626,94,0.02111787395574953,12.43814627040341,158.78571911471374,1.4326451954373656,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,5,10,1.5,1,66,103,81,128,11,6,4,2000,6000,0,936,-4821.883785083395,1001484.8930111781,1006306.7767962615,0.9952083361691803,0.3974358974358974,-5.151585240473713,2692.1636908902638,-1784.2318737522369,81449.37303804679,79748.19704542373,0.8144937303804679,5,2,0.4,187.2,57.02420538683551,0.30461648176728373,100,0.0,0.0,0.0,0.0,False,False,False
1970,286099.2992183568,1027681.1955396002,741581.8963212434,1.3857959594720506,0.5492385786802031,145.22807066921663,949.7977777630316,-835.1147481095084,23465.108916224766,20679.9165609653,0.23465108916224767,10,10,1.0,197.0,35.47393409251362,0.1800707314340793,91,0.02618321687772719,12.192540858846629,161.5741971100809,1.4280474410618542,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,5,10,1.5,1,66,103,81,128,11,6,4,2000,7500,0,916,1005.814284509448,1001894.2387983084,1000888.4245137989,1.0010049214876255,0.3962882096069869,1.0980505289404454,2760.0392253396926,-1809.9248182889673,69822.59121292236,67734.64648357275,0.6982259121292236,5,2,0.4,183.2,55.017815296501915,0.3003155856795956,98,7.447696970871201,0.014405284407767694,63587.77612929806,0.006259327843925002,False,False,False
1987,285050.75452115916,998550.2026927557,713499.4481715966,1.3995108268851868,0.5354806240563664,143.45785330707557,938.4870326059735,-773.0221540320657,23587.92553274377,19476.61913589231,0.23587925532743773,10,10,1.0,198.7,35.91670920337775,0.18075847611161425,92,0.03504989845328886,12.084604647639049,164.42407988814077,1.4069634271240046,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,5,10,1.5,1,66,103,81,128,11,6,4,1500,10000,0,934,21056.76917108953,895287.3144697772,874230.5452986876,1.0240860597748793,0.3361884368308351,22.54472073992455,2851.233485572539,-1410.0492666107866,53195.64802398307,50915.64307517746,0.5319564802398307,5,2,0.4,186.8,56.81689889460705,0.30415898765849597,97,0.47447924792362817,0.39583631280506554,2359.5611867473103,0.14723469562379868,False,False,False
1966,277116.26736402273,1018256.4717697809,741140.2044057581,1.3739053227941034,0.5493387589013224,140.95435776399935,942.8300664535008,-836.5013593744447,23465.108916224737,20679.91656096524,0.23465108916224736,10,10,1.0,196.6,35.98944289649397,0.18305922124361124,89,0.04151584007568493,11.809715793495132,166.47310014715896,1.386023438746012,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,5,10,1.5,1,66,103,81,128,11,6,4,2000,0,0,898,24164.425581512995,1007847.1900893764,983682.7645078634,1.0245652627588757,0.39420935412026725,26.909159890326276,2847.025960704453,-1808.2403759335725,66746.81461032288,64658.869880973274,0.6674681461032288,5,3,0.6,179.6,55.651055695287575,0.30986111188912907,92,0.678495747396847,0.36203114294799305,2480.449589744274,0.15688745630686599,False,False,False
1997,285475.7124456961,1059286.898205454,773811.1857597579,1.3689216668086865,0.5463194792188283,142.9522846498228,970.9320790150816,-854.0962315229116,24993.265286085254,22864.852973794274,0.24993265286085253,10,9,0.9,199.7,35.76604535030397,0.17909887506411604,95,0.034997723324363406,11.422105482336947,174.83641725145552,1.3620183408536197,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,6,10,1.5,1,66,153,81,128,11,6,4,2000,10000,368,953,39416.40838036391,1085540.9115510453,1046124.5031706813,1.0376785060104199,0.39244491080797483,41.360344575408085,2902.5158062862174,-1806.7780711065307,55708.74776603302,52034.21987272828,0.5570874776603302,5,3,0.6,190.6,59.71800398539791,0.3133158656106921,102,0.25347311971166864,0.7075443258194551,1346.912080591228,0.2639525151759185,False,False,False
1989,275467.17875974707,990708.045931955,715240.8671722078,1.3851390369356835,0.5349421820010055,138.4953136046994,931.1165845225141,-773.2333699159003,23587.92553274377,19476.61913589231,0.23587925532743773,10,10,1.0,198.9,35.64954417660905,0.1792335051614331,93,0.027193802302427437,11.678313057981935,170.31569458060991,1.3582933006308338,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,5,10,1.5,1,66,103,81,128,11,6,4,1500,7500,0,943,24565.069497338416,907052.0365871656,882486.9670898272,1.027836183891017,0.3404029692470838,26.049914631323876,2825.7072790877432,-1418.7893361572785,51262.94265775502,48385.742140553455,0.5126294265775502,5,2,0.4,188.6,56.96525256680602,0.3020426965366173,99,0.3049451987429401,0.47919741286295886,1967.8737294637267,0.17330372311508724,False,False,False
1993,275468.85690952704,991996.2681620021,716527.4112524749,1.384449851580714,0.535373808329152,138.21819212720874,929.7059682867873,-773.787701136582,23587.92553274377,19476.61913589231,0.23587925532743773,10,10,1.0,199.3,34.831164206784706,0.1747675073095068,96,0.02174837499677011,11.678384202423088,170.65717015770753,1.3555754307149546,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,5,10,1.5,1,66,103,81,128,11,6,4,1500,6000,0,960,15641.786903016036,909232.6006751389,893590.8137721228,1.0175044177513277,0.33958333333333335,16.29352802397504,2789.0570572857023,-1409.449233079058,52553.2136076413,50873.72011012661,0.525532136076413,5,2,0.4,192.0,58.41575130048402,0.3042487046900209,101,0.38301250599730524,0.2976371153969108,3225.404193021432,0.10705793138636523,False,False,False
1975,270612.93796268763,1027893.095279766,757280.1573170784,1.3573485127636589,0.5473417721518987,137.01920909503173,950.872428565926,-847.0695272003114,23465.108916224737,20679.91656096524,0.23465108916224736,10,10,1.0,197.5,35.83085262730989,0.18142203861929057,91,0.03691989036155237,11.532566881697905,171.25415532029643,1.3473285847758263,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,6,10,1.5,1,152,103,81,128,11,6,4,2000,10000,368,915,8563.276970677289,1008615.6196874012,1000052.342716724,1.0085628287689565,0.3923497267759563,9.35877264554895,2809.5142609676914,-1798.6552926559784,68206.13470297703,66118.18997362742,0.6820613470297703,5,2,0.4,183.0,55.65608681896347,0.304131621961549,97,1.1667262467641275,0.12554995247815331,7287.935852936442,0.05397722239051842,False,False,False
1985,272081.2882783804,985580.736449977,713499.4481715966,1.3813335651143277,0.5350125944584383,137.0686590823075,928.0421247174925,-773.0221540320657,23587.92553274377,19476.61913589231,0.23587925532743773,10,10,1.0,198.5,36.14484748895754,0.1820899117831614,91,0.042284108220203835,11.534769681237485,172.08839490127065,1.3443013811236466,2012-01-10 11:15:00,2021-06-02 13:15:00,RBB_U,5,10,1.5,1,66,103,81,128,11,6,4,1500,0,0,925,37080.40582147747,907495.3729113046,870414.9670898272,1.0426008366393942,0.3362162162162162,40.086925212408076,2917.991552769468,-1417.613952915028,48962.84366509742,46960.288952675866,0.48962843665097416,5,3,0.6,185.0,57.6576100788092,0.31166275718275244,93,0.4421596698342411,0.7573172439718774,1221.416793771501,0.27288067714483133,False,False,False
