n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_long_offset_ticks,p_short_offset_ticks,p_direction,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
199,97919.0,168506.0,70587.0,2.38721010951025,0.6331658291457286,492.05527638190955,1337.3492063492063,-966.945205479452,9093.0,7179.0,0.09093,10,10,1.0,19.9,6.699999999999999,0.33668341708542715,13,0.10203331324870556,10.76861321895964,18.479631123683863,7.772552287282729,2012-03-05 17:30:00,2021-05-24 23:00:00,RHL,7,80,80,1,55,46,46,53,2,1,4,2250,10000,0,123,17738.0,144535.0,126797.0,1.1398928996742825,0.4878048780487805,144.21138211382114,2408.9166666666665,-2012.6507936507937,34859.0,33074.0,0.34859,5,4,0.8,24.6,8.138795979750322,0.3308453650305009,12,0.5632540308941256,0.5088499383229582,241.72155823655427,1.1634438590059202,False,False,False
189,92379.0,162343.0,69964.0,2.3203790520839287,0.6243386243386243,488.77777777777777,1375.7881355932204,-985.4084507042254,9093.0,7179.0,0.09093,10,9,0.9,18.9,6.920260110718383,0.3661513286094383,10,0.10815228569263577,10.159353348729793,18.603546260513752,7.7207806053297885,2012-03-05 17:30:00,2021-05-24 23:00:00,RHL,7,80,80,1,55,46,46,6,2,1,4,2250,10000,0,123,17738.0,144535.0,126797.0,1.1398928996742825,0.4878048780487805,144.21138211382114,2408.9166666666665,-2012.6507936507937,34859.0,33074.0,0.34859,5,4,0.8,24.6,8.138795979750322,0.3308453650305009,12,0.5632540308941256,0.5088499383229582,241.72155823655427,1.1634438590059202,False,False,False
160,73020.0,126447.0,53427.0,2.3667246897636027,0.6375,456.375,1239.6764705882354,-921.1551724137931,8366.0,7523.0,0.08366,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.13682552725280744,8.728185512789864,18.331416050397152,7.515645214683952,2012-03-05 17:30:00,2021-05-24 23:00:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2250,10000,0,93,15768.0,107523.0,91755.0,1.1718489455615497,0.5161290322580645,169.5483870967742,2240.0625,-2039.0,33093.0,31308.0,0.33093,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.3850202942668696,0.47647538754419366,195.18321917808217,1.4038766404498306,False,False,False
160,70710.0,126447.0,55737.0,2.2686366327574143,0.6375,441.9375,1239.6764705882354,-960.9827586206897,7926.0,7527.0,0.07926,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.14129543204638664,8.921271763815291,17.934662706830718,7.477168630136062,2012-03-05 17:30:00,2021-05-24 23:00:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2500,10000,0,93,16133.0,111980.0,95847.0,1.1683203438813943,0.5376344086021505,173.4731182795699,2239.6,-2229.0,33018.0,31233.0,0.33018,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.37630942788074134,0.4886122720940093,190.3349655984628,1.4380042126639068,False,False,False
160,72335.0,125762.0,53427.0,2.3539034570535495,0.6375,452.09375,1232.9607843137255,-921.1551724137931,8366.0,7523.0,0.08366,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.1286514135618995,8.646306478603872,18.505011405267158,7.445141010739026,2012-03-05 17:30:00,2021-05-24 23:00:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2250,0,0,93,15768.0,107523.0,91755.0,1.1718489455615497,0.5161290322580645,169.5483870967742,2240.0625,-2039.0,33093.0,31308.0,0.33093,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.3850202942668696,0.47647538754419366,195.18321917808217,1.4038766404498306,False,False,False
160,70025.0,125762.0,55737.0,2.2563467714444623,0.6375,437.65625,1232.9607843137255,-960.9827586206897,7926.0,7527.0,0.07926,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.13289539450196358,8.834847337875347,18.11010353445198,7.4047338894820784,2012-03-05 17:30:00,2021-05-24 23:00:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2500,0,0,93,16133.0,111980.0,95847.0,1.1683203438813943,0.5376344086021505,173.4731182795699,2239.6,-2229.0,33018.0,31233.0,0.33018,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.37630942788074134,0.4886122720940093,190.3349655984628,1.4380042126639068,False,False,False
190,88600.0,161907.0,73307.0,2.2086158211357714,0.6157894736842106,466.3157894736842,1383.820512820513,-1004.2054794520548,9093.0,7179.0,0.09093,10,9,0.9,19.0,7.042726744663604,0.37066982866650544,10,0.11276523702031603,9.743758935444848,19.499661399548533,7.365968886098484,2012-03-05 17:30:00,2021-05-24 23:00:00,RHL,7,80,80,1,55,56,46,6,2,1,4,2250,10000,0,126,21381.0,152786.0,131405.0,1.1627107035500932,0.48412698412698413,169.6904761904762,2504.688524590164,-2021.6153846153845,37779.0,35994.0,0.37779,5,4,0.8,25.2,8.541662601625049,0.33895486514385115,12,0.4672840372293158,0.5659493369332169,222.63476918759645,1.3150297985101094,False,False,False
160,71140.0,124567.0,53427.0,2.3315364890411217,0.6375,444.625,1221.2450980392157,-921.1551724137931,8366.0,7523.0,0.08366,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.0701574360416081,8.503466411666269,18.815856058476243,7.322144625754811,2012-03-05 17:30:00,2021-05-24 16:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2250,5000,0,93,40158.0,127395.0,87237.0,1.4603321984937583,0.5376344086021505,431.80645161290323,2547.9,-2028.7674418604652,27201.0,24636.0,0.27201,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.12428407789232532,1.4763427815153856,62.99350067234424,3.943665274041334,True,False,False
160,72870.0,122710.0,49840.0,2.462078651685393,0.625,455.4375,1227.1,-830.6666666666666,8856.0,8013.0,0.08856,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.13710717716481405,8.228319783197833,19.445039110745164,7.289761800744094,2012-03-05 17:30:00,2021-05-24 23:00:00,RHL,6,80,80,1,40,46,46,6,2,1,4,1500,10000,0,93,18818.0,96181.0,77363.0,1.2432428938898439,0.44086021505376344,202.34408602150538,2345.878048780488,-1487.75,34483.0,32698.0,0.34483,5,3,0.6,18.6,6.887670143089026,0.3703048464026358,7,0.322616643639069,0.5457181799727402,170.41763205441598,1.6413127728702925,False,False,False
160,68830.0,124567.0,55737.0,2.2349067944094587,0.6375,430.1875,1221.2450980392157,-960.9827586206897,7926.0,7527.0,0.07926,10,9,0.9,16.0,5.796550698475776,0.362284418654736,8,0.07251198605259335,8.684077718899823,18.424524190033416,7.278369633888632,2012-03-05 17:30:00,2021-05-24 16:30:00,RHL,6,80,80,1,40,46,46,6,2,1,4,2500,5000,0,93,44588.0,135417.0,90829.0,1.49090048332581,0.5591397849462365,479.44086021505376,2604.173076923077,-2215.3414634146343,29951.0,27386.0,0.29951,5,4,0.8,18.6,6.887670143089026,0.3703048464026358,7,0.11193594689154032,1.4886982070715502,62.47068718040728,4.172849629565463,True,False,False
