n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_intraday_only,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
148,157958.0,293970.0,136012.0,2.161353409993236,0.2702702702702703,1067.2837837837837,7349.25,-1259.3703703703704,14485.0,11394.0,0.14485,10,9,0.9,14.8,10.925200226998129,0.7381892045269006,5,0.04843692627154054,10.904936140835346,13.571835551222478,13.357464103462659,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,7,12,39,9,5,4,1250,7500,0,153,-537.0,164802.0,165339.0,0.9967521274472447,0.1437908496732026,-3.5098039215686274,7491.0,-1262.1297709923665,26261.0,25306.0,0.26261,5,3,0.6,30.6,9.264987857520376,0.3027773809647182,18,0.0,0.0,0.0,0.0,False,False,False
153,153913.0,271497.0,117584.0,2.3089621036875765,0.24183006535947713,1005.9673202614379,7337.756756756757,-1013.6551724137931,14772.0,11099.0,0.14772,10,9,0.9,15.3,11.109005356016352,0.7260787814389772,5,0.049709901047994644,10.419239101001896,14.684373639653572,12.467161279251846,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,7,12,39,9,5,4,1000,7500,0,154,-2386.0,134838.0,137224.0,0.9826123710138168,0.11688311688311688,-15.493506493506494,7491.0,-1009.0,32828.0,31004.0,0.32828,5,3,0.6,30.8,9.064215354899728,0.29429270632791327,18,0.0,0.0,0.0,0.0,False,False,False
153,151663.0,293970.0,142307.0,2.065745184706304,0.26143790849673204,991.2614379084968,7349.25,-1259.353982300885,16157.0,12716.0,0.16157,10,9,0.9,15.3,11.428473213863697,0.7469590335858625,5,0.05044737345298458,9.386829238101132,16.299433612680744,11.746573588484031,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,6,0,47,7,12,53,9,5,4,1250,7500,0,155,-3055.0,164802.0,167857.0,0.9817999845106251,0.14193548387096774,-19.70967741935484,7491.0,-1262.0827067669172,27520.0,26565.0,0.2752,5,3,0.6,31.0,9.20869154657707,0.29705456601861513,18,0.0,0.0,0.0,0.0,False,False,False
176,148786.0,279282.0,130496.0,2.1401575527219223,0.26704545454545453,845.375,5942.170212765957,-1011.5968992248062,14447.0,11207.0,0.14447,10,9,0.9,17.6,11.490865937778581,0.6528901101010557,5,0.051422848923957896,10.29874714473593,17.08945734141653,10.594096357778517,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,7,12,39,9,5,4,1000,6000,0,157,9587.0,143784.0,134197.0,1.0714397490256862,0.15286624203821655,61.06369426751592,5991.0,-1009.0,30183.0,29828.0,0.30183,5,2,0.4,31.4,9.221713506718803,0.29368514352607655,18,0.6249087305726505,0.3176291289798893,494.2871596954209,0.5294259538852166,False,False,False
226,144871.0,278163.0,133292.0,2.0868694295231522,0.41150442477876104,641.0221238938053,2991.0,-1002.1954887218045,8784.0,7180.0,0.08784,10,9,0.9,22.6,11.77454882362802,0.5209977355587619,10,0.020645953986650194,16.492600182149364,13.70311518523376,10.302205531249717,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,7,12,39,9,5,4,1000,3000,0,168,34488.0,152541.0,118053.0,1.292139971029961,0.30357142857142855,205.28571428571428,2991.0,-1009.0,23272.0,20288.0,0.23272,5,4,0.8,33.6,9.329523031752482,0.2776643759450143,19,0.08672581767571329,1.4819525610175317,113.36395267919276,2.0269602345454505,False,False,False
173,129393.0,313866.0,184473.0,1.7014197199590184,0.7283236994219653,747.9364161849711,2491.0,-3924.9574468085107,14346.0,11599.0,0.14346,10,10,1.0,17.3,11.653754759733019,0.673627442759134,6,0.01925142782067036,9.019447929736511,19.180774848716702,9.405949018211096,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,7,12,39,9,5,4,4000,2500,0,163,55033.0,271519.0,216486.0,1.2542104339310625,0.6687116564417178,337.62576687116564,2491.0,-4009.0,28908.0,25923.0,0.28908,5,3,0.6,32.6,9.457272334029511,0.2901003783444635,19,0.04526375084040485,1.9037290715372908,85.62142714371377,2.9910929918927427,False,False,False
212,131542.0,299100.0,167558.0,1.785053533701763,0.4716981132075472,620.4811320754717,2991.0,-1496.0535714285713,10604.0,9054.0,0.10604,10,10,1.0,21.2,11.461239025515521,0.5406244823356378,9,0.02273798482613918,12.404941531497547,17.089963661796233,9.07605407861441,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,7,12,39,9,5,4,1500,3000,0,167,35997.0,191424.0,155427.0,1.2316006871393002,0.38323353293413176,215.55089820359282,2991.0,-1509.0,16058.0,13608.0,0.16058,5,4,0.8,33.4,9.478396488858229,0.28378432601371945,19,0.08309025752146013,2.241686386847677,74.49748590160291,2.56216718575257,False,True,False
171,151731.0,346070.0,194339.0,1.7807542490184678,0.5555555555555556,887.3157894736842,3642.842105263158,-2557.092105263158,23686.0,16036.0,0.23686,10,9,0.9,17.1,4.805205510693585,0.2810061702159991,10,0.06647290270280957,6.405935995946973,26.693991339937128,8.684317679105114,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,1,12,21,18,17,-1,4000,10000,920,121,83216.0,398312.0,315096.0,1.2640972909843349,0.34710743801652894,687.7355371900826,9483.619047619048,-3988.5569620253164,52724.0,44287.0,0.52724,5,5,1.0,24.2,9.368030742904295,0.38710870838447503,12,0.12006104595270141,1.578332448220924,76.66318977119785,4.511496711130947,True,False,False
138,127633.0,333371.0,205738.0,1.620366679952172,0.4057971014492754,924.8768115942029,5953.053571428572,-2509.0,26565.0,23144.0,0.26565,10,8,0.8,13.8,10.107423014794621,0.7324219575938131,5,0.059945311949104074,4.80455486542443,28.722744117900543,8.547366681154536,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,7,12,39,9,5,4,2500,6000,0,148,87668.0,323514.0,235846.0,1.3717171374541015,0.36486486486486486,592.3513513513514,5991.0,-2509.0,22911.0,22581.0,0.22911,5,4,0.8,29.6,8.685620300243386,0.29343311825146573,18,0.06833736369028608,3.826458906202261,38.67805812839348,5.894686538321671,True,True,True
147,134307.0,321219.0,186912.0,1.7185573959938367,0.3673469387755102,913.6530612244898,5948.5,-2009.8064516129032,26715.0,22171.0,0.26715,10,8,0.8,14.7,10.34456378974,0.7037118224312926,5,0.05696650211828125,5.027400336889388,29.23976412249548,8.419902821081964,2012-01-10 10:30:00,2021-06-02 13:15:00,TF_M,5,0,47,7,12,39,9,5,4,2000,6000,0,155,40605.0,263604.0,222999.0,1.182086018322952,0.2838709677419355,261.96774193548384,5991.0,-2009.0,41752.0,40432.0,0.41752,5,3,0.6,31.0,9.186947262284681,0.29635313749305425,18,0.14754340598448468,0.9725282621191799,159.3784016746706,1.9311345300114224,False,False,False
