entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-16 08:00:00,2012-01-23 01:00:00,L,4589.25,4652.25,1256.0,410,FORCE
2012-01-23 08:00:00,2012-01-30 01:00:00,L,4654.5,4680.5,516.0,433,FORCE
2012-01-30 08:00:00,2012-02-06 01:00:00,L,4667.75,4745.25,1546.0,433,FORCE
2012-02-06 08:00:00,2012-02-13 01:00:00,L,4742.25,4783.25,816.0,433,FORCE
2012-02-13 08:00:00,2012-02-20 01:00:00,L,4785.25,4821.25,716.0,434,FORCE
2012-02-20 08:00:00,2012-02-23 16:00:00,L,4820.25,4795.0,-509.0,288,SL
2012-02-27 08:00:00,2012-03-05 01:00:00,L,4821.75,4866.5,891.0,433,FORCE
2012-03-05 08:00:00,2012-03-05 17:30:00,L,4861.25,4836.0,-509.0,38,SL
2012-03-12 08:00:00,2012-03-19 01:00:00,L,4865.25,4944.0,1571.0,433,FORCE
2012-03-19 08:00:00,2012-03-26 01:00:00,L,4948.5,4965.25,331.0,429,FORCE
2012-03-26 08:00:00,2012-04-02 01:00:00,L,4965.75,4994.25,566.0,434,FORCE
2012-04-02 08:00:00,2012-04-04 17:00:00,L,4990.0,4964.75,-509.0,222,SL
2012-04-09 08:00:00,2012-04-10 18:15:00,L,4957.25,4932.0,-509.0,134,SL
2012-04-16 08:00:00,2012-04-16 16:00:00,L,4920.75,4895.5,-509.0,32,SL
2012-04-19 20:00:00,2012-04-23 02:00:00,S,4926.5,4902.0,486.0,110,FORCE
2012-04-23 08:00:00,2012-04-23 15:45:00,L,4900.5,4875.25,-509.0,31,SL
2012-04-30 08:00:00,2012-04-30 20:45:00,L,4971.25,4946.0,-509.0,51,SL
2012-05-03 20:00:00,2012-05-07 02:00:00,S,4926.5,4829.5,1936.0,110,FORCE
2012-05-07 08:00:00,2012-05-14 01:00:00,L,4828.75,4829.75,16.0,433,FORCE
2012-05-14 08:00:00,2012-05-14 22:45:00,L,4837.25,4812.0,-509.0,58,SL
2012-05-21 08:00:00,2012-05-28 01:00:00,L,4714.0,4768.0,1076.0,433,FORCE
2012-05-31 20:00:00,2012-06-04 02:00:00,S,4753.0,4667.0,1716.0,110,FORCE
2012-06-04 08:00:00,2012-06-11 01:00:00,L,4672.0,4826.25,3081.0,429,FORCE
2012-06-11 08:00:00,2012-06-11 15:45:00,L,4825.25,4800.0,-509.0,31,SL
2012-06-18 08:00:00,2012-06-18 15:45:00,L,4811.25,4786.0,-509.0,31,SL
2012-06-21 20:00:00,2012-06-25 02:00:00,S,4805.0,4806.25,-29.0,111,FORCE
2012-06-25 08:00:00,2012-06-25 16:15:00,L,4802.75,4777.5,-509.0,33,SL
2012-06-28 20:00:00,2012-06-29 05:00:00,S,4747.25,4772.5,-509.0,33,SL
2012-07-02 08:00:00,2012-07-09 01:00:00,L,4838.5,4839.75,21.0,398,FORCE
2012-07-09 08:00:00,2012-07-10 20:45:00,L,4840.25,4815.0,-509.0,144,SL
2012-07-12 20:00:00,2012-07-13 18:00:00,S,4782.25,4807.5,-509.0,85,SL
2012-07-16 08:00:00,2012-07-23 01:00:00,L,4808.25,4846.0,751.0,434,FORCE
2012-07-23 08:00:00,2012-07-23 14:30:00,L,4836.25,4811.0,-509.0,26,SL
2012-07-26 20:00:00,2012-07-27 16:15:00,S,4812.75,4838.0,-509.0,78,SL
2012-07-30 08:00:00,2012-08-02 14:45:00,L,4873.25,4848.0,-509.0,306,SL
2012-08-06 08:00:00,2012-08-13 01:00:00,L,4914.25,4957.75,866.0,433,FORCE
2012-08-13 08:00:00,2012-08-20 01:00:00,L,4952.25,5013.25,1216.0,433,FORCE
2012-08-20 08:00:00,2012-08-24 15:45:00,L,5013.0,4987.75,-509.0,390,SL
2012-08-27 08:00:00,2012-08-30 16:30:00,L,5019.75,4994.5,-509.0,314,SL
2012-09-03 08:00:00,2012-09-04 17:00:00,L,5006.75,4981.5,-509.0,106,SL
2012-09-06 20:00:00,2012-09-10 02:00:00,S,5061.5,5057.0,86.0,110,FORCE
2012-09-10 08:00:00,2012-09-10 21:15:00,L,5053.25,5028.0,-509.0,53,SL
2012-09-13 20:00:00,2012-09-14 16:00:00,S,5065.75,5091.0,-509.0,77,SL
2012-09-17 08:00:00,2012-09-24 01:00:00,L,5087.5,5098.5,216.0,433,FORCE
2012-09-24 08:00:00,2012-09-24 15:45:00,L,5096.0,5070.75,-509.0,31,SL
2012-09-27 20:00:00,2012-10-01 02:00:00,S,5058.0,5026.75,621.0,110,FORCE
2012-10-01 08:00:00,2012-10-08 01:00:00,L,5027.5,5046.25,371.0,433,FORCE
2012-10-08 08:00:00,2012-10-09 09:45:00,L,5041.25,5016.0,-509.0,100,SL
2012-10-15 08:00:00,2012-10-19 18:00:00,L,4956.75,4931.5,-509.0,412,SL
2012-10-22 08:00:00,2012-10-23 16:45:00,L,4920.75,4895.5,-509.0,128,SL
2012-10-29 08:00:00,2012-10-30 04:45:00,L,4894.5,4869.25,-509.0,48,SL
2012-11-05 08:00:00,2012-11-07 17:00:00,L,4890.25,4865.0,-509.0,222,SL
2012-11-12 08:00:00,2012-11-13 09:15:00,L,4830.5,4805.25,-509.0,98,SL
2012-11-19 08:00:00,2012-11-26 01:00:00,L,4784.5,4870.0,1706.0,397,FORCE
2012-11-26 08:00:00,2012-12-03 01:00:00,L,4867.5,4921.75,1081.0,432,FORCE
2012-12-03 08:00:00,2012-12-04 16:30:00,L,4925.5,4900.25,-509.0,126,SL
2012-12-06 20:00:00,2012-12-10 02:00:00,S,4895.5,4884.75,211.0,112,FORCE
2012-12-10 08:00:00,2012-12-17 01:00:00,L,4879.5,4883.5,76.0,431,FORCE
2012-12-17 08:00:00,2012-12-24 01:00:00,L,4877.0,4908.25,621.0,434,FORCE
2012-12-24 08:00:00,2012-12-26 17:45:00,L,4897.25,4872.0,-509.0,68,SL
2012-12-27 20:00:00,2012-12-27 21:30:00,S,4850.75,4876.0,-509.0,6,SL
2012-12-31 08:00:00,2013-01-07 01:00:00,L,4836.5,4964.5,2556.0,292,FORCE
2013-01-07 08:00:00,2013-01-14 01:00:00,L,4960.25,4989.75,586.0,432,FORCE
2013-01-14 08:00:00,2013-01-14 16:30:00,L,4993.5,4968.25,-509.0,34,SL
2013-01-21 08:00:00,2013-01-24 00:15:00,L,4986.0,4960.75,-509.0,223,SL
2013-01-28 08:00:00,2013-02-04 01:00:00,L,4980.5,5001.5,416.0,432,FORCE
2013-02-04 08:00:00,2013-02-04 17:45:00,L,5002.5,4977.25,-509.0,39,SL
2013-02-11 08:00:00,2013-02-18 01:00:00,L,5023.5,5007.75,-319.0,417,FORCE
2013-02-18 08:00:00,2013-02-20 22:15:00,L,5011.75,4986.5,-509.0,219,SL
2013-02-25 08:00:00,2013-02-25 22:00:00,L,4985.5,4960.25,-509.0,56,SL
