entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-03-06 10:00:00,2012-03-06 22:00:00,L,4831.25,4813.5,-359.0,48,MAXBARS
2012-03-23 16:00:00,2012-03-23 21:15:00,L,4946.75,4961.0,281.0,21,EOD
2012-05-07 16:00:00,2012-05-07 23:30:00,L,4866.75,4868.5,31.0,29,EOD
2012-05-18 09:45:00,2012-05-18 21:45:00,L,4743.25,4705.0,-769.0,48,MAXBARS
2012-06-04 20:00:00,2012-06-04 23:30:00,L,4684.75,4701.25,326.0,13,EOD
2012-06-11 16:00:00,2012-06-11 23:30:00,S,4793.0,4748.25,891.0,29,EOD
2012-06-29 14:00:00,2012-06-29 22:15:00,S,4799.0,4849.25,-1009.0,33,EOD
2012-09-26 11:00:00,2012-09-26 23:15:00,L,5042.0,5023.0,-384.0,48,MAXBARS
2012-10-30 05:15:00,2012-10-31 00:00:00,L,4875.5,4900.25,491.0,40,EOD
2012-11-14 19:45:00,2012-11-14 23:30:00,L,4798.0,4773.5,-494.0,14,EOD
2012-12-10 10:30:00,2012-12-10 22:45:00,L,4873.0,4894.0,416.0,48,MAXBARS
2012-12-14 15:30:00,2012-12-14 23:15:00,L,4887.0,4875.75,-229.0,30,EOD
2013-03-18 07:15:00,2013-03-18 19:15:00,L,5004.5,5044.25,791.0,48,MAXBARS
2013-06-03 21:45:00,2013-06-03 23:15:00,L,5231.0,5239.0,156.0,5,EOD
2013-08-07 19:00:00,2013-08-07 23:15:00,L,5365.75,5376.25,206.0,16,EOD
2013-12-16 08:45:00,2013-12-16 20:45:00,L,5714.5,5743.75,581.0,48,MAXBARS
2013-12-16 21:00:00,2013-12-16 23:15:00,S,5743.75,5738.5,101.0,8,EOD
2014-01-03 08:30:00,2014-01-03 20:30:00,L,5820.0,5807.5,-254.0,48,MAXBARS
2014-01-06 21:00:00,2014-01-06 23:15:00,L,5799.5,5785.75,-279.0,8,EOD
2014-01-27 21:15:00,2014-01-27 23:15:00,L,5798.75,5738.75,-1204.0,7,EOD
2014-03-03 03:30:00,2014-03-03 15:30:00,L,5936.25,5932.25,-84.0,48,MAXBARS
2014-03-03 15:30:00,2014-03-03 23:15:00,L,5936.0,5940.25,81.0,30,EOD
2014-04-07 16:15:00,2014-04-07 23:15:00,L,5808.75,5777.25,-634.0,27,EOD
2014-05-08 17:00:00,2014-05-08 23:15:00,S,5842.0,5812.0,596.0,24,EOD
2014-07-18 01:00:00,2014-07-18 13:00:00,L,6144.5,6167.0,446.0,48,MAXBARS
2014-07-18 21:15:00,2014-07-18 23:15:00,S,6212.25,6216.25,-84.0,7,EOD
