entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-10 02:45:00,2012-01-10 23:15:00,L,4579.5,4581.5,36.0,81,FORCE
2012-01-11 03:15:00,2012-01-11 23:15:00,L,4581.25,4591.5,201.0,79,FORCE
2012-01-12 03:15:00,2012-01-12 23:15:00,L,4592.0,4604.5,246.0,79,FORCE
2012-01-16 03:30:00,2012-01-16 17:30:00,L,4589.5,4609.0,386.0,56,EOD
2012-01-17 01:45:00,2012-01-17 23:15:00,L,4609.5,4617.75,161.0,85,FORCE
2012-01-18 02:30:00,2012-01-18 23:15:00,L,4618.75,4644.75,516.0,82,FORCE
2012-01-19 02:00:00,2012-01-19 23:15:00,L,4647.0,4653.25,121.0,84,FORCE
2012-01-23 02:15:00,2012-01-23 23:15:00,L,4653.5,4659.75,121.0,83,FORCE
2012-01-24 05:00:00,2012-01-24 17:30:00,S,4652.0,4661.0,-184.0,50,FORCE
2012-01-25 01:45:00,2012-01-25 10:45:00,L,4686.75,4674.0,-259.0,36,SL
2012-01-26 01:45:00,2012-01-26 21:15:00,L,4683.5,4670.75,-259.0,78,SL
2012-01-30 04:00:00,2012-01-30 16:15:00,L,4668.25,4655.5,-259.0,49,SL
2012-01-31 01:45:00,2012-01-31 17:15:00,L,4689.75,4677.0,-259.0,62,SL
2012-02-01 01:45:00,2012-02-01 23:15:00,L,4682.75,4713.5,611.0,85,FORCE
2012-02-02 01:45:00,2012-02-02 13:15:00,L,4718.75,4706.0,-259.0,46,SL
2012-02-06 01:45:00,2012-02-06 23:15:00,L,4746.25,4752.0,111.0,85,FORCE
2012-02-07 01:45:00,2012-02-07 13:30:00,L,4752.75,4740.0,-259.0,47,SL
2012-02-08 01:45:00,2012-02-08 23:15:00,L,4753.75,4762.0,161.0,85,FORCE
2012-02-09 03:15:00,2012-02-09 23:15:00,L,4765.0,4784.5,386.0,79,FORCE
2012-02-13 03:00:00,2012-02-13 23:15:00,L,4782.75,4792.25,186.0,80,FORCE
2012-02-14 01:45:00,2012-02-14 21:00:00,L,4791.75,4779.0,-259.0,77,SL
2012-02-15 03:00:00,2012-02-15 21:00:00,L,4801.0,4788.25,-259.0,72,SL
2012-02-16 05:00:00,2012-02-16 23:00:00,L,4770.25,4817.75,946.0,72,FORCE
2012-02-20 01:45:00,2012-02-20 15:30:00,L,4822.5,4809.75,-259.0,55,SL
2012-02-21 01:45:00,2012-02-21 21:00:00,L,4811.75,4799.0,-259.0,77,SL
2012-02-22 03:30:00,2012-02-22 17:45:00,L,4815.25,4802.5,-259.0,57,SL
2012-02-23 01:45:00,2012-02-23 23:15:00,L,4805.75,4826.5,411.0,85,FORCE
2012-02-27 02:45:00,2012-02-27 10:00:00,L,4825.5,4812.75,-259.0,29,SL
2012-02-27 10:15:00,2012-02-27 16:45:00,S,4815.0,4827.75,-259.0,26,SL
2012-02-28 02:45:00,2012-02-28 23:15:00,L,4834.75,4856.75,436.0,81,FORCE
2012-02-29 01:45:00,2012-02-29 21:45:00,L,4857.75,4845.0,-259.0,80,SL
2012-03-01 01:45:00,2012-03-01 23:15:00,L,4849.75,4872.0,441.0,85,FORCE
2012-03-05 02:15:00,2012-03-05 10:00:00,L,4869.0,4856.25,-259.0,31,SL
2012-03-05 10:15:00,2012-03-05 16:15:00,S,4855.25,4868.0,-259.0,24,SL
2012-03-06 06:15:00,2012-03-06 11:15:00,L,4833.5,4820.75,-259.0,20,SL
2012-03-07 01:45:00,2012-03-07 23:30:00,L,4819.75,4831.5,231.0,85,FORCE
2012-03-08 02:45:00,2012-03-08 23:30:00,L,4831.75,4862.5,611.0,81,FORCE
2012-03-12 04:30:00,2012-03-12 23:45:00,L,4869.0,4876.25,141.0,74,FORCE
2012-03-13 01:45:00,2012-03-13 23:45:00,L,4879.5,4923.25,871.0,85,FORCE
2012-03-14 03:00:00,2012-03-14 23:45:00,L,4921.25,4929.0,151.0,80,FORCE
2012-03-15 01:45:00,2012-03-15 23:45:00,L,4933.5,4940.25,131.0,85,FORCE
2012-03-19 02:00:00,2012-03-19 09:45:00,L,4948.5,4935.75,-259.0,31,SL
2012-03-19 10:00:00,2012-03-19 12:30:00,S,4934.25,4947.0,-259.0,10,SL
2012-03-20 02:30:00,2012-03-20 10:45:00,L,4960.5,4947.75,-259.0,33,SL
2012-03-20 11:00:00,2012-03-20 17:30:00,S,4946.0,4945.5,6.0,26,FORCE
2012-03-21 01:45:00,2012-03-21 23:45:00,L,4968.0,4965.75,-49.0,85,FORCE
2012-03-22 01:45:00,2012-03-22 09:45:00,L,4968.75,4956.0,-259.0,32,SL
2012-03-22 10:00:00,2012-03-22 17:30:00,S,4952.25,4961.0,-179.0,30,FORCE
2012-03-26 02:00:00,2012-03-26 23:00:00,L,4967.5,5007.0,786.0,84,FORCE
2012-03-27 02:30:00,2012-03-27 23:15:00,L,5010.0,5006.0,-84.0,82,FORCE
2012-03-28 01:45:00,2012-03-28 18:00:00,L,5008.5,4995.75,-259.0,65,SL
2012-03-29 02:15:00,2012-03-29 13:15:00,L,5000.5,4987.75,-259.0,44,SL
2012-04-02 03:30:00,2012-04-02 10:45:00,L,4993.75,4981.0,-259.0,29,SL
2012-04-02 11:00:00,2012-04-02 16:15:00,S,4978.5,4991.25,-259.0,21,SL
2012-04-03 02:15:00,2012-04-03 20:15:00,L,5009.25,4996.5,-259.0,72,SL
2012-04-04 02:00:00,2012-04-04 09:45:00,L,5007.25,4994.5,-259.0,31,SL
2012-04-04 10:00:00,2012-04-04 17:30:00,S,4995.5,4964.0,626.0,30,FORCE
2012-04-05 01:45:00,2012-04-05 11:45:00,L,4970.0,4957.25,-259.0,40,SL
2012-04-09 01:45:00,2012-04-09 23:15:00,L,4955.25,4961.5,121.0,85,FORCE
2012-04-10 02:00:00,2012-04-10 18:00:00,L,4963.0,4950.25,-259.0,64,SL
2012-04-11 02:15:00,2012-04-11 23:15:00,L,4934.25,4939.0,91.0,83,FORCE
2012-04-12 01:45:00,2012-04-12 23:15:00,L,4942.25,4965.75,466.0,85,FORCE
2012-04-16 02:15:00,2012-04-16 16:00:00,L,4922.5,4909.75,-259.0,55,SL
2012-04-17 02:00:00,2012-04-17 23:15:00,L,4895.0,4945.25,1001.0,84,FORCE
2012-04-18 01:45:00,2012-04-18 13:15:00,L,4948.0,4935.25,-259.0,46,SL
2012-04-19 02:30:00,2012-04-19 19:30:00,L,4937.0,4924.25,-259.0,68,SL
2012-04-23 02:15:00,2012-04-23 09:15:00,L,4902.25,4889.5,-259.0,28,SL
