entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-10 10:30:00,2012-01-13 16:30:00,L,4588.75,4576.0,-259.0,303,SL
2012-01-18 11:15:00,2012-02-09 14:30:00,L,4626.25,4776.0,2991.0,1489,TP
2012-02-14 11:30:00,2012-02-14 16:15:00,L,4796.5,4783.75,-259.0,19,SL
2012-02-20 03:30:00,2012-02-20 15:30:00,L,4822.75,4810.0,-259.0,48,SL
2012-02-21 18:15:00,2012-02-21 19:45:00,L,4825.0,4812.25,-259.0,6,SL
2012-02-27 17:30:00,2012-03-06 10:45:00,L,4834.75,4822.0,-259.0,527,SL
2012-03-15 10:45:00,2012-03-15 15:15:00,L,4944.5,4931.75,-259.0,18,SL
2012-03-28 15:45:00,2012-03-28 16:45:00,L,5020.25,5007.5,-259.0,4,SL
2012-04-10 18:00:00,2012-04-12 16:45:00,S,4949.0,4961.75,-259.0,181,SL
2012-04-23 01:15:00,2012-04-25 10:15:00,S,4900.0,4912.75,-259.0,223,SL
2012-05-03 19:45:00,2012-05-17 13:30:00,S,4932.75,4783.0,2991.0,897,TP
2012-06-06 01:30:00,2012-07-03 17:30:00,L,4722.75,4872.5,2991.0,1799,TP
2012-07-03 17:45:00,2012-07-03 22:45:00,L,4874.5,4861.75,-259.0,7,SL
2012-07-05 11:00:00,2012-07-05 14:45:00,L,4881.5,4868.75,-259.0,15,SL
2012-08-07 09:45:00,2012-09-14 16:00:00,L,4938.5,5088.25,2991.0,2569,TP
2012-10-04 00:45:00,2012-10-05 21:15:00,L,5060.75,5048.0,-259.0,175,SL
2012-10-11 19:45:00,2012-10-12 16:15:00,S,4957.5,4970.25,-259.0,79,SL
2012-10-15 02:30:00,2012-10-15 09:15:00,S,4950.25,4963.0,-259.0,27,SL
2012-10-25 17:45:00,2012-10-26 15:45:00,S,4889.25,4902.0,-259.0,85,SL
2012-10-30 03:00:00,2012-10-30 09:15:00,S,4875.5,4888.25,-259.0,25,SL
2012-11-14 16:45:00,2012-11-19 15:45:00,S,4796.0,4808.75,-259.0,272,SL
2012-11-21 03:00:00,2012-11-21 05:15:00,L,4840.25,4827.5,-259.0,9,SL
2012-11-22 00:30:00,2012-12-28 22:15:00,L,4845.5,4832.75,-259.0,2289,SL
2013-01-07 05:00:00,2013-01-08 15:45:00,S,4959.5,4972.25,-259.0,135,SL
2013-01-08 16:45:00,2013-01-08 21:30:00,S,4950.75,4963.5,-259.0,19,SL
2013-01-10 11:00:00,2013-01-10 17:15:00,L,4979.0,4966.25,-259.0,25,SL
2013-01-14 01:45:00,2013-01-14 12:30:00,L,4993.25,4980.5,-259.0,43,SL
2013-01-17 14:30:00,2013-01-18 17:15:00,L,4986.25,4973.5,-259.0,104,SL
2013-03-05 01:00:00,2013-04-05 15:00:00,L,5012.5,4999.75,-259.0,2075,SL
2013-04-09 04:30:00,2013-04-09 16:00:00,L,5041.25,5028.5,-259.0,46,SL
2013-04-10 15:45:00,2013-04-15 21:15:00,L,5062.75,5050.0,-259.0,299,SL
2013-04-15 21:30:00,2013-04-16 14:15:00,S,5050.0,5062.75,-259.0,64,SL
2013-04-23 14:15:00,2013-05-08 17:00:00,L,5065.5,5215.25,2991.0,1024,TP
2013-05-08 17:15:00,2013-06-05 17:15:00,L,5213.0,5200.25,-259.0,1819,SL
2013-06-12 17:30:00,2013-06-13 21:45:00,S,5202.0,5214.75,-259.0,106,SL
2013-06-18 16:45:00,2013-06-19 21:00:00,L,5243.5,5230.75,-259.0,109,SL
2013-06-24 10:45:00,2013-06-24 20:30:00,S,5104.0,5116.75,-259.0,39,SL
2013-06-26 12:00:00,2013-07-11 05:30:00,L,5132.25,5282.0,2991.0,950,TP
2013-07-15 04:15:00,2013-07-18 22:15:00,L,5329.0,5316.25,-259.0,347,SL
2013-07-23 04:00:00,2013-07-23 16:15:00,L,5313.75,5301.0,-259.0,49,SL
2013-07-30 14:45:00,2013-08-19 00:15:00,L,5337.0,5324.25,-259.0,1232,SL
2013-08-26 15:30:00,2013-08-27 10:00:00,L,5385.5,5372.75,-259.0,70,SL
2013-10-14 18:00:00,2013-10-25 13:30:00,L,5495.75,5645.5,2991.0,810,TP
2013-11-12 16:30:00,2013-11-12 17:45:00,L,5630.75,5618.0,-259.0,5,SL
2013-11-18 11:15:00,2013-11-18 16:15:00,L,5686.5,5673.75,-259.0,20,SL
2013-11-20 12:00:00,2013-11-20 14:45:00,S,5635.5,5648.25,-259.0,11,SL
2013-11-26 17:15:00,2013-12-18 20:15:00,L,5702.5,5689.75,-259.0,1448,SL
2013-12-26 12:30:00,2013-12-30 15:15:00,L,5847.25,5834.5,-259.0,195,SL
2014-01-09 10:30:00,2014-01-09 16:30:00,L,5839.75,5827.0,-259.0,24,SL
2014-02-11 01:45:00,2014-03-05 19:30:00,L,5852.0,6001.75,2991.0,1522,TP
2014-03-06 04:45:00,2014-03-06 19:45:00,L,6002.75,5990.0,-259.0,60,SL
2014-03-31 15:45:00,2014-03-31 16:00:00,L,5878.5,5865.75,-259.0,1,SL
2014-04-01 15:45:00,2014-04-04 17:00:00,L,5888.5,5875.75,-259.0,281,SL
2014-04-14 00:30:00,2014-04-14 02:30:00,S,5708.25,5721.0,-259.0,8,SL
2014-04-15 18:00:00,2014-04-15 19:45:00,S,5702.0,5714.75,-259.0,7,SL
2014-04-17 15:45:00,2014-04-17 16:00:00,L,5801.75,5789.0,-259.0,1,SL
2014-04-21 16:15:00,2014-04-21 16:30:00,L,5819.75,5807.0,-259.0,1,SL
2014-04-23 22:45:00,2014-04-24 15:45:00,L,5865.75,5853.0,-259.0,65,SL
2014-04-30 20:15:00,2014-05-05 15:15:00,L,5848.5,5835.75,-259.0,257,SL
2014-05-05 15:30:00,2014-05-05 16:00:00,S,5832.5,5845.25,-259.0,2,SL
2014-05-15 16:00:00,2014-05-19 15:45:00,S,5860.0,5872.75,-259.0,184,SL
2014-05-20 09:30:00,2014-05-20 15:45:00,L,5894.75,5882.0,-259.0,25,SL
2014-05-21 16:00:00,2014-05-21 17:30:00,L,5901.0,5888.25,-259.0,6,SL
2014-05-27 10:45:00,2014-06-27 21:45:00,L,5969.75,6119.5,2991.0,2160,TP
2014-06-30 15:45:00,2014-07-24 11:00:00,L,6121.75,6271.5,2991.0,1608,TP
2014-07-28 16:15:00,2014-07-28 17:30:00,S,6221.0,6233.75,-259.0,5,SL
2014-07-30 14:45:00,2014-07-30 16:15:00,L,6261.5,6248.75,-259.0,6,SL
2014-08-06 12:30:00,2014-08-06 16:00:00,S,6135.25,6148.0,-259.0,14,SL
2014-08-21 14:00:00,2014-08-21 16:15:00,L,6330.5,6317.75,-259.0,9,SL
2014-09-09 20:00:00,2014-09-09 20:30:00,L,6389.0,6376.25,-259.0,2,SL
2014-09-18 16:00:00,2014-09-22 05:15:00,L,6375.5,6362.75,-259.0,141,SL
2014-10-06 10:15:00,2014-10-06 16:30:00,L,6326.25,6313.5,-259.0,25,SL
2014-10-20 18:15:00,2014-10-23 16:15:00,L,6132.0,6281.75,2991.0,268,TP
2014-10-23 16:30:00,2014-10-24 02:45:00,L,6292.5,6279.75,-259.0,37,SL
2014-10-27 00:30:00,2014-10-27 11:30:00,L,6330.25,6317.5,-259.0,44,SL
2014-11-12 17:45:00,2014-11-28 16:00:00,L,6477.75,6627.5,2991.0,1083,TP
2014-12-04 14:45:00,2014-12-04 15:00:00,L,6611.5,6598.75,-259.0,1,SL
2014-12-15 00:30:00,2014-12-15 02:00:00,S,6479.0,6491.75,-259.0,6,SL
2015-01-13 20:00:00,2015-01-13 20:45:00,S,6446.75,6459.5,-259.0,3,SL
2015-01-15 11:00:00,2015-01-15 11:00:00,S,6396.25,6409.0,-259.0,1,SL_SAMEBAR
2015-01-20 09:15:00,2015-01-20 10:45:00,L,6451.25,6438.5,-259.0,6,SL
2015-01-27 13:45:00,2015-02-05 17:00:00,S,6527.25,6540.0,-259.0,657,SL
2015-02-05 17:45:00,2015-02-05 19:00:00,L,6539.25,6526.5,-259.0,5,SL
2015-02-12 12:00:00,2015-03-02 16:15:00,L,6618.25,6768.0,2991.0,1110,TP
2015-03-12 14:30:00,2015-03-12 14:45:00,S,6600.0,6612.75,-259.0,1,SL
2015-03-18 09:45:00,2015-03-18 11:30:00,L,6680.25,6667.5,-259.0,7,SL
