n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time,ms_blocks_total,ms_blocks_positive,ms_min_avg_trade,ms_mean_avg_trade,ms_min_n_trades,expected_avg_trade,passes_multisplit,passes_expectancy
183,87873.0,184628.0,96755.0,1.908201126556767,0.4262295081967213,480.1803278688525,2367.025641025641,-921.4761904761905,12923.0,7063.0,0.12923,10,8,0.8,18.3,3.606937759374287,0.19710042400952385,9,0.11369817805241655,6.7997369031958526,26.912805981359462,5.293734287492425,2012-01-16 02:00:00,2021-05-17 02:30:00,BIASW,7,,,,,,,1000,10000,,80,87940.0,151507.0,63567.0,2.383422215929649,0.2125,1099.25,8912.176470588236,-1009.0,13855.0,10964.0,0.13855,5,3,0.6,16.0,5.366563145999495,0.33541019662496846,7,0.11361155333181715,6.347167087693974,12.604048214691835,11.703955347404825,True,True,True,,,,,,,,,,,,,14.0,139.0,152.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,200.0,100.0,-1.0,0.0,100.0,100.0,3.0,3.0,108.66666666666667,1136.7820512820513,24.0,274.8125,True,True
197,58647.0,222607.0,163960.0,1.3576909002195658,0.5685279187817259,297.7005076142132,1987.5625,-1928.9411764705883,29432.0,20572.0,0.29432,10,7,0.7,19.7,3.7960505792204615,0.19269292280306913,10,0.12773031868637783,1.9926270725740691,98.86446024519583,2.174748974570362,2012-01-12 12:00:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,7500,,110,131175.0,339380.0,208205.0,1.6300280973079417,0.5,1192.5,6170.545454545455,-3785.5454545454545,25784.0,23242.0,0.25784,5,5,1.0,22.0,5.366563145999495,0.2439346884545225,15,0.06145225843339051,5.087457337883959,21.621802935010482,9.307278050337686,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,184.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,509.75,1163.107456140351,32.0,298.125,True,True
216,47331.0,228514.0,181183.0,1.2612331178973746,0.5509259259259259,219.125,1920.2857142857142,-1867.8659793814434,29312.0,23404.0,0.29312,10,7,0.7,21.6,4.63033476111609,0.2143673500516708,10,0.1582683653419535,1.6147311681222707,133.76839703365658,1.6040158302773444,2012-01-12 11:30:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,7500,,112,125417.0,341440.0,216023.0,1.5805724390458424,0.49107142857142855,1119.794642857143,6208.0,-3789.877192982456,24055.0,20693.0,0.24055,5,5,1.0,22.4,4.029888335921977,0.17990572928223114,17,0.06459251935543028,5.213760133028477,21.481617324605118,9.048470020941908,True,True,True,,,47.0,7.0,-1.0,38.0,4.0,3.0,-1.0,184.0,,,,,,,,,,2.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,635.6666666666666,1103.143673577884,30.0,279.9486607142857,True,True
183,62733.0,238971.0,176238.0,1.3559561502059714,0.6065573770491803,342.8032786885246,2152.891891891892,-2447.75,15074.0,13758.0,0.15074,10,6,0.6,18.3,4.69148164229596,0.256365117065353,11,0.06266239459295746,4.1616690991110525,43.97274161924346,3.4992112223470393,2012-01-12 12:00:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,3000,,122,109722.0,254235.0,144513.0,1.7592534927653567,0.6967213114754098,899.360655737705,2991.0,-3905.7567567567567,19593.0,17243.0,0.19593,5,5,1.0,24.4,6.770524351924302,0.27748050622640585,15,0.0272598020451687,5.600061246363497,21.785476021217256,8.052354057830229,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,322.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,227.8421052631579,883.3828004497915,38.0,224.84016393442624,True,True
240,67535.0,183113.0,115578.0,1.5843240062987767,0.5958333333333333,281.3958333333333,1280.5104895104896,-1191.5257731958764,11962.0,11100.0,0.11962,10,8,0.8,24.0,5.403702434442518,0.2251542681017716,11,0.05820685570444954,5.645795017555593,42.509513585548234,3.224446759184193,2012-01-12 12:00:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,3000,,123,102873.0,231412.0,128539.0,1.8003251931320454,0.6666666666666666,836.3658536585366,2822.0975609756097,-3135.0975609756097,17320.0,13045.0,0.1732,5,5,1.0,24.6,6.590902821313632,0.2679228789151883,15,0.029074684319500745,5.939549653579677,20.70864075121752,7.964560153541541,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,92.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,429.0263157894737,824.0538069981154,38.0,209.09146341463415,True,True
263,62813.0,190210.0,127397.0,1.4930492868748872,0.5893536121673004,238.83269961977186,1227.1612903225807,-1179.601851851852,12208.0,11020.0,0.12208,10,8,0.8,26.3,6.3568860301251275,0.24170669316065124,11,0.06321939725852929,5.1452326343381385,51.11527868434878,2.709012283992088,2012-01-12 11:30:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,3000,,125,104000.0,235828.0,131828.0,1.7889067572898019,0.664,832.0,2841.3012048192772,-3138.7619047619046,18432.0,15501.0,0.18432,5,5,1.0,25.0,5.0990195135927845,0.2039607805437114,18,0.028759615384615383,5.642361111111111,22.153846153846153,7.680270963283731,True,True,True,,,47.0,7.0,-1.0,38.0,4.0,3.0,-1.0,92.0,,,,,,,,,,2.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,325.1666666666667,808.9896994258697,36.0,208.0,True,True
261,50431.0,193182.0,142751.0,1.3532794866585873,0.5632183908045977,193.22222222222223,1314.1632653061224,-1252.201754385965,20161.0,15207.0,0.20161,10,8,0.8,26.1,6.640030120413611,0.2544072843070349,10,0.14853958874501794,2.501413620356133,104.34100057504313,1.7054558643084095,2012-01-12 11:30:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,7500,,121,122811.0,299798.0,176987.0,1.693898421917994,0.5206611570247934,1014.9669421487604,4758.6984126984125,-3051.5,28306.0,25194.0,0.28306,5,5,1.0,24.2,4.791659420284375,0.19800245538365188,18,0.06596314662367378,4.33869144351021,27.888593041339945,7.5605274262006255,True,True,True,,,47.0,7.0,-1.0,38.0,4.0,3.0,-1.0,92.0,,,,,,,,,,2.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,658.5,1002.0602836879433,34.0,253.7417355371901,True,True
261,62646.0,158795.0,96149.0,1.6515512381824045,0.6130268199233716,240.02298850574712,992.46875,-951.9702970297029,9598.0,8002.0,0.09598,10,8,0.8,26.1,6.236184731067546,0.238934280883814,11,0.03976311336717428,6.526984788497604,39.98783641413658,3.0704491754794203,2012-01-12 12:00:00,2021-05-13 10:30:00,BO,5,,,,,,,4000,2500,,126,87286.0,194479.0,107193.0,1.8142882464340022,0.6666666666666666,692.7460317460317,2315.2261904761904,-2552.214285714286,15708.0,13003.0,0.15708,5,5,1.0,25.2,6.794115100585212,0.2696077420867148,15,0.028538368123181265,5.556786350903998,22.6749765139885,6.927125364012813,True,True,True,,,47.0,45.0,-1.0,38.0,4.0,3.0,-1.0,48.0,,,,,,,,,,10.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,22.41025641025641,668.627414575089,39.0,173.18650793650792,True,True
261,55396.0,194138.0,138742.0,1.399273471623589,0.5670498084291188,212.24521072796935,1311.7432432432433,-1227.8053097345132,18730.0,15205.0,0.1873,10,8,0.8,26.1,6.640030120413611,0.2544072843070349,10,0.10814860278720485,2.957608115323011,88.24698534190195,1.9436070135177503,2012-01-12 11:30:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,6000,,124,112894.0,295145.0,182251.0,1.6194424173255566,0.5241935483870968,910.4354838709677,4540.692307692308,-3089.0,27290.0,20044.0,0.2729,5,5,1.0,24.8,4.874423042781576,0.19654931624119257,18,0.053067479228302655,4.136826676438256,29.974666501319824,6.906958633605566,True,True,True,,,47.0,7.0,-1.0,38.0,4.0,3.0,-1.0,92.0,,,,,,,,,,2.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,465.14285714285717,879.418270854441,35.0,227.60887096774192,True,True
195,58075.0,245321.0,187246.0,1.3101534879249757,0.5948717948717949,297.8205128205128,2114.8362068965516,-2370.2025316455697,21611.0,21012.0,0.21611,10,7,0.7,19.5,4.695742752749559,0.24080732065382351,11,0.06837709857942316,2.6872888806626256,72.5638398622471,2.538964464003966,2012-01-12 11:30:00,2021-05-14 16:00:00,BO,5,,,,,,,4000,3000,,124,108744.0,257226.0,148482.0,1.7323716005980523,0.6935483870967742,876.9677419354839,2991.0,-3907.4210526315787,25535.0,23225.0,0.25535,5,5,1.0,24.8,5.3065996645686395,0.21397579292615482,18,0.027504965791216068,4.258625416095555,29.11737659089237,6.8778885566720716,True,True,True,,,47.0,7.0,-1.0,38.0,4.0,3.0,-1.0,322.0,,,,,,,,,,2.0,0.0,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,74.33333333333333,842.9293086547887,36.0,219.24193548387098,True,True
