famiglia,strategia,e_strategia,capofila,simbolo,timeframe,motore,atteso_per_trade,oos_avg_trade,oos_net_profit,oos_max_dd,oos_n_trades,oos_profit_factor,plateau_min,wfo_efficienza,mc_dd_p95,stop_loss_pt,take_profit_pt,stop_loss,take_profit,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,ptn_dir_no,start_hour,end_hour,skip_day,max_bars,intraday_only,direction,trailing_stop,channel_len,breakout_offset_ticks,dvol_min,breakeven
1,1,True,True,NQ,30m,TF_M,657.9,657.9,128300,22405,195,2.46,0.42,1.0,36472,25.0,500,500,10000,54,33,-48,17,14,4,-1,460,0,,,,,,
1,1,False,False,NQ,30m,TF_M,590.5,590.5,115736,18320,196,1.67,0.81,1.0,35928,62.5,250,1250,5000,54,33,-48,17,14,4,-1,0,0,,,,,,
1,1,False,False,NQ,30m,TF_M,560.9,560.9,100970,24766,180,1.4,0.45,1.0,55903,125.0,225,2500,4500,54,33,-48,17,14,4,-1,460,0,,,,,,
1,1,False,False,NQ,30m,TF_M,499.8,499.8,102465,15004,205,2.12,0.46,1.0,33977,25.0,375,500,7500,54,33,-48,17,14,4,-1,322,0,,,,,,
1,1,False,False,NQ,30m,TF_M,479.9,479.9,86380,28234,180,1.38,0.4,1.0,47009,87.5,300,1750,6000,54,33,-48,17,14,4,-1,0,0,,,,,,
1,1,False,False,NQ,30m,TF_M,476.1,476.1,90450,22775,190,1.5,0.43,1.0,43069,62.5,300,1250,6000,54,33,-48,17,14,4,-1,322,0,,,,,,
1,1,False,False,NQ,30m,TF_M,453.6,453.6,91166,14592,201,1.59,0.65,1.0,32561,50.0,250,1000,5000,54,33,-48,17,14,4,-1,0,0,,,,,,
1,1,False,False,NQ,30m,TF_M,447.2,447.2,89450,16162,200,1.53,0.52,1.0,33990,62.5,200,1250,4000,54,33,-48,17,14,4,-1,0,0,,,,,,
1,1,False,False,NQ,30m,TF_M,444.9,444.9,84540,25409,190,1.39,0.56,1.0,44801,87.5,225,1750,4500,54,33,-48,17,14,4,-1,0,0,,,,,,
1,1,False,False,NQ,30m,TF_M,417.3,417.3,75952,25501,182,1.3,0.47,1.0,51177,125.0,200,2500,4000,54,33,-48,17,14,4,-1,0,0,,,,,,
1,1,False,False,NQ,30m,TF_M,396.1,396.1,81606,16239,206,1.54,0.68,1.0,37974,50.0,300,1000,6000,54,33,-48,17,14,4,-1,92,0,,,,,,
1,1,False,False,NQ,30m,TF_M,371.4,371.4,77614,13570,209,2.56,0.44,1.0,23574,12.5,375,250,7500,54,33,-48,17,14,4,-1,0,0,,,,,,
1,1,False,False,NQ,30m,TF_M,364.1,364.1,71371,20429,196,1.45,0.48,1.0,38864,50.0,300,1000,6000,54,33,-48,17,14,4,-1,322,0,,,,,,
1,1,False,False,NQ,30m,TF_M,357.3,357.3,72182,19515,202,1.37,0.51,1.0,41148,87.5,150,1750,3000,54,33,-48,17,14,4,-1,0,0,,,,,,
2,2,True,True,NQ,30m,TF_M,464.1,464.1,113244,28296,244,1.52,0.8,1.0,37627,250.0,150,5000,3000,47,48,50,7,2,1,-1,24,0,,,,,,
2,2,False,False,NQ,30m,TF_M,450.2,450.2,110295,20996,245,1.58,0.5,1.0,24433,75.0,125,1500,2500,47,48,50,7,2,1,-1,0,0,,,,,,
2,2,False,False,NQ,30m,TF_M,432.7,432.7,106451,29781,246,1.49,0.62,1.0,28501,75.0,200,1500,4000,47,48,50,7,2,1,-1,48,0,,,,,,
2,2,False,False,NQ,30m,TF_M,393.7,393.7,96465,27508,245,1.5,0.66,1.0,33991,250.0,200,5000,4000,47,48,50,7,2,1,-1,12,0,,,,,,
2,2,False,False,NQ,30m,TF_M,313.6,313.6,77447,29186,247,1.34,0.8,1.0,34860,125.0,100,2500,2000,47,48,50,7,2,1,-1,0,0,,,,,,
3,3,True,True,NQ,30m,TF_M,335.2,335.2,57321,6123,171,2.63,0.74,1.0,7570,12.5,200,250,4000,47,24,50,-36,9,19,-1,12,0,,,,,,
4,4,True,True,NQ,30m,PC,201.5,543.1,151529,27120,279,1.83,0.44,0.37,25384,125.0,500,2500,10000,55,8,-48,16,14,4,-1,0,0,1,2000,50,0,0,1000
5,5,True,True,NQ,30m,PC,140.1,377.7,67233,16660,178,1.71,0.76,0.37,24847,112.5,500,2250,10000,3,56,-48,46,11,10,-1,0,0,1,2000,50,2,0,500
5,6,True,False,NQ,30m,PC,136.5,367.8,65473,21316,178,1.8,0.67,0.37,21998,112.5,500,2250,10000,3,24,52,46,11,10,-1,0,0,1,2000,50,2,0,500
5,7,True,False,NQ,30m,PC,116.0,312.8,62239,17287,199,1.67,0.59,0.37,22533,112.5,500,2250,10000,3,24,-48,53,11,10,-1,0,0,1,2000,50,2,0,500
