entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason,periodo,pnl_cumulato
2012-01-10 15:00:00,2012-01-10 18:30:00,L,4595.75,4583.0,-259.0,7,SL,IS,-259.0
2012-01-18 19:00:00,2012-01-19 01:30:00,L,4640.75,4645.25,86.0,12,MAXBARS,IS,-173.0
2012-02-03 16:30:00,2012-02-03 22:30:00,L,4745.0,4748.25,61.0,12,MAXBARS,IS,-112.0
2012-04-10 19:00:00,2012-04-11 01:30:00,S,4934.75,4932.75,36.0,12,MAXBARS,IS,-76.0
2012-04-13 17:00:00,2012-04-16 00:30:00,S,4935.0,4921.25,271.0,12,MAXBARS,IS,195.0
2012-04-23 16:30:00,2012-04-23 22:30:00,S,4872.5,4882.25,-199.0,12,MAXBARS,IS,-4.0
2012-05-01 18:00:00,2012-05-01 20:30:00,L,4977.0,4964.25,-259.0,5,SL,IS,-263.0
2012-05-11 17:00:00,2012-05-11 20:30:00,L,4867.25,4854.5,-259.0,7,SL,IS,-522.0
2012-06-01 15:00:00,2012-06-01 21:00:00,S,4722.25,4693.25,576.0,12,MAXBARS,IS,54.0
2012-06-06 11:30:00,2012-06-06 15:00:00,L,4744.75,4732.0,-259.0,7,SL,IS,-205.0
2012-06-28 17:00:00,2012-06-28 23:00:00,S,4762.0,4762.5,-14.0,12,MAXBARS,IS,-219.0
2012-08-07 18:30:00,2012-08-08 01:00:00,L,4955.25,4945.5,-199.0,12,MAXBARS,IS,-418.0
2012-10-23 15:00:00,2012-10-23 16:30:00,S,4900.5,4913.25,-259.0,3,SL,IS,-677.0
2012-11-16 18:00:00,2012-11-16 18:00:00,S,4737.25,4750.0,-259.0,1,SL_SAMEBAR,IS,-936.0
2012-11-23 17:00:00,2012-11-26 03:30:00,L,4871.25,4869.5,-39.0,12,MAXBARS,IS,-975.0
2012-12-21 09:30:00,2012-12-21 15:30:00,S,4903.75,4897.5,121.0,12,MAXBARS,IS,-854.0
2012-12-27 18:30:00,2012-12-27 21:30:00,S,4854.5,4867.25,-259.0,6,SL,IS,-1113.0
2013-03-05 17:00:00,2013-03-05 23:00:00,L,5040.0,5047.75,151.0,12,MAXBARS,IS,-962.0
2013-04-05 15:30:00,2013-04-05 21:30:00,S,5000.5,5007.25,-139.0,12,MAXBARS,IS,-1101.0
2013-04-15 19:30:00,2013-04-16 02:00:00,S,5066.0,5047.5,366.0,12,MAXBARS,IS,-735.0
2013-04-17 16:30:00,2013-04-17 22:30:00,S,5037.75,5027.5,201.0,12,MAXBARS,IS,-534.0
2013-04-25 17:00:00,2013-04-25 21:30:00,L,5102.5,5089.75,-259.0,9,SL,IS,-793.0
2013-04-29 17:00:00,2013-04-29 23:00:00,L,5116.25,5113.75,-54.0,12,MAXBARS,IS,-847.0
2013-05-02 18:00:00,2013-05-03 00:30:00,L,5155.5,5153.5,-44.0,12,MAXBARS,IS,-891.0
2013-06-24 16:30:00,2013-06-24 17:00:00,S,5084.5,5097.25,-259.0,1,SL,IS,-1150.0
2013-06-26 16:00:00,2013-06-26 22:00:00,L,5144.0,5144.25,1.0,12,MAXBARS,IS,-1149.0
2013-06-27 16:30:00,2013-06-27 20:30:00,L,5170.25,5157.5,-259.0,8,SL,IS,-1408.0
2013-07-01 16:30:00,2013-07-01 20:30:00,L,5197.5,5184.75,-259.0,8,SL,IS,-1667.0
2013-07-30 18:30:00,2013-07-30 19:30:00,L,5351.5,5338.75,-259.0,2,SL,IS,-1926.0
2013-10-16 17:00:00,2013-10-16 23:00:00,L,5534.75,5527.5,-149.0,12,MAXBARS,IS,-2075.0
2013-10-17 19:30:00,2013-10-18 02:00:00,L,5555.0,5580.75,511.0,12,MAXBARS,IS,-1564.0
2013-12-20 18:00:00,2013-12-23 00:30:00,L,5795.5,5814.5,376.0,12,MAXBARS,IS,-1188.0
2014-01-29 15:30:00,2014-01-29 16:00:00,S,5735.5,5748.25,-259.0,1,SL,IS,-1447.0
2014-02-05 17:00:00,2014-02-05 17:30:00,S,5693.0,5705.75,-259.0,1,SL,IS,-1706.0
2014-03-31 16:30:00,2014-03-31 17:30:00,L,5880.5,5867.75,-259.0,2,SL,IS,-1965.0
2014-04-01 16:30:00,2014-04-01 22:30:00,L,5907.5,5927.25,391.0,12,MAXBARS,IS,-1574.0
2014-04-22 19:00:00,2014-04-23 01:30:00,L,5864.0,5860.0,-84.0,12,MAXBARS,IS,-1658.0
2014-05-15 17:00:00,2014-05-15 21:00:00,S,5835.25,5848.0,-259.0,8,SL,IS,-1917.0
