n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_direction,p_dvol_min,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_stop_loss,p_take_profit,p_max_bars,p_trailing_stop,p_breakeven,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass
144,97104.0,153059.0,55955.0,2.735394513448307,0.4097222222222222,674.3333333333334,2594.2203389830506,-658.2941176470588,8102.0,5938.0,0.08102,10,10,1.0,14.4,6.514598989960932,0.45240270763617585,6,0.07662918108419839,11.98518884226117,12.014829461196243,9.388970091231096,2012-01-11 20:00:00,2021-04-29 16:00:00,PC,7,50,0,0,1,0,22,8,-48,16,14,4,-1,2500,10000,0,2000,1000,123,47118.0,114621.0,67503.0,1.6980134216257055,0.37398373983739835,383.0731707317073,2491.7608695652175,-876.6623376623377,13951.0,10599.0,0.13951,5,4,0.8,24.6,12.142487389328432,0.49359704834668416,10,0.15176790186340677,3.3773923016271237,36.41862982299758,4.064606562561137,True,True,True
147,96902.0,154390.0,57488.0,2.68560395212914,0.40816326530612246,659.1972789115646,2573.1666666666665,-660.7816091954023,8102.0,5938.0,0.08102,10,10,1.0,14.7,6.708949247087803,0.4563911052440683,6,0.07678892076530928,11.960256726734139,12.290706074178036,9.17822570823767,2012-01-11 20:00:00,2021-04-29 16:00:00,PC,8,50,0,0,1,0,22,56,-48,16,14,4,-1,2500,10000,0,2000,1000,123,47118.0,114621.0,67503.0,1.6980134216257055,0.37398373983739835,383.0731707317073,2491.7608695652175,-876.6623376623377,13951.0,10599.0,0.13951,5,4,0.8,24.6,12.142487389328432,0.49359704834668416,10,0.15176790186340677,3.3773923016271237,36.41862982299758,4.064606562561137,True,True,True
167,104582.0,178393.0,73811.0,2.416889081573207,0.437125748502994,626.2395209580839,2443.7397260273974,-785.2234042553191,10519.0,7490.0,0.10519,10,10,1.0,16.7,7.114070564732964,0.42599224938520747,5,0.09553269205025722,9.942199828881073,16.797087452907764,7.652312395081317,2012-01-12 11:30:00,2021-05-07 09:30:00,PC,7,50,2,0,1,0,3,24,-48,46,11,10,-1,2250,10000,0,2000,1000,137,33337.0,129339.0,96002.0,1.3472531822253704,0.35766423357664234,243.33576642335765,2639.5714285714284,-1090.9318181818182,21094.0,18300.0,0.21094,5,3,0.6,27.4,9.178235124467012,0.3349720848345625,18,0.29969703332633413,1.5804020100502512,86.68680445151034,2.099741945634659,False,False,False
167,92897.0,164738.0,71841.0,2.293091688590081,0.3772455089820359,556.2694610778443,2614.8888888888887,-690.7788461538462,8780.0,6356.0,0.0878,10,9,0.9,16.7,9.910095862301231,0.5934189139102534,6,0.08009946499886972,10.580523917995444,15.783717450509704,7.440076603062841,2012-01-11 20:00:00,2021-04-29 16:00:00,PC,8,50,0,0,1,0,22,8,-48,53,14,4,-1,2500,10000,0,2000,1000,151,39816.0,131279.0,91463.0,1.4353235734668663,0.3576158940397351,263.682119205298,2431.0925925925926,-942.9175257731958,20356.0,17201.0,0.20356,5,4,0.8,30.2,12.319090875547595,0.40791691640886074,15,0.17960116536065904,1.9559834938101788,77.19901547116737,2.3161885284510935,False,False,False
163,89153.0,159314.0,70161.0,2.2706916948162084,0.39263803680981596,546.9509202453987,2489.28125,-708.6969696969697,9351.0,6257.0,0.09351,10,10,1.0,16.3,10.47902667235846,0.6428850719238318,6,0.08346325978935089,9.534060528285744,17.096597983242294,7.088572341461717,2012-01-11 20:00:00,2021-04-29 16:00:00,PC,8,50,0,0,1,0,22,8,52,16,14,4,-1,2500,10000,0,2000,1000,145,50445.0,131309.0,80864.0,1.6238251879699248,0.3724137931034483,347.8965517241379,2431.6481481481483,-888.6153846153846,14639.0,12115.0,0.14639,5,4,0.8,29.0,13.579396157414365,0.46825503991084017,12,0.14175835067895728,3.445932099187103,42.078600455942116,3.60357749264205,True,True,True
170,83860.0,132031.0,48171.0,2.740881443191962,0.32941176470588235,493.29411764705884,2357.6964285714284,-422.55263157894734,7915.0,5751.0,0.07915,10,10,1.0,17.0,8.209750300709517,0.48292648827703044,8,0.08873121869782971,10.595072646873026,16.045194371571668,6.948961796769166,2012-01-11 20:00:00,2021-04-29 16:00:00,PC,7,50,0,0,1,0,22,8,-48,16,14,4,-1,2500,10000,0,2000,500,129,39129.0,98443.0,59314.0,1.6596924840678424,0.2558139534883721,303.3255813953488,2983.121212121212,-617.8541666666666,16304.0,13149.0,0.16304,5,4,0.8,25.8,12.576167937809991,0.4874483696825578,10,0.18275447877533288,2.3999631992149166,53.75082419688722,2.9771547010057713,True,True,True
278,176308.0,307036.0,130728.0,2.348662872529221,0.4172661870503597,634.2014388489208,2646.862068965517,-806.9629629629629,14068.0,11427.0,0.14068,10,9,0.9,27.8,14.084033513166604,0.5066199105455613,7,0.056667876670372305,12.532556155814614,22.182226558068837,6.7011677563890375,2012-01-11 20:00:00,2021-05-07 16:00:00,PC,8,50,0,0,1,0,55,8,-48,16,14,4,-1,2500,10000,0,2000,1000,279,151529.0,334061.0,182532.0,1.8301503298051849,0.37992831541218636,543.1146953405018,3151.5188679245284,-1055.0982658959538,27120.0,19166.0,0.2712,5,4,0.8,55.8,19.742340286804904,0.35380538148395885,32,0.06593457357997479,5.587352507374631,49.93420401375314,4.133197502266419,True,True,True
196,95626.0,150412.0,54786.0,2.7454459168400684,0.3163265306122449,487.88775510204084,2426.0,-408.85074626865674,12156.0,9571.0,0.12156,10,8,0.8,19.6,8.345058418010026,0.42576828663316457,8,0.10447995315081672,7.866567949983547,24.91556689603246,5.545797653940507,2012-01-12 11:30:00,2021-05-07 09:30:00,PC,7,50,2,0,1,0,3,24,-48,46,11,10,-1,2250,10000,0,2000,500,140,49850.0,118076.0,68226.0,1.7306598657403336,0.29285714285714287,356.07142857142856,2879.9024390243903,-689.1515151515151,16259.0,13465.0,0.16259,5,3,0.6,28.0,9.20869154657707,0.32888184094918105,18,0.20042126379137412,3.065994218586629,45.662186559679036,3.499690659622169,True,True,True
276,140581.0,327293.0,186712.0,1.7529296456574832,0.463768115942029,509.3514492753623,2556.9765625,-1261.5675675675675,14732.0,12363.0,0.14732,10,10,1.0,27.6,16.59035864591239,0.6010999509388546,6,0.07106934792041598,9.542560412707033,28.923055035886783,5.259278124975517,2012-01-12 11:30:00,2021-05-07 15:30:00,PC,8,50,5,0,1,0,55,56,-48,-27,22,21,-1,5000,10000,0,2000,0,293,85198.0,310006.0,224808.0,1.3789811750471515,0.39590443686006827,290.77815699658703,2672.4655172413795,-1270.1016949152543,25618.0,21686.0,0.25618,5,4,0.8,58.6,20.51925924588897,0.3501580076090268,30,0.11726801098617338,3.325708486220626,88.10152820488744,2.27681957131755,True,True,True
282,129202.0,221618.0,92416.0,2.398047957063712,0.29432624113475175,458.16312056737587,2670.0963855421687,-464.40201005025125,12528.0,9812.0,0.12528,10,9,0.9,28.2,13.840520221436766,0.49079858941265125,11,0.07732852432624882,10.313058748403575,27.343973003513877,5.130015800384678,2012-01-12 11:30:00,2021-05-07 09:30:00,PC,8,50,2,0,1,0,55,24,-48,46,11,10,-1,2250,10000,0,2000,500,253,45138.0,170577.0,125439.0,1.3598402410733503,0.22529644268774704,178.41106719367588,2992.5789473684213,-639.9948979591836,19757.0,16493.0,0.19757,5,4,0.8,50.6,18.43474979488466,0.3643231184759814,26,0.22134343568611814,2.284658602014476,110.73864593025833,1.5907456272166487,False,True,False
