engine,famiglia,famiglia_capofila,good,gate_reason,expected_avg_trade,wf_efficiency_used,oos_avg_trade,oos_net_profit,oos_max_dd,oos_n_trades,oos_profit_factor,avg_trade,net_profit,max_dd,n_trades,unger_score,oos_unger_score,wf_mean_unger,ms_blocks_positive,ms_blocks_total,ms_min_avg_trade,plateau_ratio,plateau_min,np_dd,oos_np_dd,recovery_trades,oos_recovery_trades,pattern_null_p,pattern_null_median_avg,pattern_avg_trade,pattern_none_avg_trade,pattern_vs_none_avg,pattern_null_valid_draws,pattern_null_draws,pattern_null_min_trades,wfo_measured,wfo_efficiency,wfo_net_profit,wfo_avg_trade,wfo_positive_windows,wfo_total_windows,mc_dd_p95,mc_dd_worst,passes_multisplit,passes_plateau,passes_expectancy,passes_null,passes_pattern_useful,passes_wfo,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time
TF_M,1.0,False,True,—,479.8888888888889,1.0012144799850193,479.8888888888889,86380.0,28234.0,180,1.3836519329164298,744.0434782608696,119791.0,21167.0,161,6.409263198728077,3.5792656817503934,8.225393411422598,3.0,3.0,8.543859649122806,0.9045039182124425,0.4030220346764212,5.659328199555913,3.0594318906283204,28.448606322678664,58.834452419541556,0.03636363636363636,11.633971291866029,479.8888888888889,50.05612244897959,429.83276643990934,54.0,200.0,90.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,47008.6,74105.0,True,True,True,True,True,True,,,,,,,1750,6000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,1.0,False,True,—,453.5621890547264,1.0012144799850193,453.5621890547264,91166.0,14592.0,201,1.5943295978304095,511.0,114975.0,17121.0,225,4.8943585706854895,4.705641953635346,6.740688165332005,3.0,3.0,191.0,0.945162530642905,0.6498121342096227,6.71543718240757,6.247669956140351,33.504892367906066,32.17199394511111,0.04,121.98003629764065,453.5621890547264,72.70353982300885,380.85864923171755,49.0,200.0,101.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,32560.699999999997,46817.0,True,True,True,True,True,True,,,,,,,1000,5000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,2.0,False,True,—,450.18367346938777,1.0012144799850193,450.18367346938777,110295.0,20996.0,245,1.5847316103379723,517.6037735849056,109732.0,10451.0,212,6.3453846987365345,3.8936858204525784,6.612019400837913,3.0,3.0,112.62162162162163,3.925796920308703,0.504716753498991,10.499665103817817,5.253143455896361,20.191120183720336,46.63874155673421,0.021739130434782608,55.245810055865924,450.18367346938777,54.18363273453094,396.00004073485684,45.0,200.0,123.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,24433.25,42493.0,True,True,True,True,True,True,,,,,,,1500,2500,,,,47.0,48.0,50.0,7.0,2.0,1.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,4.0,True,True,—,201.51020239036856,0.37102697481612645,543.1146953405018,151529.0,27120.0,279,1.8301503298051849,634.2014388489208,176308.0,14068.0,278,6.7011677563890375,4.133197502266419,6.568277006176106,3.0,3.0,376.7792207792208,0.9333614875928117,0.4429532199810516,12.532556155814614,5.587352507374631,22.182226558068837,49.93420401375314,0.125,420.76510067114094,543.1146953405018,307.79060665362033,235.3240886868815,15.0,200.0,140.0,True,0.37102697481612645,26340.0,277.2631578947368,4.0,5.0,25384.449999999997,39954.0,True,True,True,True,True,True,,,,,,1.0,2500,10000,2000.0,,,55.0,8.0,-48.0,16.0,14.0,4.0,-1.0,0.0,,,,,,,,,50.0,0.0,0.0,0.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,5.0,False,True,—,136.47330967492272,0.37102697481612645,367.8258426966292,65473.0,21316.0,178,1.797721596101127,424.4,95490.0,11891.0,225,4.877593830088347,3.15739436696631,5.856946584980351,3.0,3.0,139.84615384615384,1.158384816949302,0.6724603094533131,8.030443192330333,3.071542503283918,28.01837888784166,57.951338719777624,0.22857142857142856,200.4435975609756,367.8258426966292,240.24028268551237,127.58556001111683,34.0,200.0,89.0,True,0.37102697481612645,26340.0,277.2631578947368,4.0,5.0,21998.2,30072.0,True,True,True,True,True,True,,,,,,1.0,2250,10000,2000.0,,,3.0,24.0,52.0,46.0,11.0,10.0,-1.0,0.0,,,,,,,,,50.0,2.0,0.0,0.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,5.0,True,True,—,140.14189099894736,0.37102697481612645,377.7134831460674,67233.0,16660.0,178,1.7099877502745628,394.06513409961684,102851.0,13821.0,261,4.200855323246886,3.667451983048197,5.095764084635975,3.0,3.0,142.04166666666666,1.252657687888911,0.7550305241510986,7.44164676940887,4.035594237695078,35.07288213046057,44.10750673032588,0.22857142857142856,200.4435975609756,377.7134831460674,240.24028268551237,137.47320046055503,34.0,200.0,89.0,True,0.37102697481612645,26340.0,277.2631578947368,4.0,5.0,24846.55,43515.0,True,True,True,True,True,True,,,,,,1.0,2250,10000,2000.0,,,3.0,56.0,-48.0,46.0,11.0,10.0,-1.0,0.0,,,,,,,,,50.0,2.0,0.0,0.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,1.0,False,True,—,444.94736842105266,1.0012144799850193,444.94736842105266,84540.0,25409.0,190,1.390743077413719,453.9425837320574,94874.0,20208.0,209,4.0020149402054725,3.498277871265164,5.0004385779702245,3.0,3.0,96.46875,0.9701584101872858,0.5568411810421658,4.69487331749802,3.3271675390609627,44.51664312667327,57.105630470783055,0.09090909090909091,89.70140309850922,444.94736842105266,78.92740046838408,366.0199679526686,54.0,200.0,95.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,44800.9,68826.0,True,True,True,True,True,True,,,,,,,1750,4500,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,5.0,False,True,—,116.04194917377335,0.37102697481612645,312.75879396984925,62239.0,17287.0,199,1.6725341459197787,403.1862348178138,99587.0,15275.0,247,4.088410866925607,2.981186601966479,4.9400058366585125,3.0,3.0,238.3134328358209,1.0922823260134844,0.5852247838265435,6.519607201309329,3.600335512234627,37.88571801540362,55.27262648821478,0.25,225.375,312.75879396984925,240.24028268551237,72.51851128433688,31.0,200.0,100.0,True,0.37102697481612645,26340.0,277.2631578947368,4.0,5.0,22533.049999999996,37151.0,True,True,True,True,True,True,,,,,,1.0,2250,10000,2000.0,,,3.0,24.0,-48.0,53.0,11.0,10.0,-1.0,0.0,,,,,,,,,50.0,2.0,0.0,0.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,1.0,False,True,—,590.4897959183673,1.0012144799850193,590.4897959183673,115736.0,18320.0,196,1.666137145882976,352.40552995391704,76472.0,19284.0,217,3.1804135884042966,5.467503999682356,4.774725747442216,3.0,3.0,343.56410256410254,1.178548073969547,0.8121818824274671,3.965567309686787,6.317467248908297,54.72104822680197,31.025091587751433,0.018867924528301886,115.04900425151041,590.4897959183673,76.51428571428572,513.9755102040816,52.0,200.0,98.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,35927.5,61871.0,True,True,True,True,True,True,,,,,,,1250,5000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF_M,1.0,False,True,—,447.25,1.0012144799850193,447.25,89450.0,16162.0,200,1.526284823345983,404.9782608695652,93145.0,14217.0,230,4.256642494180073,4.4090217882635265,4.740899667124778,3.0,3.0,207.91176470588235,0.9402683023599265,0.5235315695173658,6.5516635014419355,5.5345873035515405,35.10558806162435,36.13638904415875,0.11764705882352941,133.33338213524638,447.25,173.50802139037432,273.7419786096257,50.0,200.0,100.0,True,1.0012144799850193,76960.0,530.7586206896551,4.0,4.0,33990.25,50121.0,True,True,True,True,True,True,,,,,,,1250,4000,,,,54.0,33.0,-48.0,17.0,14.0,4.0,-1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
