n_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,avg_trade,avg_win,avg_loss,max_dd,max_dd_closed,max_dd_pct,n_years,profitable_years,profitable_years_ratio,yearly_trades_mean,yearly_trades_std,yearly_trades_cv,min_yearly_trades,top_trade_pct,np_dd,recovery_trades,unger_score,first_trade,last_trade,engine,phase,p_fast,p_slow,p_gradient_length,p_gradient_factor,p_daily_factor,p_direction,p_stop_loss,p_take_profit,p_trailing_stop,oos_n_trades,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_win_rate,oos_avg_trade,oos_avg_win,oos_avg_loss,oos_max_dd,oos_max_dd_closed,oos_max_dd_pct,oos_n_years,oos_profitable_years,oos_profitable_years_ratio,oos_yearly_trades_mean,oos_yearly_trades_std,oos_yearly_trades_cv,oos_min_yearly_trades,oos_top_trade_pct,oos_np_dd,oos_recovery_trades,oos_unger_score,passes_oos_gate,passes_oos_hard,overall_pass,p_long_offset_ticks,p_short_offset_ticks,p_ptn_neut_yes,p_ptn_neut_no,p_ptn_dir_yes,p_ptn_dir_no,p_start_hour,p_end_hour,p_skip_day,p_max_bars,p_level_choice,p_level_shift,p_ptn_ly_yes,p_ptn_ly_no,p_ptn_sy_yes,p_ptn_sy_no,p_not_le_day,p_not_se_day,p_channel_len,p_breakout_offset_ticks,p_intraday_only,p_dvol_min,p_breakeven,p_vol_source,p_vol_mult,p_vol_mult_short,p_atr_len,p_momentum,p_level_source,p_n_sess,p_lev_include_sess0,p_bb_length,p_bb_num_devs,p_entry_type,p_le_bar,p_lx_bar,p_se_bar,p_sx_bar,p_end_long,p_end_short,p_nhigh,p_nlow,p_le_day,p_lx_day,p_le_time,p_lx_time,p_se_day,p_sx_day,p_se_time,p_sx_time
541,59511.0,188747.0,129236.0,1.4604831471107123,0.4195933456561922,110.00184842883549,831.4845814977973,-411.5796178343949,12653.0,11868.0,0.12653,10,9,0.9,54.1,14.01748907615055,0.25910331009520426,19,0.1006704642839139,4.703311467636134,115.0253398531364,1.225582852250661,2012-01-11 11:00:00,2021-05-12 13:00:00,MAC,5,5.0,40.0,2.0,2.0,0.5,1.0,3000,6000,2000.0,191,80021.0,186040.0,106019.0,1.7547798036201059,0.418848167539267,418.9581151832461,2325.5,-955.1261261261261,12617.0,11457.0,0.12617,5,4,0.8,38.2,15.315351775261318,0.4009254391429664,20,0.0748678471901126,6.342315922961085,30.115182264655527,4.674465970654611,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,50431.0,185290.0,134859.0,1.3739535366568045,0.41589648798521256,93.2181146025878,823.5111111111111,-426.7689873417722,12680.0,11868.0,0.1268,10,9,0.9,54.1,14.01748907615055,0.25910331009520426,19,0.11879597866391703,3.9772082018927444,136.02506394876167,1.0374809594739378,2012-01-11 11:00:00,2021-05-12 13:00:00,MAC,5,5.0,40.0,2.0,2.0,0.5,1.0,2000,6000,2000.0,191,75551.0,180049.0,104498.0,1.7229899136825586,0.41361256544502617,395.5549738219895,2279.1012658227846,-933.0178571428571,11502.0,10120.0,0.11502,5,5,1.0,38.2,15.315351775261318,0.4009254391429664,20,0.07929742822729018,6.568509824378369,29.07813265211579,4.6223158181202715,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,52721.0,185290.0,132569.0,1.3976872421154267,0.41589648798521256,97.45101663585952,823.5111111111111,-419.5221518987342,11658.0,10873.0,0.11658,10,9,0.9,54.1,14.01748907615055,0.25910331009520426,19,0.11363593255059654,4.522302281694974,119.6293317653307,1.1311333199447606,2012-01-11 11:00:00,2021-05-12 13:00:00,MAC,5,5.0,40.0,2.0,2.0,0.5,1.0,1500,6000,2000.0,191,71666.0,175616.0,103950.0,1.6894276094276095,0.39790575916230364,375.21465968586386,2310.7368421052633,-903.9130434782609,11505.0,9086.0,0.11505,5,4,0.8,38.2,15.315351775261318,0.4009254391429664,20,0.08359612647559513,6.2291177748804865,30.662448022772306,4.384054389500167,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,47819.0,73026.0,25207.0,2.897052406077677,0.6826923076923077,459.7980769230769,1028.5352112676057,-763.8484848484849,5864.0,4576.0,0.05864,10,8,0.8,10.4,5.141984052872977,0.4944215435454785,5,0.11524707752148727,8.154672578444748,12.753424371065895,7.52505392903183,2012-01-30 02:30:00,2021-05-19 09:00:00,RHL,7,,,,,,1.0,1500,0,,40,-15290.0,31489.0,46779.0,0.673143932106287,0.225,-382.25,3498.777777777778,-1509.0,34116.0,29393.0,0.34116,5,2,0.4,8.0,3.40587727318528,0.42573465914816,4,0.0,0.0,0.0,0.0,False,False,False,5.0,80.0,53.0,31.0,52.0,-3.0,-1.0,6.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,63500.0,107440.0,43940.0,2.445152480655439,0.6666666666666666,423.3333333333333,1074.4,-878.8,5303.0,4192.0,0.05303,10,8,0.8,15.0,5.89915248150105,0.39327683210007,7,0.08678740157480315,11.97435413916651,12.526771653543308,7.285529141224504,2012-01-30 03:00:00,2021-05-19 09:30:00,RHL,7,,,,,,1.0,1500,0,,56,-23524.0,39558.0,63082.0,0.6270885514092768,0.23214285714285715,-420.07142857142856,3042.923076923077,-1467.0232558139535,37317.0,35643.0,0.37317,5,2,0.4,11.2,6.11228271597445,0.5457395282120044,2,0.0,0.0,0.0,0.0,False,False,False,5.0,80.0,55.0,31.0,21.0,-3.0,-1.0,6.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,86807.0,120472.0,33665.0,3.578553393732363,0.647887323943662,611.3169014084507,1309.4782608695652,-673.3,6795.0,4176.0,0.06795,10,10,1.0,14.2,8.784076502399099,0.618596936788669,5,0.11509440482910364,12.775128771155261,11.115347840611932,9.29418086432684,2012-01-30 13:30:00,2021-03-18 19:30:00,LF,9,,,,,,,1250,10000,,138,-37772.0,70191.0,107963.0,0.6501393996091254,0.2971014492753623,-273.71014492753625,1711.9756097560976,-1113.020618556701,51991.0,51577.0,0.51991,5,0,0.0,27.6,12.90891165048394,0.46771419023492533,14,0.0,0.0,0.0,0.0,False,False,False,,,28.0,38.0,-34.0,,2.0,1.0,,0.0,2.0,10.0,41.0,40.0,19.0,24.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,79884.0,123378.0,43494.0,2.836667126500207,0.5798816568047337,472.68639053254435,1258.9591836734694,-612.5915492957746,7285.0,6356.0,0.07285,10,9,0.9,16.9,8.239538822045807,0.48754667586069866,7,0.07499624455460417,10.965545641729582,15.411909769165291,6.940612008492601,2012-01-13 17:30:00,2021-03-18 19:30:00,LF,9,,,,,,,1000,6000,,160,-59725.0,53849.0,113574.0,0.4741314033141388,0.2125,-373.28125,1583.7941176470588,-901.3809523809524,69801.0,68953.0,0.69801,5,0,0.0,32.0,10.449880382090505,0.3265587619403283,19,0.0,0.0,0.0,0.0,False,False,False,,,28.0,38.0,-34.0,,1.0,0.0,,0.0,2.0,0.0,41.0,40.0,25.0,13.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,176308.0,307036.0,130728.0,2.348662872529221,0.4172661870503597,634.2014388489208,2646.862068965517,-806.9629629629629,14068.0,11427.0,0.14068,10,9,0.9,27.8,14.084033513166604,0.5066199105455613,7,0.056667876670372305,12.532556155814614,22.182226558068837,6.7011677563890375,2012-01-11 20:00:00,2021-05-07 16:00:00,PC,8,,,,,,1.0,2500,10000,2000.0,279,151529.0,334061.0,182532.0,1.8301503298051849,0.37992831541218636,543.1146953405018,3151.5188679245284,-1055.0982658959538,27120.0,19166.0,0.2712,5,4,0.8,55.8,19.742340286804904,0.35380538148395885,32,0.06593457357997479,5.587352507374631,49.93420401375314,4.133197502266419,True,True,True,,,55.0,8.0,-48.0,16.0,14.0,4.0,-1.0,0.0,,,,,,,,,50.0,0.0,0.0,0.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,97104.0,153059.0,55955.0,2.735394513448307,0.4097222222222222,674.3333333333334,2594.2203389830506,-658.2941176470588,8102.0,5938.0,0.08102,10,10,1.0,14.4,6.514598989960932,0.45240270763617585,6,0.07662918108419839,11.98518884226117,12.014829461196243,9.388970091231096,2012-01-11 20:00:00,2021-04-29 16:00:00,PC,7,,,,,,1.0,2500,10000,2000.0,123,47118.0,114621.0,67503.0,1.6980134216257055,0.37398373983739835,383.0731707317073,2491.7608695652175,-876.6623376623377,13951.0,10599.0,0.13951,5,4,0.8,24.6,12.142487389328432,0.49359704834668416,10,0.15176790186340677,3.3773923016271237,36.41862982299758,4.064606562561137,True,True,True,,,22.0,8.0,-48.0,16.0,14.0,4.0,-1.0,0.0,,,,,,,,,50.0,0.0,0.0,0.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,96902.0,154390.0,57488.0,2.68560395212914,0.40816326530612246,659.1972789115646,2573.1666666666665,-660.7816091954023,8102.0,5938.0,0.08102,10,10,1.0,14.7,6.708949247087803,0.4563911052440683,6,0.07678892076530928,11.960256726734139,12.290706074178036,9.17822570823767,2012-01-11 20:00:00,2021-04-29 16:00:00,PC,8,,,,,,1.0,2500,10000,2000.0,123,47118.0,114621.0,67503.0,1.6980134216257055,0.37398373983739835,383.0731707317073,2491.7608695652175,-876.6623376623377,13951.0,10599.0,0.13951,5,4,0.8,24.6,12.142487389328432,0.49359704834668416,10,0.15176790186340677,3.3773923016271237,36.41862982299758,4.064606562561137,True,True,True,,,22.0,56.0,-48.0,16.0,14.0,4.0,-1.0,0.0,,,,,,,,,50.0,0.0,0.0,0.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
