entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-11 20:00:00,2012-04-10 19:30:00,L,4596.75,4921.75,6496.0,2943,TRAIL
2012-04-12 16:00:00,2012-04-23 16:00:00,L,4955.0,4873.0,-1644.0,325,TRAIL
2012-04-25 10:00:00,2012-05-04 16:00:00,L,4906.25,4906.0,-9.0,339,BE
2012-05-15 10:00:00,2012-05-17 22:00:00,L,4839.75,4746.5,-1869.0,118,TRAIL
2012-06-05 04:00:00,2012-06-25 18:00:00,L,4711.75,4764.5,1051.0,680,TRAIL
2012-07-03 06:00:00,2012-07-06 16:00:00,L,4857.5,4857.25,-9.0,143,BE
2012-07-17 07:00:00,2012-07-23 11:30:00,L,4821.75,4821.5,-9.0,195,BE
2012-07-27 15:30:00,2012-09-26 16:30:00,L,4830.75,5014.75,3676.0,1988,TRAIL
2012-10-15 11:30:00,2012-10-18 20:00:00,L,4972.25,4972.0,-9.0,158,BE
2012-10-26 21:30:00,2012-11-02 19:30:00,L,4910.75,4910.5,-9.0,199,BE
2012-11-06 11:30:00,2012-11-08 18:30:00,L,4918.0,4834.75,-1669.0,108,TRAIL
2012-11-16 19:00:00,2012-12-27 16:30:00,L,4778.75,4862.0,1661.0,1257,TRAIL
2013-01-08 16:00:00,2013-01-14 16:30:00,L,4972.0,4971.75,-9.0,189,BE
2013-01-23 16:30:00,2013-02-20 18:00:00,L,5007.5,5007.25,-9.0,923,BE
2013-02-22 19:00:00,2013-02-25 20:00:00,L,4979.0,4978.75,-9.0,49,BE
2013-02-27 16:00:00,2013-03-01 16:00:00,L,4967.5,4967.25,-9.0,94,BE
2013-03-08 09:30:00,2013-04-15 21:00:00,L,5053.75,5053.5,-9.0,1198,BE
2013-04-25 14:30:00,2013-06-03 18:00:00,L,5091.75,5206.0,2281.0,1264,TRAIL
2013-06-07 14:30:00,2013-06-11 16:00:00,L,5207.5,5207.25,-9.0,97,BE
2013-06-25 12:00:00,2013-10-08 18:30:00,L,5122.75,5416.0,5861.0,3506,TRAIL
2013-10-10 15:00:00,2013-12-18 20:30:00,L,5429.75,5689.5,5191.0,2294,TRAIL
2013-12-18 21:00:00,2013-12-19 16:30:00,L,5749.75,5749.5,-9.0,38,BE
2013-12-20 15:30:00,2014-01-13 21:30:00,L,5773.0,5772.75,-9.0,614,BE
2014-01-17 12:00:00,2014-01-23 15:00:00,L,5879.0,5878.75,-9.0,182,BE
2014-01-30 15:30:00,2014-01-30 22:30:00,L,5769.75,5769.5,-9.0,14,BE
2014-02-13 16:30:00,2014-03-13 20:30:00,L,5904.25,5910.25,116.0,938,TRAIL
2014-03-21 07:30:00,2014-03-24 15:30:00,L,5975.75,5889.5,-1729.0,63,TRAIL
2014-03-28 15:00:00,2014-03-31 22:00:00,L,5863.0,5862.75,-9.0,59,BE
2014-04-01 16:00:00,2014-04-03 21:00:00,L,5889.0,5888.75,-9.0,104,BE
2014-04-17 16:00:00,2014-04-25 17:00:00,L,5802.25,5802.0,-9.0,237,BE
2014-05-05 21:00:00,2014-05-07 16:30:00,L,5870.25,5780.5,-1799.0,85,TRAIL
2014-05-08 16:30:00,2014-05-15 16:30:00,L,5841.5,5841.25,-9.0,235,BE
2014-05-19 01:00:00,2014-05-20 20:00:00,L,5868.0,5867.75,-9.0,85,BE
2014-05-29 15:30:00,2014-07-31 18:30:00,L,6004.25,6174.75,3406.0,2104,TRAIL
2014-08-04 18:30:00,2014-09-16 16:00:00,L,6179.0,6297.25,2361.0,1435,TRAIL
2014-09-16 18:00:00,2014-09-22 20:30:00,L,6328.25,6328.0,-9.0,193,BE
2014-09-24 17:30:00,2014-09-25 16:00:00,L,6353.0,6352.75,-9.0,44,BE
2014-10-17 10:30:00,2014-11-25 10:30:00,L,6078.5,6578.25,9991.0,1269,TP
2014-11-26 10:00:00,2014-12-01 16:00:00,L,6595.25,6595.0,-9.0,136,BE
2014-12-23 14:00:00,2015-01-02 17:00:00,L,6598.0,6517.75,-1609.0,280,TRAIL
2015-02-03 09:30:00,2015-02-04 23:00:00,L,6484.75,6484.5,-9.0,74,BE
2015-02-10 13:30:00,2015-03-10 11:30:00,L,6528.75,6679.0,3001.0,929,TRAIL
2015-03-12 20:30:00,2015-03-25 17:00:00,L,6631.25,6674.25,856.0,416,TRAIL
2015-03-27 21:00:00,2015-03-31 21:30:00,L,6631.5,6631.25,-9.0,93,BE
2015-04-10 09:00:00,2015-04-13 22:00:00,L,6704.25,6704.0,-9.0,73,BE
2015-04-15 19:30:00,2015-04-17 20:30:00,L,6715.5,6631.5,-1684.0,96,TRAIL
2015-05-07 18:30:00,2015-05-12 11:00:00,L,6703.25,6703.0,-9.0,126,BE
2015-05-14 15:30:00,2015-05-26 20:00:00,L,6760.75,6760.5,-9.0,376,BE
2015-06-03 13:30:00,2015-06-08 19:00:00,L,6834.75,6742.75,-1844.0,152,TRAIL
2015-06-10 09:30:00,2015-06-15 00:30:00,L,6742.5,6738.5,-84.0,123,BE
2015-06-24 16:30:00,2015-06-29 00:30:00,L,6855.75,6738.25,-2354.0,109,TRAIL
2015-07-01 08:30:00,2015-07-01 17:00:00,L,6721.75,6721.5,-9.0,17,BE
