entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason
2012-01-18 10:00:00,2012-01-18 23:30:00,L,4614.173093528518,4646.25,637.5381294296458,27,EOD
2012-01-30 01:30:00,2012-01-30 23:30:00,L,4670.9658708985235,4688.0,336.68258202953075,44,EOD
2012-02-16 03:00:00,2012-02-16 23:30:00,L,4773.5,4818.5,896.0,41,EOD
2012-02-21 11:30:00,2012-02-21 23:30:00,L,4809.063355268418,4815.75,129.73289463164838,24,EOD
2012-02-27 01:30:00,2012-02-27 23:30:00,L,4825.8952075425095,4833.25,143.0958491498095,44,EOD
2012-03-01 01:30:00,2012-03-01 23:30:00,L,4847.551996207542,4873.0,504.96007584915424,44,EOD
2012-03-19 09:30:00,2012-03-20 00:00:00,L,4937.28930510283,4958.25,415.2138979433912,28,EOD
2012-03-22 04:00:00,2012-03-23 00:00:00,L,4963.286936207256,4960.75,-54.73872414512152,39,EOD
2012-04-02 11:00:00,2012-04-02 23:30:00,L,4980.650253382596,5006.75,517.9949323480796,25,EOD
2012-04-16 03:00:00,2012-04-16 23:30:00,L,4917.949137425334,4894.5,-472.98274850667804,41,EOD
2012-04-23 02:30:00,2012-04-23 23:30:00,L,4901.75,4885.25,-334.0,42,EOD
2012-05-07 04:00:00,2012-05-07 23:30:00,L,4827.166827056324,4868.5,822.6634588735178,39,EOD
2012-05-16 06:30:00,2012-05-16 23:30:00,L,4801.806730488666,4788.25,-275.1346097733258,34,EOD
2012-05-17 01:00:00,2012-05-17 23:30:00,L,4788.0,4742.5,-914.0,45,EOD
2012-05-23 01:00:00,2012-05-23 23:30:00,L,4765.575262242655,4771.5,114.49475514689402,45,EOD
2012-05-30 11:30:00,2012-05-30 23:30:00,L,4766.800278216133,4760.25,-135.00556432265876,24,EOD
2012-06-04 03:30:00,2012-06-04 23:30:00,L,4665.984652175327,4701.25,701.3069564934594,40,EOD
2012-06-07 01:00:00,2012-06-07 23:30:00,S,4784.181208903814,4769.0,299.62417807627935,45,EOD
2012-06-08 02:30:00,2012-06-08 22:30:00,L,4767.355943077938,4794.75,543.8811384412438,40,EOD
2012-06-21 06:30:00,2012-06-21 23:30:00,L,4844.659458386252,4793.25,-1032.1891677250314,34,EOD
2012-06-22 01:00:00,2012-06-22 22:30:00,L,4792.413482450725,4811.25,372.73035098550827,43,EOD
2012-06-28 10:30:00,2012-06-28 23:30:00,L,4782.473534208291,4763.25,-388.47068416582624,26,EOD
2012-07-05 04:30:00,2012-07-05 23:30:00,L,4869.638538647218,4877.75,158.22922705563178,38,EOD
2012-07-12 09:30:00,2012-07-12 23:30:00,L,4783.939808347263,4777.5,-132.79616694526703,28,EOD
2012-07-23 03:30:00,2012-07-23 23:30:00,L,4842.170266385898,4808.5,-677.4053277179555,40,EOD
2012-07-26 11:30:00,2012-07-26 23:30:00,L,4767.897564495331,4813.5,908.048710093386,24,EOD
2012-07-30 01:30:00,2012-07-30 23:30:00,S,4877.579314436421,4875.25,42.58628872841291,44,EOD
2012-08-01 02:30:00,2012-08-01 23:30:00,L,4870.1795432551735,4861.25,-182.5908651034697,42,EOD
2012-08-10 09:30:00,2012-08-10 22:30:00,L,4943.850295285204,4958.75,293.99409429591833,26,EOD
2012-08-15 01:00:00,2012-08-15 23:30:00,L,4961.25,4977.0,311.0,45,EOD
2012-08-22 05:30:00,2012-08-22 23:30:00,L,5002.129514317529,5019.0,333.4097136494129,36,EOD
2012-08-29 10:00:00,2012-08-29 23:30:00,L,5015.601758119322,5017.5,33.96483761356285,27,EOD
2012-09-11 03:30:00,2012-09-11 23:30:00,L,5019.746835485172,5016.25,-73.93670970343373,40,EOD
2012-09-20 06:00:00,2012-09-20 23:30:00,L,5093.064001100446,5098.5,104.71997799107703,35,EOD
2012-09-24 03:30:00,2012-09-24 23:30:00,L,5096.292331129791,5085.0,-229.8466225958182,40,EOD
2012-09-26 02:30:00,2012-09-26 23:30:00,L,5048.482091758636,5022.25,-528.6418351727152,42,EOD
2012-10-01 04:00:00,2012-10-01 23:30:00,L,5025.977151606445,5031.25,101.45696787110501,39,EOD
2012-10-08 03:30:00,2012-10-08 23:30:00,L,5045.451114086614,5020.0,-513.0222817322865,40,EOD
2012-10-11 01:30:00,2012-10-11 23:30:00,L,4961.19261604348,4959.5,-37.852320869591495,44,EOD
2012-10-15 01:30:00,2012-10-15 23:30:00,L,4954.07913201369,4974.75,409.4173597262088,44,EOD
2012-10-26 05:30:00,2012-10-26 22:30:00,L,4880.616152628845,4902.75,438.67694742309686,34,EOD
2012-10-30 05:00:00,2012-10-31 00:00:00,L,4871.832287170987,4900.25,564.35425658026,21,EOD
2012-11-07 04:30:00,2012-11-07 23:30:00,L,4899.620471099337,4859.75,-801.4094219867402,38,EOD
2012-11-13 02:30:00,2012-11-13 23:30:00,L,4817.517471788608,4817.25,-9.349435772168363,42,EOD
2012-11-15 02:00:00,2012-11-15 23:30:00,L,4774.452548102406,4764.75,-198.05096204811343,43,EOD
2012-11-16 02:00:00,2012-11-16 22:30:00,L,4761.316541644962,4777.75,324.6691671007611,41,EOD
2012-11-21 05:30:00,2012-11-21 23:30:00,L,4821.885607163851,4841.75,393.2878567229782,36,EOD
2012-11-23 10:00:00,2012-11-23 19:30:00,L,4842.935734487555,4877.5,687.2853102488953,19,EOD
2012-11-28 02:30:00,2012-11-28 23:30:00,L,4882.905905842024,4905.25,442.88188315951265,42,EOD
2012-12-04 01:30:00,2012-12-04 23:30:00,L,4912.194539295083,4904.5,-157.8907859016581,44,EOD
2012-12-21 02:30:00,2012-12-21 23:30:00,L,4929.897584743058,4914.5,-311.9516948611672,42,EOD
2012-12-31 03:30:00,2012-12-31 22:30:00,L,4835.4164490616,4910.1664490616,1491.0,38,TP
2013-01-04 02:30:00,2013-01-04 23:30:00,L,4973.579604370724,4964.0,-195.5920874144831,42,EOD
