entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason,periodo,pnl_cumulato
2012-01-16 11:00:00,2012-01-23 01:00:00,L,1631.5,1651.5,996.0,400,FORCE,IS,996.0
2012-01-23 11:00:00,2012-01-30 01:00:00,L,1652.75,1657.25,221.0,424,FORCE,IS,1217.0
2012-02-06 11:00:00,2012-02-13 01:00:00,L,1678.5,1691.75,658.5,425,FORCE,IS,1875.5
2012-02-13 11:00:00,2012-02-20 01:00:00,L,1694.5,1713.75,958.5,425,FORCE,IS,2834.0
2012-02-20 11:00:00,2012-02-27 01:00:00,L,1711.0,1709.25,-91.5,399,FORCE,IS,2742.5
2012-02-27 11:00:00,2012-03-05 01:00:00,L,1702.75,1713.25,521.0,421,FORCE,IS,3263.5
2012-03-05 11:00:00,2012-03-12 01:00:00,L,1707.75,1717.5,483.5,425,FORCE,IS,3747.0
2012-03-12 11:00:00,2012-03-19 01:00:00,L,1718.0,1750.5,1621.0,423,FORCE,IS,5368.0
2012-03-19 11:00:00,2012-03-26 01:00:00,L,1747.75,1748.25,21.0,419,FORCE,IS,5389.0
2012-03-26 11:00:00,2012-04-02 01:00:00,L,1745.75,1761.5,783.5,423,FORCE,IS,6172.5
2012-04-02 11:00:00,2012-04-09 01:00:00,L,1753.0,1724.75,-1416.5,394,FORCE,IS,4756.0
2012-04-16 11:00:00,2012-04-23 01:00:00,L,1717.25,1724.5,358.5,425,FORCE,IS,5114.5
2012-04-23 11:00:00,2012-04-30 01:00:00,L,1715.25,1751.5,1808.5,423,FORCE,IS,6923.0
2012-04-30 11:00:00,2012-05-07 01:00:00,L,1750.0,1700.25,-2491.5,421,FORCE,IS,4431.5
2012-05-14 11:00:00,2012-05-21 01:00:00,L,1689.75,1639.5,-2516.5,424,FORCE,IS,1915.0
2012-05-28 11:00:00,2012-06-04 01:00:00,L,1676.0,1616.5,-2979.0,401,FORCE,IS,-1064.0
2012-06-11 11:00:00,2012-06-18 01:00:00,L,1693.0,1699.0,296.0,422,FORCE,IS,-768.0
2012-06-18 11:00:00,2012-06-25 01:00:00,L,1690.75,1681.75,-454.0,423,FORCE,IS,-1222.0
2012-06-25 11:00:00,2012-07-02 01:00:00,L,1676.25,1716.75,2021.0,411,FORCE,IS,799.0
2012-07-02 11:00:00,2012-07-09 01:00:00,L,1719.0,1706.25,-641.5,388,FORCE,IS,157.5
2012-07-16 11:00:00,2012-07-23 01:00:00,L,1706.75,1713.0,308.5,423,FORCE,IS,466.0
2012-07-30 11:00:00,2012-08-06 01:00:00,L,1734.5,1746.0,571.0,423,FORCE,IS,1037.0
2012-08-06 11:00:00,2012-08-13 01:00:00,L,1749.25,1759.75,521.0,422,FORCE,IS,1558.0
2012-08-13 11:00:00,2012-08-20 01:00:00,L,1757.5,1773.0,771.0,424,FORCE,IS,2329.0
2012-08-20 11:00:00,2012-08-27 01:00:00,L,1774.5,1770.0,-229.0,411,FORCE,IS,2100.0
2012-08-27 11:00:00,2012-09-03 01:00:00,L,1770.0,1762.75,-366.5,424,FORCE,IS,1733.5
2012-09-03 11:00:00,2012-09-10 01:00:00,L,1763.0,1794.5,1571.0,401,FORCE,IS,3304.5
2012-09-10 11:00:00,2012-09-17 01:00:00,L,1793.25,1822.0,1433.5,423,FORCE,IS,4738.0
2012-09-17 11:00:00,2012-09-24 01:00:00,L,1821.25,1817.5,-191.5,422,FORCE,IS,4546.5
2012-09-24 11:00:00,2012-10-01 01:00:00,L,1813.0,1795.5,-879.0,423,FORCE,IS,3667.5
2012-10-01 11:00:00,2012-10-08 01:00:00,L,1805.25,1818.5,658.5,426,FORCE,IS,4326.0
2012-10-08 11:00:00,2012-10-15 01:00:00,L,1814.75,1786.25,-1429.0,423,FORCE,IS,2897.0
2012-10-15 11:00:00,2012-10-22 01:00:00,L,1792.5,1789.0,-179.0,424,FORCE,IS,2718.0
2012-10-29 11:00:00,2012-11-05 01:00:00,L,1765.25,1768.25,146.0,355,FORCE,IS,2864.0
2012-11-05 11:00:00,2012-11-12 01:00:00,L,1770.0,1739.25,-1541.5,424,FORCE,IS,1322.5
2012-11-12 11:00:00,2012-11-19 01:00:00,L,1742.25,1729.0,-666.5,424,FORCE,IS,656.0
2012-11-19 11:00:00,2012-11-26 01:00:00,L,1730.25,1766.75,1821.0,386,FORCE,IS,2477.0
2012-11-26 11:00:00,2012-12-03 01:00:00,L,1763.0,1778.0,746.0,423,FORCE,IS,3223.0
2012-12-03 11:00:00,2012-12-10 01:00:00,L,1780.25,1781.75,71.0,424,FORCE,IS,3294.0
2012-12-10 11:00:00,2012-12-17 01:00:00,L,1777.75,1787.0,458.5,425,FORCE,IS,3752.5
2012-12-17 11:00:00,2012-12-24 01:00:00,L,1782.25,1792.75,521.0,423,FORCE,IS,4273.5
2012-12-24 11:00:00,2012-12-31 01:00:00,L,1790.25,1760.75,-1479.0,269,FORCE,IS,2794.5
2012-12-31 11:00:00,2013-01-07 01:00:00,L,1761.5,1830.0,3421.0,281,FORCE,IS,6215.5
2013-01-07 11:00:00,2013-01-14 01:00:00,L,1828.0,1838.0,496.0,422,FORCE,IS,6711.5
2013-01-14 11:00:00,2013-01-21 01:00:00,L,1841.25,1851.75,521.0,423,FORCE,IS,7232.5
2013-01-21 11:00:00,2013-01-28 01:00:00,L,1851.25,1866.25,746.0,398,FORCE,IS,7978.5
2013-01-28 11:00:00,2013-02-04 01:00:00,L,1867.5,1877.75,508.5,425,FORCE,IS,8487.0
2013-02-04 11:00:00,2013-02-11 01:00:00,L,1878.5,1885.25,333.5,423,FORCE,IS,8820.5
2013-02-11 11:00:00,2013-02-18 01:00:00,L,1886.25,1888.0,83.5,407,FORCE,IS,8904.0
2013-02-18 11:00:00,2013-02-25 01:00:00,L,1889.0,1887.25,-91.5,399,FORCE,IS,8812.5
2013-02-25 11:00:00,2013-03-04 01:00:00,L,1888.25,1885.5,-141.5,423,FORCE,IS,8671.0
2013-03-04 11:00:00,2013-03-11 01:00:00,L,1882.75,1919.0,1808.5,426,FORCE,IS,10479.5
2013-03-11 11:00:00,2013-03-18 01:00:00,L,1918.5,1912.25,-316.5,421,FORCE,IS,10163.0
2013-03-25 11:00:00,2013-04-01 01:00:00,L,1935.5,1938.5,146.0,325,FORCE,IS,10309.0
2013-04-01 11:00:00,2013-04-08 01:00:00,L,1936.25,1923.0,-666.5,422,FORCE,IS,9642.5
2013-04-08 11:00:00,2013-04-15 01:00:00,L,1926.5,1955.5,1446.0,420,FORCE,IS,11088.5
2013-04-15 11:00:00,2013-04-22 01:00:00,L,1950.5,1926.25,-1216.5,423,FORCE,IS,9872.0
2013-04-22 11:00:00,2013-04-29 01:00:00,L,1931.25,1952.0,1033.5,425,FORCE,IS,10905.5
2013-04-29 11:00:00,2013-05-06 01:00:00,L,1957.25,1986.0,1433.5,423,FORCE,IS,12339.0
2013-05-06 11:00:00,2013-05-13 01:00:00,L,1986.75,1998.75,596.0,424,FORCE,IS,12935.0
2013-05-13 11:00:00,2013-05-20 01:00:00,L,2000.75,2039.25,1921.0,425,FORCE,IS,14856.0
2013-05-20 11:00:00,2013-05-27 01:00:00,L,2038.25,2030.75,-379.0,422,FORCE,IS,14477.0
2013-06-03 11:00:00,2013-06-10 01:00:00,L,2005.0,2011.75,333.5,423,FORCE,IS,14810.5
2013-06-10 11:00:00,2013-06-17 01:00:00,L,2020.75,2002.0,-941.5,421,FORCE,IS,13869.0
2013-06-17 11:00:00,2013-06-21 17:45:00,L,2012.75,1952.5,-3016.5,396,SL,IS,10852.5
2013-07-01 11:00:00,2013-07-08 01:00:00,L,1985.75,2012.0,1308.5,385,FORCE,IS,12161.0
2013-07-08 11:00:00,2013-07-15 01:00:00,L,2014.5,2053.0,1921.0,424,FORCE,IS,14082.0
2013-07-15 11:00:00,2013-07-22 01:00:00,L,2056.75,2073.0,808.5,422,FORCE,IS,14890.5
2013-07-22 11:00:00,2013-07-29 01:00:00,L,2074.5,2069.25,-266.5,422,FORCE,IS,14624.0
2013-07-29 11:00:00,2013-08-05 01:00:00,L,2064.5,2084.25,983.5,421,FORCE,IS,15607.5
