entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason,periodo,pnl_cumulato
2012-01-30 10:15:00,2012-02-13 08:30:00,S,1648.0,1693.75,-2291.5,920,MAXBARS,IS,-2291.5
2012-03-22 10:30:00,2012-04-05 10:00:00,S,1740.0,1748.5,-429.0,920,MAXBARS,IS,-2720.5
2012-04-12 21:00:00,2012-04-26 19:15:00,L,1735.0,1740.25,258.5,920,MAXBARS,IS,-2462.0
2012-04-26 20:45:00,2012-05-10 19:15:00,L,1748.25,1711.25,-1854.0,920,MAXBARS,IS,-4316.0
2012-05-14 10:45:00,2012-05-28 12:30:00,S,1688.75,1678.25,521.0,920,MAXBARS,IS,-3795.0
2012-05-31 17:30:00,2012-06-14 15:45:00,S,1648.75,1666.75,-904.0,920,MAXBARS,IS,-4699.0
2012-06-29 05:15:00,2012-07-13 13:00:00,L,1693.25,1692.75,-29.0,920,MAXBARS,IS,-4728.0
2012-07-17 19:45:00,2012-07-31 18:45:00,L,1715.75,1734.25,921.0,920,MAXBARS,IS,-3807.0
2012-08-03 16:15:00,2012-08-17 15:00:00,L,1745.25,1770.0,1233.5,920,MAXBARS,IS,-2573.5
2012-08-23 16:30:00,2012-09-06 20:30:00,S,1760.0,1787.75,-1391.5,920,MAXBARS,IS,-3965.0
2012-10-01 16:30:00,2012-10-15 14:15:00,L,1815.0,1794.0,-1054.0,920,MAXBARS,IS,-5019.0
2012-10-16 16:15:00,2012-10-31 05:45:00,L,1810.25,1774.25,-1804.0,920,MAXBARS,IS,-6823.0
2012-11-19 22:00:00,2012-12-04 06:45:00,L,1747.5,1768.5,1046.0,920,MAXBARS,IS,-5777.0
2013-01-10 21:30:00,2013-01-25 03:00:00,L,1837.25,1858.25,1046.0,920,MAXBARS,IS,-4731.0
2013-03-04 22:30:00,2013-03-18 20:45:00,L,1897.25,1920.25,1146.0,920,MAXBARS,IS,-3585.0
2013-03-20 14:45:00,2013-04-04 14:45:00,L,1929.25,1925.75,-179.0,920,MAXBARS,IS,-3764.0
2013-04-23 16:00:00,2013-05-07 14:00:00,L,1944.75,1991.75,2346.0,920,MAXBARS,IS,-1418.0
2013-05-23 08:00:00,2013-06-06 12:30:00,S,2021.75,1989.5,1608.5,920,MAXBARS,IS,190.5
2013-06-12 18:30:00,2013-06-26 17:30:00,S,1991.25,1972.75,921.0,920,MAXBARS,IS,1111.5
2013-06-26 19:30:00,2013-07-11 04:30:00,L,1980.0,2045.25,3258.5,920,MAXBARS,IS,4370.0
2013-07-25 11:45:00,2013-08-08 11:30:00,S,2054.25,2074.25,-1004.0,920,MAXBARS,IS,3366.0
2013-11-06 16:15:00,2013-11-20 15:30:00,L,2157.25,2177.25,996.0,920,MAXBARS,IS,4362.0
2014-01-15 17:30:00,2014-01-29 20:30:00,L,2239.5,2159.25,-4016.5,912,SL,IS,345.5
2014-02-07 15:15:00,2014-02-21 20:15:00,L,2174.75,2231.75,2846.0,920,MAXBARS,IS,3191.5
2014-03-04 16:00:00,2014-03-18 14:15:00,L,2262.0,2257.5,-229.0,920,MAXBARS,IS,2962.5
2014-03-18 15:45:00,2014-04-01 15:45:00,L,2266.0,2273.5,371.0,920,MAXBARS,IS,3333.5
2014-04-07 16:00:00,2014-04-22 15:15:00,S,2249.75,2268.0,-916.5,920,MAXBARS,IS,2417.0
2014-05-12 16:00:00,2014-05-26 15:00:00,L,2288.25,2304.5,808.5,920,MAXBARS,IS,3225.5
2014-06-18 21:45:00,2014-07-02 20:30:00,L,2355.0,2375.25,1008.5,920,MAXBARS,IS,4234.0
2014-07-22 16:30:00,2014-08-05 16:30:00,L,2387.0,2336.0,-2554.0,920,MAXBARS,IS,1680.0
2014-08-11 16:15:00,2014-08-25 19:15:00,L,2345.25,2403.0,2883.5,920,MAXBARS,IS,4563.5
2014-09-09 21:30:00,2014-09-23 20:45:00,S,2396.25,2393.75,121.0,920,MAXBARS,IS,4684.5
2014-09-23 23:00:00,2014-10-07 22:00:00,S,2386.25,2344.5,2083.5,920,MAXBARS,IS,6768.0
2014-10-20 21:30:00,2014-10-31 07:30:00,L,2313.75,2433.5,5983.5,779,TP,IS,12751.5
2014-12-09 14:00:00,2014-12-23 12:15:00,S,2461.5,2498.5,-1854.0,920,MAXBARS,IS,10897.5
2014-12-31 20:45:00,2015-01-15 19:15:00,S,2487.25,2419.0,3408.5,920,MAXBARS,IS,14306.0
2015-03-25 17:00:00,2015-04-09 01:30:00,S,2500.25,2508.5,-416.5,920,MAXBARS,IS,13889.5
2015-04-23 19:15:00,2015-05-07 18:45:00,L,2544.0,2518.5,-1279.0,920,MAXBARS,IS,12610.5
2015-05-08 18:00:00,2015-05-22 17:00:00,L,2544.0,2559.25,758.5,920,MAXBARS,IS,13369.0
2015-06-02 11:15:00,2015-06-16 10:45:00,S,2527.75,2506.25,1071.0,920,MAXBARS,IS,14440.0
2015-08-27 15:45:00,2015-09-10 19:15:00,L,2404.75,2388.5,-816.5,920,MAXBARS,IS,13623.5
2015-09-16 19:15:00,2015-09-24 16:00:00,L,2431.75,2351.5,-4016.5,537,SL,IS,9607.0
2015-10-02 21:45:00,2015-10-19 01:15:00,L,2384.0,2473.0,4446.0,920,MAXBARS,IS,14053.0
2015-12-16 16:00:00,2015-12-31 21:30:00,L,2506.25,2496.75,-479.0,920,MAXBARS,IS,13574.0
2016-02-03 16:30:00,2016-02-17 22:45:00,S,2332.0,2383.5,-2579.0,920,MAXBARS,IS,10995.0
2016-03-10 18:45:00,2016-03-22 18:00:00,S,2431.5,2511.75,-4016.5,733,SL,IS,6978.5
2016-03-29 20:45:00,2016-04-12 22:45:00,L,2511.5,2519.75,408.5,920,MAXBARS,IS,7387.0
2016-04-13 11:30:00,2016-04-27 13:15:00,L,2534.0,2548.5,721.0,920,MAXBARS,IS,8108.0
2016-05-24 16:00:00,2016-06-07 21:30:00,L,2527.0,2579.25,2608.5,920,MAXBARS,IS,10716.5
2016-06-20 08:45:00,2016-06-24 06:00:00,L,2559.5,2479.25,-4016.5,354,SL,IS,6700.0
2016-06-30 20:30:00,2016-07-15 03:15:00,L,2561.25,2626.25,3246.0,920,MAXBARS,IS,9946.0
2016-08-02 16:45:00,2016-08-16 18:15:00,S,2626.75,2654.5,-1391.5,920,MAXBARS,IS,8554.5
