entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason,periodo,pnl_cumulato
2012-01-17 09:00:00,2012-01-30 15:00:00,L,1645.25,1645.0,-16.5,220,BE,IS,-16.5
2012-02-07 09:00:00,2012-02-10 10:00:00,L,1685.0,1684.75,-16.5,73,BE,IS,-33.0
2012-02-21 11:00:00,2012-02-29 17:00:00,L,1712.5,1712.25,-16.5,149,BE,IS,-49.5
2012-03-15 09:00:00,2012-03-22 10:00:00,L,1743.0,1742.75,-16.5,120,BE,IS,-66.0
2012-04-10 09:00:00,2012-04-13 11:00:00,L,1730.0,1729.75,-16.5,74,BE,IS,-82.5
2012-04-30 09:00:00,2012-05-01 22:00:00,L,1752.75,1752.5,-16.5,37,BE,IS,-99.0
2012-05-09 09:00:00,2012-05-16 09:00:00,L,1706.5,1675.0,-1579.0,119,TRAIL,IS,-1678.0
2012-05-17 09:00:00,2012-05-18 22:00:00,L,1682.5,1642.25,-2016.5,37,TRAIL,IS,-3694.5
2012-05-21 09:00:00,2012-05-23 17:00:00,L,1649.75,1649.5,-16.5,56,BE,IS,-3711.0
2012-06-05 09:00:00,2012-06-11 22:00:00,L,1631.5,1659.75,1408.5,108,TRAIL,IS,-2302.5
2012-06-21 09:00:00,2012-06-25 16:00:00,L,1704.25,1671.0,-1666.5,54,TRAIL,IS,-3969.0
2012-06-27 09:00:00,2012-06-28 11:00:00,L,1675.25,1675.0,-16.5,26,BE,IS,-3985.5
2012-07-03 09:00:00,2012-07-05 16:00:00,L,1717.5,1717.25,-16.5,47,BE,IS,-4002.0
2012-07-12 11:00:00,2012-07-23 16:00:00,L,1688.0,1693.75,283.5,171,TRAIL,IS,-3718.5
2012-07-26 09:00:00,2012-09-26 17:00:00,L,1693.5,1792.75,4958.5,1046,TRAIL,IS,1240.0
2012-09-27 09:00:00,2012-10-01 22:00:00,L,1800.5,1800.25,-16.5,60,BE,IS,1223.5
2012-10-04 09:00:00,2012-10-05 22:00:00,L,1817.75,1817.5,-16.5,37,BE,IS,1207.0
2012-10-11 09:00:00,2012-10-12 16:00:00,L,1792.0,1791.75,-16.5,31,BE,IS,1190.5
2012-10-15 09:00:00,2012-10-22 02:00:00,L,1787.75,1787.5,-16.5,112,BE,IS,1174.0
2012-10-25 09:00:00,2012-11-02 20:00:00,L,1776.25,1776.0,-16.5,139,BE,IS,1157.5
2012-11-09 09:00:00,2012-11-15 18:00:00,L,1747.0,1712.75,-1716.5,104,TRAIL,IS,-559.0
2012-11-16 09:00:00,2012-12-21 03:00:00,L,1715.0,1777.0,3096.0,583,TRAIL,IS,2537.0
2012-12-21 09:00:00,2012-12-28 23:00:00,L,1792.0,1759.5,-1629.0,94,TRAIL,IS,908.0
2013-01-04 09:00:00,2013-02-25 22:00:00,L,1824.75,1861.0,1808.5,861,TRAIL,IS,2716.5
2013-02-27 09:00:00,2013-04-15 22:00:00,L,1863.5,1928.75,3258.5,781,TRAIL,IS,5975.0
2013-04-19 09:00:00,2013-04-22 17:00:00,L,1918.75,1918.5,-16.5,32,BE,IS,5958.5
2013-04-25 10:00:00,2013-04-26 13:00:00,L,1951.75,1951.5,-16.5,27,BE,IS,5942.0
2013-04-29 09:00:00,2013-05-01 22:00:00,L,1953.25,1953.0,-16.5,61,BE,IS,5925.5
2013-05-07 09:00:00,2013-05-23 08:00:00,L,1988.75,2021.5,1633.5,287,TRAIL,IS,7559.0
2013-06-26 09:00:00,2013-08-15 16:00:00,L,1960.5,2046.75,4308.5,861,TRAIL,IS,11867.5
2013-08-19 09:00:00,2013-08-27 01:00:00,L,2035.0,2034.75,-16.5,136,BE,IS,11851.0
2013-09-10 09:00:00,2013-09-25 16:00:00,L,2055.0,2075.0,996.0,271,TRAIL,IS,12847.0
2013-09-26 09:00:00,2013-10-08 18:00:00,L,2079.75,2045.75,-1704.0,201,TRAIL,IS,11143.0
2013-10-10 09:00:00,2013-11-25 01:00:00,L,2045.75,2195.5,7483.5,760,TP,IS,18626.5
2013-11-28 10:00:00,2013-12-12 19:00:00,L,2195.0,2160.75,-1716.5,239,TRAIL,IS,16910.0
2013-12-16 09:00:00,2013-12-18 21:00:00,L,2156.25,2156.0,-16.5,60,BE,IS,16893.5
2013-12-20 09:00:00,2014-01-24 16:00:00,L,2200.0,2201.0,46.0,525,TRAIL,IS,16939.5
2014-01-28 09:00:00,2014-01-29 14:00:00,L,2176.25,2176.0,-16.5,29,BE,IS,16923.0
2014-02-05 09:00:00,2014-03-13 19:00:00,L,2135.75,2242.0,5308.5,629,TRAIL,IS,22231.5
