entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason,periodo,pnl_cumulato
2012-01-10 11:00:00,2012-01-24 09:00:00,L,4588.75,4654.5,1311.0,230,MAXBARS,IS,1311.0
2012-01-26 15:00:00,2012-01-26 22:00:00,L,4694.25,4669.0,-509.0,7,SL,IS,802.0
2012-02-01 11:00:00,2012-02-15 03:00:00,L,4703.75,4800.25,1926.0,230,MAXBARS,IS,2728.0
2012-02-15 04:00:00,2012-02-15 22:00:00,L,4802.75,4777.5,-509.0,18,SL,IS,2219.0
2012-02-21 19:00:00,2012-02-21 21:00:00,L,4825.75,4800.5,-509.0,2,SL,IS,1710.0
2012-02-23 16:00:00,2012-02-23 18:00:00,S,4796.75,4822.0,-509.0,2,SL,IS,1201.0
2012-02-23 23:00:00,2012-03-06 17:00:00,L,4827.0,4801.75,-509.0,184,SL,IS,692.0
2012-03-12 22:00:00,2012-03-26 15:00:00,L,4878.5,4976.5,1956.0,230,MAXBARS,IS,2648.0
2012-03-28 16:00:00,2012-03-28 18:00:00,L,5020.25,4995.0,-509.0,2,SL,IS,2139.0
2012-04-06 15:00:00,2012-04-09 21:00:00,S,4952.75,4978.0,-509.0,22,SL,IS,1630.0
2012-04-10 18:00:00,2012-04-24 10:00:00,S,4949.0,4888.75,1201.0,230,MAXBARS,IS,2831.0
2012-04-24 20:00:00,2012-04-24 23:00:00,S,4855.25,4880.5,-509.0,3,SL,IS,2322.0
2012-04-27 14:00:00,2012-05-02 15:00:00,L,4960.5,4935.25,-509.0,72,SL,IS,1813.0
2012-05-03 20:00:00,2012-05-17 12:00:00,S,4932.75,4791.25,2826.0,230,MAXBARS,IS,4639.0
2012-05-29 17:00:00,2012-05-30 13:00:00,L,4787.0,4761.75,-509.0,20,SL,IS,4130.0
2012-05-31 16:00:00,2012-06-06 19:00:00,S,4748.5,4773.75,-509.0,98,SL,IS,3621.0
2012-06-20 20:00:00,2012-06-20 22:00:00,L,4862.75,4837.5,-509.0,2,SL,IS,3112.0
2012-06-25 16:00:00,2012-06-29 15:00:00,S,4784.75,4810.0,-509.0,92,SL,IS,2603.0
2012-07-03 06:00:00,2012-07-06 19:00:00,L,4857.0,4831.75,-509.0,77,SL,IS,2094.0
2012-07-10 18:00:00,2012-07-18 18:00:00,S,4826.75,4852.0,-509.0,143,SL,IS,1585.0
2012-08-07 10:00:00,2012-08-21 02:00:00,L,4938.5,5018.25,1591.0,230,MAXBARS,IS,3176.0
2012-08-21 10:00:00,2012-08-22 16:00:00,L,5021.0,4995.75,-509.0,27,SL,IS,2667.0
2012-08-23 17:00:00,2012-08-24 20:00:00,S,4995.25,5020.5,-509.0,27,SL,IS,2158.0
2012-09-04 17:00:00,2012-09-04 21:00:00,S,4981.5,5006.75,-509.0,4,SL,IS,1649.0
2012-09-06 11:00:00,2012-09-20 03:00:00,L,5022.0,5098.5,1526.0,230,MAXBARS,IS,3175.0
2012-09-25 21:00:00,2012-10-09 13:00:00,S,5069.25,5014.75,1086.0,230,MAXBARS,IS,4261.0
