entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason,periodo,pnl_cumulato
2012-01-10 11:00:00,2012-01-24 09:00:00,L,4588.75,4654.5,1311.0,230,MAXBARS,IS,1311.0
2012-01-26 12:00:00,2012-02-09 04:00:00,L,4692.5,4767.25,1491.0,230,MAXBARS,IS,2802.0
2012-02-13 05:00:00,2012-02-27 03:00:00,L,4786.0,4825.0,776.0,230,MAXBARS,IS,3578.0
2012-03-01 22:00:00,2012-03-06 16:00:00,L,4870.5,4807.75,-1259.0,65,SL,IS,2319.0
2012-03-12 15:00:00,2012-03-26 08:00:00,L,4874.75,4964.75,1796.0,230,MAXBARS,IS,4115.0
2012-04-02 22:00:00,2012-04-06 15:00:00,L,5013.25,4950.5,-1259.0,89,SL,IS,2856.0
2012-04-09 04:00:00,2012-04-20 19:00:00,S,4949.25,4926.5,451.0,230,MAXBARS,IS,3307.0
2012-04-23 02:00:00,2012-04-27 15:00:00,S,4900.0,4962.75,-1259.0,109,SL,IS,2048.0
2012-04-27 22:00:00,2012-05-04 16:00:00,L,4971.25,4908.5,-1259.0,113,SL,IS,789.0
2012-05-11 15:00:00,2012-05-25 07:00:00,S,4830.5,4758.0,1446.0,230,MAXBARS,IS,2235.0
2012-06-01 11:00:00,2012-06-07 14:00:00,S,4736.25,4799.0,-1259.0,98,SL,IS,976.0
2012-06-11 02:00:00,2012-06-11 22:00:00,L,4826.75,4764.0,-1259.0,20,SL,IS,-283.0
2012-06-13 10:00:00,2012-06-27 05:00:00,L,4783.5,4785.25,31.0,230,MAXBARS,IS,-252.0
2012-06-28 11:00:00,2012-06-29 21:00:00,S,4778.75,4841.5,-1259.0,34,SL,IS,-1511.0
2012-07-03 06:00:00,2012-07-11 20:00:00,L,4857.0,4794.25,-1259.0,149,SL,IS,-2770.0
2012-08-01 15:00:00,2012-08-15 07:00:00,L,4889.25,4958.25,1376.0,230,MAXBARS,IS,-1394.0
2012-08-20 12:00:00,2012-09-03 07:00:00,L,5017.25,5009.0,-169.0,230,MAXBARS,IS,-1563.0
2012-09-06 10:00:00,2012-09-20 02:00:00,L,5017.5,5098.25,1611.0,230,MAXBARS,IS,48.0
2012-10-01 02:00:00,2012-10-12 17:00:00,S,5028.0,4967.5,1206.0,230,MAXBARS,IS,1254.0
