entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason,periodo,pnl_cumulato
2012-01-10 17:00:00,2012-01-12 15:00:00,L,4597.5,4597.0,-14.0,46,MAXBARS,IS,-14.0
2012-01-12 19:00:00,2012-01-16 18:00:00,L,4598.5,4609.0,206.0,46,MAXBARS,IS,192.0
2012-01-17 03:00:00,2012-01-19 01:00:00,L,4610.75,4645.5,691.0,46,MAXBARS,IS,883.0
2012-01-19 04:00:00,2012-01-23 03:00:00,L,4648.25,4651.25,56.0,46,MAXBARS,IS,939.0
2012-01-23 17:00:00,2012-01-25 15:00:00,L,4670.75,4680.5,191.0,46,MAXBARS,IS,1130.0
2012-01-26 17:00:00,2012-01-30 16:00:00,L,4699.5,4661.75,-759.0,46,MAXBARS,IS,371.0
2012-01-30 20:00:00,2012-02-01 18:00:00,L,4689.75,4710.5,411.0,46,MAXBARS,IS,782.0
2012-02-01 19:00:00,2012-02-03 17:00:00,L,4711.0,4749.0,756.0,46,MAXBARS,IS,1538.0
2012-02-07 02:00:00,2012-02-09 00:00:00,L,4753.0,4762.0,176.0,46,MAXBARS,IS,1714.0
2012-02-09 17:00:00,2012-02-13 16:00:00,L,4774.75,4789.25,286.0,46,MAXBARS,IS,2000.0
2012-02-13 17:00:00,2012-02-15 15:00:00,L,4790.0,4810.75,411.0,46,MAXBARS,IS,2411.0
2012-02-15 17:00:00,2012-02-17 15:00:00,L,4814.5,4816.75,41.0,46,MAXBARS,IS,2452.0
2012-02-20 04:00:00,2012-02-22 08:00:00,L,4822.75,4821.5,-29.0,46,MAXBARS,IS,2423.0
2012-02-23 23:00:00,2012-02-27 22:00:00,L,4825.75,4832.75,136.0,46,MAXBARS,IS,2559.0
2012-02-27 23:00:00,2012-02-29 21:00:00,L,4834.75,4853.0,361.0,46,MAXBARS,IS,2920.0
2012-03-01 20:00:00,2012-03-05 19:00:00,L,4870.5,4835.75,-699.0,46,MAXBARS,IS,2221.0
2012-03-05 20:00:00,2012-03-07 18:00:00,S,4835.5,4835.5,-4.0,46,MAXBARS,IS,2217.0
2012-03-12 17:00:00,2012-03-14 15:00:00,S,4866.75,4933.25,-1334.0,46,MAXBARS,IS,883.0
2012-03-14 17:00:00,2012-03-16 15:00:00,L,4935.5,4939.0,66.0,46,MAXBARS,IS,949.0
2012-03-19 02:00:00,2012-03-21 00:00:00,L,4945.0,4964.0,376.0,46,MAXBARS,IS,1325.0
2012-03-21 02:00:00,2012-03-23 00:00:00,L,4969.5,4960.75,-179.0,46,MAXBARS,IS,1146.0
2012-03-26 17:00:00,2012-03-28 15:00:00,L,4978.0,5006.5,566.0,46,MAXBARS,IS,1712.0
2012-03-28 17:00:00,2012-03-30 15:00:00,S,5002.25,4999.0,61.0,46,MAXBARS,IS,1773.0
2012-04-02 18:00:00,2012-04-04 16:00:00,L,5004.0,4985.75,-369.0,46,MAXBARS,IS,1404.0
2012-04-27 17:00:00,2012-05-01 16:00:00,L,4960.5,4949.25,-229.0,46,MAXBARS,IS,1175.0
2012-05-01 17:00:00,2012-05-03 15:00:00,L,4975.0,4964.25,-219.0,46,MAXBARS,IS,956.0
2012-05-29 17:00:00,2012-05-31 15:00:00,L,4778.25,4766.25,-244.0,46,MAXBARS,IS,712.0
2012-06-13 17:00:00,2012-06-15 15:00:00,L,4783.5,4773.0,-214.0,46,MAXBARS,IS,498.0
2012-06-18 02:00:00,2012-06-20 00:00:00,L,4811.75,4848.25,726.0,46,MAXBARS,IS,1224.0
2012-06-20 20:00:00,2012-06-22 18:00:00,L,4862.75,4800.25,-1254.0,46,MAXBARS,IS,-30.0
2012-07-03 17:00:00,2012-07-05 23:00:00,L,4859.25,4879.5,401.0,46,MAXBARS,IS,371.0
2012-07-18 17:00:00,2012-07-20 15:00:00,L,4842.75,4881.0,761.0,46,MAXBARS,IS,1132.0
2012-07-23 02:00:00,2012-07-25 00:00:00,S,4846.0,4760.75,1701.0,46,MAXBARS,IS,2833.0
2012-07-30 17:00:00,2012-08-01 15:00:00,L,4892.0,4887.75,-89.0,46,MAXBARS,IS,2744.0
2012-08-01 21:00:00,2012-08-03 19:00:00,S,4867.25,4912.0,-899.0,46,MAXBARS,IS,1845.0
2012-08-07 17:00:00,2012-08-09 15:00:00,L,4940.0,4948.25,161.0,46,MAXBARS,IS,2006.0
2012-08-09 17:00:00,2012-08-13 16:00:00,L,4953.75,4957.25,66.0,46,MAXBARS,IS,2072.0
2012-08-13 17:00:00,2012-08-15 15:00:00,L,4959.75,4960.0,1.0,46,MAXBARS,IS,2073.0
2012-08-16 03:00:00,2012-08-20 02:00:00,L,4979.25,5013.75,686.0,46,MAXBARS,IS,2759.0
2012-08-20 18:00:00,2012-08-22 19:00:00,L,5017.25,5001.75,-314.0,46,MAXBARS,IS,2445.0
2012-08-23 04:00:00,2012-08-27 03:00:00,L,5026.5,5024.25,-49.0,46,MAXBARS,IS,2396.0
2012-08-29 20:00:00,2012-08-31 18:00:00,L,5027.25,5009.75,-354.0,46,MAXBARS,IS,2042.0
2012-09-06 17:00:00,2012-09-10 16:00:00,L,5036.25,5050.25,276.0,46,MAXBARS,IS,2318.0
2012-09-11 05:00:00,2012-09-13 03:00:00,S,5018.0,5030.0,-244.0,46,MAXBARS,IS,2074.0
2012-09-13 19:00:00,2012-09-17 18:00:00,L,5039.75,5089.0,981.0,46,MAXBARS,IS,3055.0
2012-09-18 17:00:00,2012-09-20 15:00:00,L,5096.0,5087.75,-169.0,46,MAXBARS,IS,2886.0
2012-09-21 03:00:00,2012-09-25 02:00:00,L,5101.5,5082.75,-379.0,46,MAXBARS,IS,2507.0
2012-10-03 17:00:00,2012-10-05 15:00:00,L,5051.25,5079.0,551.0,46,MAXBARS,IS,3058.0
2012-10-05 17:00:00,2012-10-09 16:00:00,L,5079.0,4998.75,-1609.0,46,MAXBARS,IS,1449.0
2012-10-17 17:00:00,2012-10-19 15:00:00,L,5020.75,4971.5,-989.0,46,MAXBARS,IS,460.0
2012-10-19 17:00:00,2012-10-23 16:00:00,S,4965.75,4905.75,1196.0,46,MAXBARS,IS,1656.0
2012-11-01 17:00:00,2012-11-05 17:00:00,L,4923.5,4905.75,-359.0,46,MAXBARS,IS,1297.0
2012-11-06 18:00:00,2012-11-08 16:00:00,L,4917.0,4861.75,-1109.0,46,MAXBARS,IS,188.0
2012-11-21 03:00:00,2012-11-23 07:00:00,L,4840.25,4846.75,126.0,46,MAXBARS,IS,314.0
2012-11-23 17:00:00,2012-11-27 19:00:00,L,4859.25,4899.5,801.0,46,MAXBARS,IS,1115.0
2012-11-27 20:00:00,2012-11-29 18:00:00,L,4900.0,4917.5,346.0,46,MAXBARS,IS,1461.0
2012-11-29 19:00:00,2012-12-03 17:00:00,L,4918.25,4925.75,146.0,46,MAXBARS,IS,1607.0
2012-12-03 23:00:00,2012-12-05 21:00:00,S,4910.25,4890.0,401.0,46,MAXBARS,IS,2008.0
2012-12-13 18:00:00,2012-12-17 16:00:00,S,4911.0,4883.5,546.0,46,MAXBARS,IS,2554.0
2012-12-20 17:00:00,2012-12-24 15:00:00,S,4928.0,4905.25,451.0,46,MAXBARS,IS,3005.0
2013-01-03 17:00:00,2013-01-07 15:00:00,L,4991.5,4957.0,-694.0,46,MAXBARS,IS,2311.0
2013-01-09 17:00:00,2013-01-11 15:00:00,L,4973.5,4985.0,226.0,46,MAXBARS,IS,2537.0
2013-01-11 22:00:00,2013-01-15 20:00:00,L,4992.25,4961.0,-629.0,46,MAXBARS,IS,1908.0
2013-01-21 18:00:00,2013-01-23 22:00:00,L,4990.5,5003.5,256.0,46,MAXBARS,IS,2164.0
2013-01-23 23:00:00,2013-01-25 21:00:00,L,5006.75,4982.75,-484.0,46,MAXBARS,IS,1680.0
2013-02-01 17:00:00,2013-02-05 15:00:00,L,4995.0,4972.25,-459.0,46,MAXBARS,IS,1221.0
2013-02-13 17:00:00,2013-02-15 19:00:00,L,5027.75,5015.5,-249.0,46,MAXBARS,IS,972.0
2013-02-28 17:00:00,2013-03-04 15:00:00,L,5006.5,4988.75,-359.0,46,MAXBARS,IS,613.0
2013-03-04 21:00:00,2013-03-06 19:00:00,L,5000.25,5038.5,761.0,46,MAXBARS,IS,1374.0
2013-03-08 18:00:00,2013-03-12 15:00:00,L,5053.25,5054.75,26.0,46,MAXBARS,IS,1400.0
2013-03-22 18:00:00,2013-03-26 16:00:00,L,5041.0,5046.5,106.0,46,MAXBARS,IS,1506.0
2013-03-27 20:00:00,2013-04-01 19:00:00,L,5057.0,5049.0,-164.0,46,MAXBARS,IS,1342.0
2013-04-02 17:00:00,2013-04-04 15:00:00,L,5068.75,5039.0,-599.0,46,MAXBARS,IS,743.0
2013-04-11 18:00:00,2013-04-15 16:00:00,L,5110.5,5091.0,-394.0,46,MAXBARS,IS,349.0
2013-04-15 17:00:00,2013-04-17 15:00:00,S,5080.75,5057.5,461.0,46,MAXBARS,IS,810.0
2013-04-25 17:00:00,2013-04-29 15:00:00,L,5096.5,5093.0,-74.0,46,MAXBARS,IS,736.0
2013-04-29 17:00:00,2013-05-01 15:00:00,L,5104.0,5133.25,581.0,46,MAXBARS,IS,1317.0
2013-05-02 17:00:00,2013-05-06 15:00:00,L,5140.0,5195.75,1111.0,46,MAXBARS,IS,2428.0
2013-05-06 17:00:00,2013-05-08 15:00:00,L,5200.75,5197.0,-79.0,46,MAXBARS,IS,2349.0
2013-05-08 17:00:00,2013-05-10 15:00:00,L,5209.75,5214.5,91.0,46,MAXBARS,IS,2440.0
2013-05-11 00:00:00,2013-05-14 22:00:00,L,5231.25,5247.75,326.0,46,MAXBARS,IS,2766.0
2013-05-14 23:00:00,2013-05-16 21:00:00,L,5248.25,5259.25,216.0,46,MAXBARS,IS,2982.0
2013-05-16 22:00:00,2013-05-20 20:00:00,L,5260.5,5268.0,146.0,46,MAXBARS,IS,3128.0
2013-05-21 20:00:00,2013-05-23 18:00:00,L,5285.0,5245.75,-789.0,46,MAXBARS,IS,2339.0
2013-05-30 17:00:00,2013-06-03 15:00:00,L,5266.5,5240.0,-534.0,46,MAXBARS,IS,1805.0
2013-06-28 21:00:00,2013-07-02 19:00:00,L,5176.75,5192.5,311.0,46,MAXBARS,IS,2116.0
2013-07-03 18:00:00,2013-07-08 02:00:00,L,5199.75,5224.25,486.0,46,MAXBARS,IS,2602.0
2013-07-08 17:00:00,2013-07-10 15:00:00,L,5229.75,5233.25,66.0,46,MAXBARS,IS,2668.0
2013-07-10 17:00:00,2013-07-12 15:00:00,L,5245.75,5314.0,1361.0,46,MAXBARS,IS,4029.0
2013-07-12 17:00:00,2013-07-16 15:00:00,L,5316.5,5334.25,351.0,46,MAXBARS,IS,4380.0
2013-07-16 17:00:00,2013-07-18 15:00:00,L,5335.0,5338.75,71.0,46,MAXBARS,IS,4451.0
2013-07-18 17:00:00,2013-07-22 15:00:00,L,5345.0,5301.5,-874.0,46,MAXBARS,IS,3577.0
2013-07-30 17:00:00,2013-08-01 15:00:00,L,5337.0,5363.25,521.0,46,MAXBARS,IS,4098.0
2013-08-01 17:00:00,2013-08-05 15:00:00,L,5365.25,5392.0,531.0,46,MAXBARS,IS,4629.0
2013-08-05 17:00:00,2013-08-07 15:00:00,L,5396.5,5372.75,-479.0,46,MAXBARS,IS,4150.0
2013-08-08 02:00:00,2013-08-10 00:00:00,L,5378.0,5370.75,-149.0,46,MAXBARS,IS,4001.0
2013-08-26 17:00:00,2013-08-28 15:00:00,L,5389.75,5319.25,-1414.0,46,MAXBARS,IS,2587.0
2013-08-29 17:00:00,2013-09-02 15:00:00,L,5347.25,5365.75,366.0,46,MAXBARS,IS,2953.0
2013-09-04 17:00:00,2013-09-06 15:00:00,L,5371.5,5400.75,581.0,46,MAXBARS,IS,3534.0
2013-09-06 17:00:00,2013-09-10 15:00:00,L,5396.25,5442.25,916.0,46,MAXBARS,IS,4450.0
2013-09-10 17:00:00,2013-09-12 15:00:00,L,5441.5,5441.0,-14.0,46,MAXBARS,IS,4436.0
2013-09-18 03:00:00,2013-09-20 01:00:00,L,5454.25,5495.25,816.0,46,MAXBARS,IS,5252.0
2013-09-20 17:00:00,2013-09-24 15:00:00,L,5503.0,5481.25,-439.0,46,MAXBARS,IS,4813.0
2013-10-03 17:00:00,2013-10-07 15:00:00,S,5485.75,5477.5,161.0,46,MAXBARS,IS,4974.0
2013-10-15 02:00:00,2013-10-17 00:00:00,L,5520.25,5528.75,166.0,46,MAXBARS,IS,5140.0
2013-10-17 18:00:00,2013-10-21 16:00:00,L,5541.75,5623.75,1636.0,46,MAXBARS,IS,6776.0
2013-10-21 17:00:00,2013-10-23 15:00:00,L,5624.75,5608.75,-324.0,46,MAXBARS,IS,6452.0
2013-10-24 18:00:00,2013-10-28 15:00:00,L,5622.5,5637.75,301.0,46,MAXBARS,IS,6753.0
2013-10-28 17:00:00,2013-10-30 15:00:00,S,5630.75,5662.0,-629.0,46,MAXBARS,IS,6124.0
2013-10-30 17:00:00,2013-11-01 15:00:00,L,5659.5,5648.25,-229.0,46,MAXBARS,IS,5895.0
2013-11-14 17:00:00,2013-11-18 15:00:00,L,5672.0,5683.25,221.0,46,MAXBARS,IS,6116.0
2013-11-18 17:00:00,2013-11-20 15:00:00,S,5670.0,5652.5,346.0,46,MAXBARS,IS,6462.0
2013-11-25 02:00:00,2013-11-27 00:00:00,L,5696.5,5713.25,331.0,46,MAXBARS,IS,6793.0
2013-11-27 17:00:00,2013-12-02 01:00:00,L,5730.0,5756.75,531.0,46,MAXBARS,IS,7324.0
2013-12-04 17:00:00,2013-12-06 15:00:00,L,5754.0,5770.75,331.0,46,MAXBARS,IS,7655.0
2013-12-09 02:00:00,2013-12-11 00:00:00,L,5777.5,5782.0,86.0,46,MAXBARS,IS,7741.0
2013-12-20 17:00:00,2013-12-24 15:00:00,L,5783.0,5836.75,1071.0,46,MAXBARS,IS,8812.0
2013-12-24 17:00:00,2013-12-30 07:00:00,L,5837.75,5841.5,71.0,46,MAXBARS,IS,8883.0
