entry_time,exit_time,side,entry_price,exit_price,pnl,bars_held,exit_reason,periodo,pnl_cumulato
2012-01-10 17:00:00,2012-01-10 19:00:00,L,4597.5,4584.75,-259.0,2,SL,IS,-259.0
2012-01-18 20:00:00,2012-02-13 10:00:00,L,4643.25,4793.0,2991.0,418,TP,IS,2732.0
2012-03-01 21:00:00,2012-03-02 20:00:00,L,4870.5,4857.75,-259.0,23,SL,IS,2473.0
2012-03-05 20:00:00,2012-03-08 11:00:00,S,4835.5,4848.25,-259.0,63,SL,IS,2214.0
2012-03-08 19:00:00,2012-03-26 23:00:00,L,4857.75,5007.5,2991.0,289,TP,IS,5205.0
2012-04-06 16:00:00,2012-04-09 17:00:00,S,4952.75,4965.5,-259.0,17,SL,IS,4946.0
2012-04-12 18:00:00,2012-04-13 16:00:00,L,4964.75,4952.0,-259.0,22,SL,IS,4687.0
2012-04-19 22:00:00,2012-04-20 11:00:00,S,4911.0,4923.75,-259.0,13,SL,IS,4428.0
2012-04-23 17:00:00,2012-04-23 23:00:00,S,4872.5,4885.25,-259.0,6,SL,IS,4169.0
2012-04-24 21:00:00,2012-04-24 22:00:00,S,4855.25,4868.0,-259.0,1,SL,IS,3910.0
2012-04-27 21:00:00,2012-04-30 14:00:00,L,4973.0,4960.25,-259.0,16,SL,IS,3651.0
2012-05-03 21:00:00,2012-05-17 14:00:00,S,4927.25,4777.5,2991.0,231,TP,IS,6642.0
2012-05-23 18:00:00,2012-05-23 20:00:00,S,4737.5,4750.25,-259.0,2,SL,IS,6383.0
2012-05-29 18:00:00,2012-05-29 18:00:00,L,4794.0,4781.25,-259.0,1,SL_SAMEBAR,IS,6124.0
2012-06-01 16:00:00,2012-06-01 17:00:00,S,4711.0,4723.75,-259.0,1,SL,IS,5865.0
2012-06-06 15:00:00,2012-08-03 16:00:00,L,4745.0,4894.75,2991.0,990,TP,IS,8856.0
2012-08-07 19:00:00,2012-08-08 03:00:00,L,4955.25,4942.5,-259.0,8,SL,IS,8597.0
2012-09-04 18:00:00,2012-09-04 20:00:00,S,4982.0,4994.75,-259.0,2,SL,IS,8338.0
2012-09-10 22:00:00,2012-09-13 01:00:00,S,5029.25,5042.0,-259.0,51,SL,IS,8079.0
2012-09-13 21:00:00,2012-09-25 22:00:00,L,5063.75,5051.0,-259.0,191,SL,IS,7820.0
2012-10-18 20:00:00,2012-11-08 18:00:00,S,4987.0,4837.25,2991.0,339,TP,IS,10811.0
2012-11-14 22:00:00,2012-11-19 15:00:00,S,4787.25,4800.0,-259.0,64,SL,IS,10552.0
2012-12-05 18:00:00,2012-12-05 18:00:00,S,4872.5,4885.25,-259.0,1,SL_SAMEBAR,IS,10293.0
2012-12-11 17:00:00,2012-12-13 12:00:00,L,4923.0,4910.25,-259.0,43,SL,IS,10034.0
2012-12-27 19:00:00,2012-12-27 22:00:00,S,4854.5,4867.25,-259.0,3,SL,IS,9775.0
2013-02-27 19:00:00,2013-03-01 13:00:00,L,4989.0,4976.25,-259.0,42,SL,IS,9516.0
2013-03-05 18:00:00,2013-03-18 00:00:00,L,5042.0,5026.5,-314.0,199,SL,IS,9202.0
2013-04-05 16:00:00,2013-04-05 22:00:00,S,5000.5,5013.25,-259.0,6,SL,IS,8943.0
2013-04-10 18:00:00,2013-04-12 17:00:00,L,5099.75,5087.0,-259.0,47,SL,IS,8684.0
2013-04-15 20:00:00,2013-04-16 18:00:00,S,5066.0,5078.75,-259.0,22,SL,IS,8425.0
2013-04-22 22:00:00,2013-04-23 04:00:00,L,5060.25,5047.5,-259.0,6,SL,IS,8166.0
2013-04-23 17:00:00,2013-04-23 20:00:00,L,5079.25,5066.5,-259.0,3,SL,IS,7907.0
2013-05-28 17:00:00,2013-05-28 18:00:00,L,5286.25,5273.5,-259.0,1,SL,IS,7648.0
2013-06-07 19:00:00,2013-06-11 12:00:00,L,5232.75,5220.0,-259.0,41,SL,IS,7389.0
2013-06-12 22:00:00,2013-06-13 19:00:00,S,5183.5,5196.25,-259.0,21,SL,IS,7130.0
2013-06-18 22:00:00,2013-06-19 19:00:00,L,5255.5,5242.75,-259.0,21,SL,IS,6871.0
