# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMO,@FDAX,0,50157,0.01,2.83,3.33,3.29,3.53,3.73,3.73,283,333,329.01,353,373,373,0
FTMO,@FDAX,1,41745,0.01,2.93,3.13,3.13,3.33,3.73,3.73,293,313,312.58,333,373,373,0
FTMO,@FDAX,2,28343,0.01,2.93,3.03,3.06,3.33,3.63,3.73,293,303,305.77,333,363,373,0
FTMO,@FDAX,3,22290,0.01,2.93,2.93,2.99,3.13,3.33,3.53,293,293,299.01,313,333,353,0
FTMO,@FDAX,4,19814,0.01,2.93,2.93,3.02,3.23,3.73,3.73,293,293,302.00,323,373,373,0
FTMO,@FDAX,5,30532,0.01,2.93,3.03,3.10,3.43,3.73,3.73,293,303,310.41,343,373,373,0
FTMO,@FDAX,6,69136,0.01,1.33,1.53,1.66,2.13,3.23,3.63,133,153,166.16,213,323,363,0
FTMO,@FDAX,7,165407,0.01,1.13,1.23,1.27,1.33,1.33,5.23,113,123,126.69,133,133,523,0
FTMO,@FDAX,8,140629,0.01,1.13,1.23,1.23,1.33,1.33,3.13,113,123,122.90,133,133,313,0
FTMO,@FDAX,9,115609,0.01,1.13,1.23,1.21,1.33,1.33,1.33,113,123,120.55,133,133,133,0
FTMO,@FDAX,10,95581,0.01,1.13,1.13,1.18,1.23,1.33,1.33,113,113,118.00,123,133,133,0
FTMO,@FDAX,11,98915,0.01,1.13,1.13,1.19,1.33,1.33,5.13,113,113,118.68,133,133,513,0
FTMO,@FDAX,12,122259,0.01,1.13,1.23,1.23,1.33,1.43,12.43,113,123,122.80,133,143,1243,0
FTMO,@FDAX,13,158515,0.01,1.13,1.23,1.23,1.33,1.33,5.33,113,123,123.34,133,133,533,0
FTMO,@FDAX,14,150319,0.01,1.13,1.23,1.22,1.33,1.33,9.45,113,123,122.43,133,133,945,0
FTMO,@FDAX,15,112995,0.01,1.13,1.33,1.59,2.33,2.33,5.33,113,133,159.17,233,233,533,0
FTMO,@FDAX,16,69763,0.01,1.33,1.73,1.77,2.33,2.33,6.33,133,173,176.80,233,233,633,0
FTMO,@FDAX,17,55629,0.01,1.33,1.53,1.65,2.33,2.33,7.43,133,153,164.60,233,233,743,0
FTMO,@FDAX,18,57123,0.01,1.33,1.63,1.75,2.33,2.33,8.53,133,163,174.52,233,233,853,0
FTMO,@FDAX,19,55921,0.01,1.33,1.63,1.75,2.33,2.33,5.33,133,163,174.69,233,233,533,0
FTMO,@FDAX,20,38755,0.01,1.53,3.69,3.60,3.79,3.79,7.59,153,369,360.44,379,379,759,0
FTMO,@FDAX,21,0,0.01,,,,,,,,,,,,,0
FTMO,@FDAX,22,25373,0.01,2.99,3.59,3.51,3.79,3.79,3.79,299,359,350.85,379,379,379,0
FTMO,@FDAX,23,28995,0.01,2.73,3.13,3.15,3.53,3.53,3.69,273,313,314.73,353,353,369,0
