# Misure di spread del broker FTMO, unite dal server Piootoo. Ogni simbolo porta la finestra in cui
# e' stato misurato (firstTickUtc/lastTickUtc): i simboli non si confrontano fra loro su periodi diversi.
# Il backtest legge solo il file spread-by-symbol piu' recente: le misure non rifatte restano qui, gli originali in storico/.
# Piootoo Spread Dump v2.0.1 — broker FTMOPLATFORM, finestra UTC 2026-08-01 -> 2026-09-01
# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
# 2026-09-24 07:34Z: @AP dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:35Z: @BP dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:36Z: @BRN dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @BTC dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @C dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:42Z: @CC dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:43Z: @CL dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:43Z: @CT dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:44Z: @ES dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
# 2026-09-24 07:45Z: @ETH dalla misura 2026-08-25 -> 2026-09-23 (bot v7.6.5, conto 17202911).
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMOPLATFORM,@FDAX,0,43335,0.01,2.83,3.33,3.29,3.53,3.73,7.63,283,333,328.58,353,373,763,0
FTMOPLATFORM,@FDAX,1,34162,0.01,2.93,3.13,3.18,3.43,3.63,8.33,293,313,318.13,343,363,833,0
FTMOPLATFORM,@FDAX,2,21182,0.01,2.93,3.03,3.11,3.33,3.53,5.23,293,303,310.86,333,353,523,0
FTMOPLATFORM,@FDAX,3,16921,0.01,2.93,3.03,3.05,3.23,3.43,4.33,293,303,305.28,323,343,433,0
FTMOPLATFORM,@FDAX,4,14946,0.01,2.93,2.93,3.03,3.23,3.43,3.53,293,293,302.91,323,343,353,0
FTMOPLATFORM,@FDAX,5,21573,0.01,2.93,3.03,3.11,3.33,3.73,3.73,293,303,310.68,333,373,373,0
FTMOPLATFORM,@FDAX,6,46466,0.01,1.33,1.33,1.42,1.53,3.23,3.63,133,133,142.09,153,323,363,0
FTMOPLATFORM,@FDAX,7,142113,0.01,1.13,1.23,1.21,1.33,1.33,2.33,113,123,120.99,133,133,233,0
FTMOPLATFORM,@FDAX,8,109839,0.01,1.13,1.13,1.16,1.23,1.33,3.13,113,113,115.90,123,133,313,0
FTMOPLATFORM,@FDAX,9,85586,0.01,1.13,1.13,1.14,1.13,1.23,3.13,113,113,114.07,113,123,313,0
FTMOPLATFORM,@FDAX,10,72521,0.01,1.13,1.13,1.14,1.13,1.33,2.23,113,113,114.01,113,133,223,0
FTMOPLATFORM,@FDAX,11,76121,0.01,1.13,1.13,1.14,1.13,1.33,3.13,113,113,114.13,113,133,313,0
FTMOPLATFORM,@FDAX,12,89220,0.01,1.13,1.13,1.17,1.23,1.33,12.35,113,113,117.02,123,133,1235,0
FTMOPLATFORM,@FDAX,13,130569,0.01,1.13,1.13,1.17,1.23,1.33,7.43,113,113,117.02,123,133,743,0
FTMOPLATFORM,@FDAX,14,122298,0.01,1.13,1.13,1.15,1.23,1.33,11.45,113,113,115.42,123,133,1145,0
