# Piootoo Spread Dump v2.0.1 — broker FTMOPLATFORM, finestra UTC 2026-08-01 -> 2026-09-01
# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
FTMOPLATFORM,@BP,0,87065,1E-05,0.00003,0.00004,0.00005,0.00010,0.00010,0.00013,3,4,5.23,10,10,13,0
FTMOPLATFORM,@BP,1,92005,1E-05,0.00002,0.00003,0.00005,0.00009,0.00010,0.00011,2,3,5.01,9,10,11,0
FTMOPLATFORM,@BP,2,73291,1E-05,0.00003,0.00004,0.00005,0.00010,0.00010,0.00010,3,4,5.11,10,10,10,0
FTMOPLATFORM,@BP,3,61083,1E-05,0.00002,0.00004,0.00005,0.00009,0.00010,0.00010,2,4,5.13,9,10,10,0
FTMOPLATFORM,@BP,4,56354,1E-05,0.00002,0.00004,0.00005,0.00009,0.00010,0.00014,2,4,5.15,9,10,14,0
FTMOPLATFORM,@BP,5,65086,1E-05,0.00002,0.00004,0.00005,0.00010,0.00010,0.00013,2,4,5.27,10,10,13,0
FTMOPLATFORM,@BP,6,123211,1E-05,0.00001,0.00003,0.00004,0.00007,0.00008,0.00128,1,3,3.92,7,8,128,0
FTMOPLATFORM,@BP,7,129376,1E-05,0.00001,0.00003,0.00004,0.00008,0.00008,0.00012,1,3,3.95,8,8,12,0
FTMOPLATFORM,@BP,8,123701,1E-05,0.00001,0.00003,0.00004,0.00007,0.00008,0.00104,1,3,3.95,7,8,104,0
FTMOPLATFORM,@BP,9,113308,1E-05,0.00001,0.00003,0.00004,0.00007,0.00008,0.00014,1,3,3.97,7,8,14,0
FTMOPLATFORM,@BP,10,105421,1E-05,0.00001,0.00003,0.00004,0.00008,0.00008,0.00015,1,3,4.03,8,8,15,0
FTMOPLATFORM,@BP,11,124097,1E-05,0.00001,0.00003,0.00004,0.00007,0.00008,0.00014,1,3,3.66,7,8,14,0
FTMOPLATFORM,@BP,12,156842,1E-05,0.00001,0.00003,0.00004,0.00007,0.00008,0.00138,1,3,3.86,7,8,138,0
FTMOPLATFORM,@BP,13,179342,1E-05,0.00001,0.00003,0.00004,0.00007,0.00008,0.00118,1,3,3.79,7,8,118,0
FTMOPLATFORM,@BP,14,184433,1E-05,-0.00007,0.00003,0.00004,0.00007,0.00008,0.00136,-7,3,3.79,7,8,136,2
FTMOPLATFORM,@BP,15,164901,1E-05,0.00001,0.00003,0.00004,0.00007,0.00008,0.00012,1,3,3.67,7,8,12,0
FTMOPLATFORM,@BP,16,119916,1E-05,0.00001,0.00003,0.00004,0.00008,0.00009,0.00016,1,3,3.98,8,9,16,0
FTMOPLATFORM,@BP,17,106124,1E-05,0.00001,0.00003,0.00004,0.00008,0.00009,0.00014,1,3,3.98,8,9,14,0
FTMOPLATFORM,@BP,18,91443,1E-05,0.00001,0.00003,0.00004,0.00008,0.00009,0.00047,1,3,4.19,8,9,47,0
FTMOPLATFORM,@BP,19,91394,1E-05,0.00001,0.00003,0.00004,0.00008,0.00009,0.00011,1,3,4.19,8,9,11,0
FTMOPLATFORM,@BP,20,47343,1E-05,0.00002,0.00006,0.00008,0.00013,0.00021,0.00026,2,6,7.82,13,21,26,0
FTMOPLATFORM,@BP,21,14848,1E-05,0.00058,0.00085,0.00093,0.00142,0.00190,0.00198,58,85,92.50,142,190,198,0
FTMOPLATFORM,@BP,22,35747,1E-05,0.00005,0.00006,0.00010,0.00012,0.00076,0.00138,5,6,9.52,12,76,138,0
FTMOPLATFORM,@BP,23,40671,1E-05,0.00003,0.00005,0.00005,0.00010,0.00010,0.00051,3,5,5.37,10,10,51,0
FTMOPLATFORM,@BTC,0,383179,0.01,0.83,1.00,1.26,2.01,3.80,35.81,83,100,125.70,201,380,3581,0
FTMOPLATFORM,@BTC,1,386877,0.01,1.00,1.00,1.28,2.08,3.98,36.60,100,100,128.07,208,398,3660,0
FTMOPLATFORM,@BTC,2,350612,0.01,1.00,1.00,1.24,1.92,3.81,66.05,100,100,123.98,192,381,6605,0
FTMOPLATFORM,@BTC,3,314882,0.01,1.00,1.00,1.15,1.56,3.13,36.08,100,100,115.06,156,313,3608,0
FTMOPLATFORM,@BTC,4,283454,0.01,1.00,1.00,1.17,1.66,3.40,21.08,100,100,117.37,166,340,2108,0
