# Piootoo Spread Dump v2.0.1 — broker FTMOPLATFORM (conto 17188650), finestra UTC 2026-08-01 -> 2026-09-01
# spread = ask - bid. Le colonne *Ticks sono la stessa misura in tick di strumento (spread / tickSize).
broker,symbol,brokerSymbol,ticks,firstTickUtc,lastTickUtc,tickSize,pipSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks,truncated,note
FTMOPLATFORM,@BP,GBPUSD,2387002,2026-08-02T21:05:00Z,2026-09-01T23:59:59Z,1E-05,0.0001,-0.00007,0.00003,0.00005,0.00008,0.00012,0.00198,-7,3,4.86,8,12,198,2,false,
FTMOPLATFORM,@BTC,BTCUSD,8601690,2026-08-01T00:00:00Z,2026-09-01T23:59:59Z,0.01,1,-6.87,1.00,1.31,2.23,4.31,305.12,-687,100,131.13,223,431,30512,2,false,
FTMOPLATFORM,@CC,COCOA.c,302838,2026-08-03T08:50:00Z,2026-09-01T17:29:38Z,0.1,1,15.6,19.8,19.6,21.6,21.6,34.8,156,198,196.30,216,216,348,0,false,
FTMOPLATFORM,@CL,USOIL.cash,1755884,2026-08-02T22:05:00Z,2026-09-01T23:59:56Z,0.001,1,0.068,0.068,0.076,0.088,0.088,0.154,68,68,75.58,88,88,154,0,false,
FTMOPLATFORM,@CT,COTTON.c,209294,2026-08-03T01:05:00Z,2026-09-01T18:19:39Z,0.01,1,0.35,0.44,0.42,0.45,0.45,0.79,35,44,42.33,45,45,79,0,false,
FTMOPLATFORM,@ES,US500.cash,1400729,2026-08-02T22:05:00Z,2026-09-01T23:59:59Z,0.01,1,0.60,0.60,0.60,0.60,0.63,1.84,60,60,60.06,60,63,184,0,false,
FTMOPLATFORM,@FDAX,GER40.cash,1400716,2026-08-02T22:05:15Z,2026-09-01T23:59:50Z,0.01,1,1.13,1.23,1.58,3.13,3.79,12.35,113,123,158.26,313,379,1235,0,false,
FTMOPLATFORM,@GC,XAUUSD,5674066,2026-08-02T22:05:00Z,2026-09-01T23:59:59Z,0.01,1,0.33,0.45,0.45,0.50,0.53,5.78,33,45,44.70,50,53,578,0,false,
FTMOPLATFORM,@HK,HK50.cash,1589464,2026-08-03T01:20:00Z,2026-09-01T18:59:44Z,0.01,1,6.00,6.00,6.61,8.24,9.84,24.94,600,600,661.45,824,984,2494,0,false,
FTMOPLATFORM,@HO,HEATOIL.c,923474,2026-08-02T22:05:00Z,2026-09-01T23:59:51Z,0.001,1,0.033,0.034,0.034,0.035,0.035,0.066,33,34,33.80,35,35,66,0,false,
FTMOPLATFORM,@KC,COFFEE.c,268180,2026-08-03T08:20:00Z,2026-09-01T17:29:44Z,0.01,1,0.31,0.31,0.32,0.34,0.34,0.76,31,31,32.21,34,34,76,0,false,
FTMOPLATFORM,@NG,NATGAS.cash,154215,2026-08-02T22:05:00Z,2026-09-01T23:59:13Z,0.001,1,0.057,0.060,0.060,0.061,0.062,0.109,57,60,59.72,61,62,109,0,false,
FTMOPLATFORM,@NQ,US100.cash,8389412,2026-08-02T22:05:00Z,2026-09-01T23:59:59Z,0.01,1,1.45,1.45,1.61,1.95,2.13,8.89,145,145,161.20,195,213,889,0,false,
FTMOPLATFORM,@PL,XPTUSD,3686075,2026-08-02T22:05:00Z,2026-09-01T23:59:59Z,0.01,1,0.59,7.01,6.82,8.86,9.73,42.44,59,701,681.96,886,973,4244,0,false,
FTMOPLATFORM,@SB,SUGAR.c,67889,2026-08-03T07:35:00Z,2026-09-01T16:59:26Z,0.01,1,0.11,0.14,0.14,0.15,0.15,0.25,11,14,13.78,15,15,25,0,false,
FTMOPLATFORM,@YM,US30.cash,2418835,2026-08-02T22:05:00Z,2026-09-01T23:59:50Z,0.01,1,2.10,2.10,2.17,2.38,2.63,18.08,210,210,216.65,238,263,1808,0,false,
