# Piootoo Spread Dump v2.0.1 — broker RAWTRADINGLTD, finestra UTC 2026-08-01 -> 2026-09-01
# hourUtc = ora UTC di apertura del bucket (0..23), NON convertita nel fuso della strategia.
# Un'ora con ticks=0 e celle vuote e' un'ora in cui il broker non ha quotato: mercato chiuso.
broker,symbol,hourUtc,ticks,tickSize,minSpread,p50Spread,avgSpread,p90Spread,p99Spread,maxSpread,minSpreadTicks,p50SpreadTicks,avgSpreadTicks,p90SpreadTicks,p99SpreadTicks,maxSpreadTicks,nonPositiveTicks
RAWTRADINGLTD,@FDAX,0,38689,0.01,2.00,2.00,3.21,4.00,10.00,16.00,200,200,321.23,400,1000,1600,0
RAWTRADINGLTD,@FDAX,1,30948,0.01,2.00,2.00,2.01,2.00,2.00,8.00,200,200,200.83,200,200,800,0
RAWTRADINGLTD,@FDAX,2,19466,0.01,2.00,2.00,2.00,2.00,2.00,8.00,200,200,200.49,200,200,800,0
RAWTRADINGLTD,@FDAX,3,15796,0.01,2.00,2.00,2.00,2.00,2.00,7.00,200,200,200.16,200,200,700,0
RAWTRADINGLTD,@FDAX,4,14063,0.01,2.00,2.00,2.00,2.00,2.00,7.00,200,200,200.50,200,200,700,0
RAWTRADINGLTD,@FDAX,5,19885,0.01,2.00,2.00,2.01,2.00,2.00,8.00,200,200,200.89,200,200,800,0
RAWTRADINGLTD,@FDAX,6,42996,0.01,0.50,0.50,0.58,0.50,4.20,8.20,50,50,58.06,50,420,820,0
RAWTRADINGLTD,@FDAX,7,115474,0.01,0.50,0.50,0.54,0.50,2.30,5.50,50,50,53.67,50,230,550,0
RAWTRADINGLTD,@FDAX,8,93369,0.01,0.50,0.50,0.52,0.50,2.20,5.30,50,50,51.94,50,220,530,0
RAWTRADINGLTD,@FDAX,9,75696,0.01,0.50,0.50,0.52,0.50,0.50,4.00,50,50,51.73,50,50,400,0
